"Date","Time","Group","Zonal point","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"2/07/2015","11:24:24 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 1","Leaf 1",1,1,0,1,0.01,0,0,152.9878518,-25.44791176,""
"2/07/2015","11:25:05 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 1","Leaf 2",1,1,0,1,0.05,0,0,152.9878518,-25.44791176,""
"2/07/2015","11:25:23 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 1","Leaf 3",1,1,0,1,0.01,0,0,152.9878518,-25.44791176,""
"2/07/2015","11:26:57 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 1","Leaf 4",1,1,0,1,0.05,0,3,152.9878518,-25.44791176,""
"2/07/2015","11:27:19 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 1","Leaf 5",1,1,0,1,0.05,0,0,152.9878518,-25.44791176,""
"2/07/2015","11:27:35 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 1","Leaf 6",1,1,0,1,0.03,0,0,152.9878518,-25.44791176,""
"2/07/2015","11:28:58 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 2","Leaf 1",1,0,0,1,0.01,0,8,152.9878518,-25.44791176,""
"2/07/2015","11:29:08 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 2","Leaf 2",1,0,0,1,0.05,0,0,152.9878518,-25.44791176,""
"2/07/2015","11:29:22 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 2","Leaf 3",1,0,0,1,0.01,0,0,152.9878518,-25.44791176,""
"2/07/2015","11:29:53 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 2","Leaf 4",1,0,0,1,0.01,0,4,152.9878518,-25.44791176,""
"2/07/2015","11:30:23 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 2","Leaf 5",1,0,0,1,0.05,0,1,152.9878518,-25.44791176,""
"2/07/2015","11:30:36 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 2","Leaf 6",1,0,0,1,0,0,0,152.9878518,-25.44791176,""
"2/07/2015","11:32:53 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 3","Leaf 1",1,1,0,1,0.5,0,0,152.9878518,-25.44791176,""
"2/07/2015","11:33:03 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 3","Leaf 2",1,1,0,1,0.05,0,0,152.9878518,-25.44791176,""
"2/07/2015","11:33:11 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 3","Leaf 3",1,1,0,1,0.05,0,0,152.9878518,-25.44791176,""
"2/07/2015","11:33:38 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 3","Leaf 4",1,1,0,1,0,1,0,152.9878518,-25.44791176,""
"2/07/2015","11:34:13 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 3","Leaf 5",1,1,0,1,0.01,1,2,152.9878518,-25.44791176,""
"2/07/2015","11:34:46 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 3","Leaf 6",1,1,0,1,0,0,2,152.9878518,-25.44791176,""
"2/07/2015","11:36:01 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 4","Leaf 1",1,0,0,1,0.05,1,14,152.9878518,-25.44791176,""
"2/07/2015","11:36:12 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 4","Leaf 2",1,0,0,1,0.05,0,0,152.9878518,-25.44791176,""
"2/07/2015","11:36:32 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 4","Leaf 3",1,0,0,1,0.05,0,1,152.9878518,-25.44791176,""
"2/07/2015","11:36:52 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 4","Leaf 4",1,0,0,1,0,0,4,152.9878518,-25.44791176,""
"2/07/2015","11:37:05 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 4","Leaf 5",1,0,0,1,0.5,0,0,152.9878518,-25.44791176,""
"2/07/2015","11:37:34 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 4","Leaf 6",1,0,0,1,0.05,0,2,152.9878518,-25.44791176,""
"2/07/2015","11:39:04 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 5","Leaf 1",1,0,0,1,0.4,0,0,152.9878518,-25.44791176,""
"2/07/2015","11:39:18 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 5","Leaf 2",1,0,0,1,0.01,0,0,152.9878518,-25.44791176,""
"2/07/2015","11:39:28 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 5","Leaf 3",1,0,0,1,0.01,0,0,152.9878518,-25.44791176,""
"2/07/2015","11:39:48 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 5","Leaf 4",1,0,0,1,0.35,0,0,152.9878518,-25.44791176,""
"2/07/2015","11:40:03 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 5","Leaf 5",1,0,0,1,0.05,0,0,152.9878518,-25.44791176,""
"2/07/2015","11:40:19 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 5","Leaf 6",1,0,0,0,0,0,0,152.9878518,-25.44791176,""
"2/07/2015","11:41:05 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 6","Leaf 1",1,0,0,1,0.05,0,4,152.9878518,-25.44791176,""
"2/07/2015","11:41:15 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 6","Leaf 2",1,0,0,1,0,0,0,152.9878518,-25.44791176,""
"2/07/2015","11:41:27 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 6","Leaf 3",1,0,0,1,0.01,0,0,152.9878518,-25.44791176,""
"2/07/2015","11:41:38 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 6","Leaf 4",1,0,0,1,0.1,0,1,152.9878518,-25.44791176,""
"2/07/2015","11:41:52 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 6","Leaf 5",1,0,0,1,0.1,0,3,152.9878518,-25.44791176,""
"2/07/2015","11:42:05 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 6","Leaf 6",1,0,0,1,0.05,0,3,152.9878518,-25.44791176,""
"2/07/2015","11:43:23 AM","pactr","Seaward","Low",100,"Quarter 1",5.2,4,45,"Stem 7","Leaf 1",0,0,0,1,0.05,0,0,152.9878518,-25.44791176,""
