"Date","Time","Group","Zonal point","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"3/07/2015","12:21:09 PM","fork","Seaward","High",100,"Quarter 1",2.3,0.9,5,"Stem 1","Leaf 1",0,0,0,0,0.05,0,1,152.98802709,-25.4479501,""
"3/07/2015","12:21:51 PM","fork","Seaward","High",100,"Quarter 1",2.3,0.9,5,"Stem 1","Leaf 2",0,0,0,1,0.5,0,0,152.98802709,-25.4479501,""
"3/07/2015","12:22:05 PM","fork","Seaward","High",100,"Quarter 1",2.3,0.9,5,"Stem 1","Leaf 3",0,0,0,1,0.1,0,0,152.98802709,-25.4479501,""
"3/07/2015","12:22:57 PM","fork","Seaward","High",100,"Quarter 1",2.3,0.9,5,"Stem 1","Leaf 4",0,0,0,1,0.02,0,0,152.98802709,-25.4479501,""
"3/07/2015","12:24:07 PM","fork","Seaward","High",100,"Quarter 1",2.3,0.9,5,"Stem 1","Leaf 5",0,0,0,1,0.1,0,0,152.98802709,-25.4479501,""
"3/07/2015","12:24:25 PM","fork","Seaward","High",100,"Quarter 1",2.3,0.9,5,"Stem 1","Leaf 6",0,0,0,1,0.15,0,0,152.98802709,-25.4479501,""
"3/07/2015","12:24:39 PM","fork","Seaward","High",100,"Quarter 1",2.3,0.9,5,"Stem 1","Leaf 6",0,0,0,1,0.3,0,0,152.98802709,-25.4479501,""
"3/07/2015","12:25:33 PM","fork","Seaward","High",100,"Quarter 1",2.3,0.9,5,"Stem 2","Leaf 1",0,0,0,1,0.07,0,0,152.98802709,-25.4479501,""
"3/07/2015","12:25:52 PM","fork","Seaward","High",100,"Quarter 1",2.3,0.9,5,"Stem 2","Leaf 2",0,0,0,1,0.1,0,0,152.98802709,-25.4479501,""
"3/07/2015","12:26:33 PM","fork","Seaward","High",100,"Quarter 1",2.3,0.9,5,"Stem 2","Leaf 3",0,0,0,1,0.07,0,0,152.98802709,-25.4479501,""
"3/07/2015","12:26:52 PM","fork","Seaward","High",100,"Quarter 1",2.3,0.9,5,"Stem 2","Leaf 4",0,0,0,1,0.05,0,0,152.98802709,-25.4479501,""
"3/07/2015","12:27:03 PM","fork","Seaward","High",100,"Quarter 1",2.3,0.9,5,"Stem 2","Leaf 5",0,0,0,1,0.15,0,0,152.98802709,-25.4479501,""
"3/07/2015","12:27:13 PM","fork","Seaward","High",100,"Quarter 1",2.3,0.9,5,"Stem 2","Leaf 6",0,0,0,1,0.1,0,0,152.98802709,-25.4479501,""
"3/07/2015","12:27:28 PM","fork","Seaward","High",100,"Quarter 1",2.3,0.9,5,"Stem 2","Leaf 5",0,0,0,1,0.03,0,0,152.98802709,-25.4479501,""
"3/07/2015","12:27:59 PM","fork","Seaward","High",100,"Quarter 1",2.3,0.9,5,"Stem 2","Leaf 6",0,0,0,1,0.5,0,0,152.98802709,-25.4479501,""
"3/07/2015","12:28:32 PM","fork","Seaward","High",100,"Quarter 1",2.3,0.9,5,"Stem 3","Leaf 1",1,1,1,1,0.02,0,0,152.98802709,-25.4479501,""
"3/07/2015","12:28:43 PM","fork","Seaward","High",100,"Quarter 1",2.3,0.9,5,"Stem 3","Leaf 2",1,1,1,1,0.1,0,0,152.98802709,-25.4479501,""
"3/07/2015","12:28:58 PM","fork","Seaward","High",100,"Quarter 1",2.3,0.9,5,"Stem 3","Leaf 3",1,1,1,0,0.02,0,0,152.98802709,-25.4479501,""
"3/07/2015","12:29:07 PM","fork","Seaward","High",100,"Quarter 1",2.3,0.9,5,"Stem 3","Leaf 4",1,1,1,1,0.07,0,0,152.98802709,-25.4479501,""
"3/07/2015","12:29:18 PM","fork","Seaward","High",100,"Quarter 1",2.3,0.9,5,"Stem 3","Leaf 5",1,1,1,1,0.08,0,0,152.98802709,-25.4479501,""
"3/07/2015","12:29:49 PM","fork","Seaward","High",100,"Quarter 1",2.3,0.9,5,"Stem 3","Leaf 6",1,1,1,1,0.23,0,0,152.98802709,-25.4479501,""
"3/07/2015","12:31:13 PM","fork","Seaward","High",100,"Quarter 1",2.3,0.9,5,"Stem 4","Leaf 1",1,1,1,1,0.03,0,0,152.98802709,-25.4479501,""
"3/07/2015","12:31:26 PM","fork","Seaward","High",100,"Quarter 1",2.3,0.9,5,"Stem 4","Leaf 2",1,1,1,1,0.15,0,0,152.98802709,-25.4479501,""
"3/07/2015","12:31:37 PM","fork","Seaward","High",100,"Quarter 1",2.3,0.9,5,"Stem 4","Leaf 3",1,1,1,0,0.06,0,0,152.98802709,-25.4479501,""
