"Date","Time","Group","Zonal point","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"3/07/2015","10:22:29 AM","one","Landward - Creek","High",100,"Quarter 1",2.1,0.5,8,"Stem 1","Leaf 1",0,0,0,1,0.05,0,0,152.98929264,-25.44807714,""
"3/07/2015","10:25:06 AM","one","Landward - Creek","High",100,"Quarter 1",2.1,0.5,8,"Stem 1","Leaf 2",0,0,0,1,0.05,0,1,152.98929264,-25.44807714,""
"3/07/2015","10:25:36 AM","one","Landward - Creek","High",100,"Quarter 1",2.1,0.5,8,"Stem 1","Leaf 3",0,0,0,0,NA,NA,NA,152.98929264,-25.44807714,""
"3/07/2015","10:25:46 AM","one","Landward - Creek","High",100,"Quarter 1",2.1,0.5,8,"Stem 1","Leaf 3",0,0,0,0,0,0,0,152.98929264,-25.44807714,""
"3/07/2015","10:26:07 AM","one","Landward - Creek","High",100,"Quarter 1",2.1,0.5,8,"Stem 1","Leaf 4",0,0,0,0,0,0,1,152.98929264,-25.44807714,""
"3/07/2015","10:26:40 AM","one","Landward - Creek","High",100,"Quarter 1",2.1,0.5,8,"Stem 1","Leaf 5",0,0,0,0,0,0,2,152.98929264,-25.44807714,""
"3/07/2015","10:26:59 AM","one","Landward - Creek","High",100,"Quarter 1",2.1,0.5,8,"Stem 1","Leaf 6",0,0,0,0,0,0,1,152.98929264,-25.44807714,""
"3/07/2015","10:29:02 AM","one","Landward - Creek","High",100,"Quarter 1",2.1,0.5,8,"Stem 2","Leaf 1",1,1,1,0,0.03,0,0,152.98929264,-25.44807714,""
"3/07/2015","10:29:16 AM","one","Landward - Creek","High",100,"Quarter 1",2.1,0.5,8,"Stem 2","Leaf 2",1,1,1,0,0.01,0,0,152.98929264,-25.44807714,""
"3/07/2015","10:29:22 AM","one","Landward - Creek","High",100,"Quarter 1",2.1,0.5,8,"Stem 2","Leaf 3",1,1,1,0,0,0,0,152.98929264,-25.44807714,""
