"Date","Time","Group","Zonal point","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"3/07/2015","1:08:49 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 1","Leaf 1",1,1,1,1,0.05,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:08:57 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 1","Leaf 2",1,1,1,1,0.1,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:09:11 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 1","Leaf 3",1,1,1,1,0.05,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:09:20 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 1","Leaf 4",1,1,1,1,0.07,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:09:46 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 1","Leaf 5",1,1,1,1,0.3,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:09:55 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 1","Leaf 6",1,1,1,0,0.05,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:10:35 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 2","Leaf 1",1,0,1,1,0.01,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:10:41 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 2","Leaf 2",1,0,1,1,0.1,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:10:48 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 2","Leaf 3",1,0,1,1,0.15,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:11:06 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 2","Leaf 4",1,0,1,1,0.1,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:11:32 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 2","Leaf 5",1,0,1,0,0.1,0,1,152.98764503,-25.44778477,""
"3/07/2015","1:12:04 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 2","Leaf 6",1,0,1,0,0.03,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:13:20 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 3","Leaf 1",0,0,0,0,0.01,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:13:30 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 3","Leaf 2",0,0,0,1,0.01,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:13:39 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 3","Leaf 3",0,0,0,1,0.03,0,3,152.98764503,-25.44778477,""
"3/07/2015","1:13:50 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 3","Leaf 4",0,0,0,1,0.05,0,1,152.98764503,-25.44778477,""
"3/07/2015","1:14:04 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 3","Leaf 5",0,0,0,1,0.04,0,1,152.98764503,-25.44778477,""
"3/07/2015","1:14:13 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 3","Leaf 6",0,0,0,1,0.1,0,3,152.98764503,-25.44778477,""
"3/07/2015","1:14:35 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 4","Leaf 1",0,0,0,1,0.5,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:15:45 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 4","Leaf 2",0,0,0,0,0.04,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:15:52 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 4","Leaf 3",0,0,0,1,0.2,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:16:13 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 4","Leaf 4",0,0,0,1,0.1,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:16:22 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 4","Leaf 5",0,0,0,0,0.25,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:16:30 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 4","Leaf 6",0,0,0,1,0.15,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:17:33 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 5","Leaf 1",0,1,1,0,0.01,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:17:37 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 5","Leaf 2",0,1,1,0,0.03,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:17:45 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 5","Leaf 3",0,1,1,1,0.3,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:17:53 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 5","Leaf 4",0,1,1,1,0.6,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:18:01 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 5","Leaf 5",0,1,1,1,0.8,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:18:08 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 5","Leaf 6",0,1,1,1,0.4,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:18:37 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 6","Leaf 1",1,1,0,1,0.05,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:18:44 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 6","Leaf 2",1,1,0,0,0.03,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:18:50 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 6","Leaf 3",1,1,0,0,0.02,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:19:04 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 6","Leaf 4",1,1,0,1,0.2,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:19:10 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 6","Leaf 5",1,1,0,1,0.15,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:19:20 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 6","Leaf 6",1,1,0,0,0.03,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:20:08 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 7","Leaf 1",0,1,0,1,0.05,0,0,152.98764503,-25.44778477,""
"3/07/2015","1:20:13 PM","spoon","Seaward","Low",0,"Quarter 1",8.27,4.2,18,"Stem 7","Leaf 2",0,1,0,0,0.03,0,0,152.98764503,-25.44778477,""
