"Date","Time","Longitude","Latitude","Group","Quadrat size","Vegetation type","Quadrat #","Tallest tree","Foliage cover","Ground cover","Litter depth","Small trees","Shrub size","Shrub count","Spider Hole","Tree Species Name","Tree Species DBH","Acacia Dominant","Angophora Dominant","Araucaria Dominant","Banksia Dominant","Callitris Dominant","Casuarina Dominant","Eucalyptus Dominant","Lophostemon Dominant","Melaleuca Dominant","Syncarpia Dominant"
"28/06/2015","10:45:29 AM",NA,NA,"green scribbly gum","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Eucalyptus",149,0,0,0,0,0,0,0,0,0,0
"28/06/2015","10:46:57 AM",NA,NA,"green scribbly gum","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Banksia",43,0,0,0,0,0,0,0,0,0,0
"28/06/2015","10:49:02 AM",NA,NA,"green scribbly gum","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Eucalyptus",54,0,0,0,0,0,0,0,0,0,0
"28/06/2015","10:49:36 AM",NA,NA,"green scribbly gum","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Banksia",31,0,0,0,0,0,0,0,0,0,0
"28/06/2015","10:50:12 AM",NA,NA,"green scribbly gum","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Eucalyptus",137,0,0,0,0,0,0,0,0,0,0
"28/06/2015","11:06:55 AM",NA,NA,"green scribbly gum","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"",60,0,0,0,0,0,0,0,0,0,0
"28/06/2015","11:08:29 AM",NA,NA,"green scribbly gum","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Eucalyptus",129,0,0,0,0,0,0,0,0,0,0
"28/06/2015","11:09:07 AM",NA,NA,"green scribbly gum","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"",42,0,0,0,0,0,0,0,0,0,0
"28/06/2015","11:09:58 AM",NA,NA,"green scribbly gum","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Eucalyptus",54,0,0,0,0,0,0,0,0,0,0
"28/06/2015","11:10:45 AM",NA,NA,"green scribbly gum","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"",39,0,0,0,0,0,0,0,0,0,0
