"Date","Time","Longitude","Latitude","Group","Quadrat size","Vegetation type","Quadrat #","Tallest tree","Foliage cover","Ground cover","Litter depth","Small trees","Shrub size","Shrub count","Spider Hole","Tree Species Name","Tree Species DBH","Acacia Dominant","Angophora Dominant","Araucaria Dominant","Banksia Dominant","Callitris Dominant","Casuarina Dominant","Eucalyptus Dominant","Lophostemon Dominant","Melaleuca Dominant","Syncarpia Dominant"
"28/06/2015","6:05:09 PM",NA,NA,"green spider heaven","20x20m",NA,1,8,0.55,0.45,18,NA,"2-8m",NA,25,"",NA,0,0,0,1,0,1,1,0,0,0
"28/06/2015","6:05:58 PM",NA,NA,"green spider heaven","20x20m",NA,2,8,0.65,0.25,14,NA,"2-8m",NA,25,"",NA,0,0,0,1,0,1,1,0,0,0
"28/06/2015","6:06:18 PM",NA,NA,"green spider heaven","20x20m",NA,3,8,0.66,0.05,20,NA,"2-8m",NA,25,"",NA,0,0,0,1,0,1,1,0,0,0
"28/06/2015","6:06:37 PM",NA,NA,"green spider heaven","20x20m",NA,4,8,0.55,0.19,14,NA,"2-8m",NA,25,"",NA,0,0,0,1,0,1,1,0,0,0
"28/06/2015","6:09:05 PM",NA,NA,"green spider heaven","20x20m",NA,0,8,NA,NA,NA,NA,"2-8m",NA,25,"Casuarina",36,0,0,0,1,0,1,1,0,0,0
"28/06/2015","6:09:10 PM",NA,NA,"green spider heaven","20x20m",NA,0,8,NA,NA,NA,NA,"2-8m",NA,25,"Casuarina",49,0,0,0,1,0,1,1,0,0,0
"28/06/2015","6:09:13 PM",NA,NA,"green spider heaven","20x20m",NA,0,8,NA,NA,NA,NA,"2-8m",NA,25,"Casuarina",41,0,0,0,1,0,1,1,0,0,0
"28/06/2015","6:09:15 PM",NA,NA,"green spider heaven","20x20m",NA,0,8,NA,NA,NA,NA,"2-8m",NA,25,"Casuarina",33,0,0,0,1,0,1,1,0,0,0
"28/06/2015","6:09:18 PM",NA,NA,"green spider heaven","20x20m",NA,0,8,NA,NA,NA,NA,"2-8m",NA,25,"Casuarina",35,0,0,0,1,0,1,1,0,0,0
"28/06/2015","6:09:23 PM",NA,NA,"green spider heaven","20x20m",NA,0,8,NA,NA,NA,NA,"2-8m",NA,25,"Casuarina",46,0,0,0,1,0,1,1,0,0,0
"28/06/2015","6:09:25 PM",NA,NA,"green spider heaven","20x20m",NA,0,8,NA,NA,NA,NA,"2-8m",NA,25,"Casuarina",35,0,0,0,1,0,1,1,0,0,0
"28/06/2015","6:09:28 PM",NA,NA,"green spider heaven","20x20m",NA,0,8,NA,NA,NA,NA,"2-8m",NA,25,"Casuarina",44,0,0,0,1,0,1,1,0,0,0
"28/06/2015","6:09:30 PM",NA,NA,"green spider heaven","20x20m",NA,0,8,NA,NA,NA,NA,"2-8m",NA,25,"Casuarina",35,0,0,0,1,0,1,1,0,0,0
"28/06/2015","6:09:33 PM",NA,NA,"green spider heaven","20x20m",NA,0,8,NA,NA,NA,NA,"2-8m",NA,25,"Casuarina",51,0,0,0,1,0,1,1,0,0,0
"28/06/2015","6:09:35 PM",NA,NA,"green spider heaven","20x20m",NA,0,8,NA,NA,NA,NA,"2-8m",NA,25,"Casuarina",47,0,0,0,1,0,1,1,0,0,0
"28/06/2015","6:09:38 PM",NA,NA,"green spider heaven","20x20m",NA,0,8,NA,NA,NA,NA,"2-8m",NA,25,"Casuarina",32,0,0,0,1,0,1,1,0,0,0
"28/06/2015","6:09:41 PM",NA,NA,"green spider heaven","20x20m",NA,0,8,NA,NA,NA,NA,"2-8m",NA,25,"Casuarina",45,0,0,0,1,0,1,1,0,0,0
"28/06/2015","6:09:44 PM",NA,NA,"green spider heaven","20x20m",NA,0,8,NA,NA,NA,NA,"2-8m",NA,25,"Casuarina",43,0,0,0,1,0,1,1,0,0,0
"28/06/2015","6:09:47 PM",NA,NA,"green spider heaven","20x20m",NA,0,8,NA,NA,NA,NA,"2-8m",NA,25,"Casuarina",32,0,0,0,1,0,1,1,0,0,0
"28/06/2015","6:09:50 PM",NA,NA,"green spider heaven","20x20m",NA,0,8,NA,NA,NA,NA,"2-8m",NA,25,"Casuarina",41,0,0,0,1,0,1,1,0,0,0
"28/06/2015","6:10:18 PM",NA,NA,"green spider heaven","20x20m",NA,0,8,NA,NA,NA,NA,"2-8m",NA,25,"Ericaceae",48,0,0,0,1,0,1,1,0,0,0
"28/06/2015","6:10:30 PM",NA,NA,"green spider heaven","20x20m",NA,0,8,NA,NA,NA,NA,"2-8m",NA,25,"Ericaceae",45,0,0,0,1,0,1,1,0,0,0
"28/06/2015","6:10:32 PM",NA,NA,"green spider heaven","20x20m",NA,0,8,NA,NA,NA,NA,"2-8m",NA,25,"Ericaceae",38,0,0,0,1,0,1,1,0,0,0
"28/06/2015","6:10:35 PM",NA,NA,"green spider heaven","20x20m",NA,0,8,NA,NA,NA,NA,"2-8m",NA,25,"Ericaceae",36,0,0,0,1,0,1,1,0,0,0
"28/06/2015","6:10:51 PM",NA,NA,"green spider heaven","20x20m",NA,0,8,NA,NA,NA,NA,"2-8m",NA,25,"Syncarpia",157,0,0,0,1,0,1,1,0,0,0
"28/06/2015","6:10:56 PM",NA,NA,"green spider heaven","20x20m",NA,0,8,NA,NA,NA,NA,"2-8m",NA,25,"Syncarpia",32,0,0,0,1,0,1,1,0,0,0
"28/06/2015","6:11:06 PM",NA,NA,"green spider heaven","20x20m",NA,0,8,NA,NA,NA,NA,"2-8m",NA,25,"Eucalyptus",149,0,0,0,1,0,1,1,0,0,0
