"Date","Time","Longitude","Latitude","Group","Quadrat size","Vegetation type","Quadrat #","Tallest tree","Foliage cover","Ground cover","Litter depth","Small trees","Shrub size","Shrub count","Spider Hole","Tree Species Name","Tree Species DBH","Acacia Dominant","Angophora Dominant","Araucaria Dominant","Banksia Dominant","Callitris Dominant","Casuarina Dominant","Eucalyptus Dominant","Lophostemon Dominant","Melaleuca Dominant","Syncarpia Dominant"
"30/06/2015","11:35:13 AM",NA,NA,"Yellow group spider heaven","20x20m",NA,1,25,0.5,0.2,3,NA,"2-8m",NA,35,"",NA,0,0,0,1,0,1,1,0,0,1
"30/06/2015","11:38:49 AM",NA,NA,"Yellow group spider heaven","20x20m",NA,2,25,0.7,0.1,10,NA,"2-8m",NA,35,"",NA,0,0,0,1,0,1,1,0,0,1
"30/06/2015","11:41:12 AM",NA,NA,"Yellow group spider heaven","20x20m",NA,3,25,0.7,0.05,3,NA,"2-8m",NA,35,"",NA,0,0,0,1,0,1,1,0,0,1
"30/06/2015","11:43:43 AM",NA,NA,"Yellow group spider heaven","20x20m",NA,4,25,0.6,0.23,12,NA,"2-8m",NA,35,"",NA,0,0,0,1,0,1,1,0,0,1
"30/06/2015","12:03:59 PM",NA,NA,"Yellow group spider heaven","20x20m",NA,0,25,NA,NA,NA,NA,"2-8m",NA,35,"Banksia",71,0,0,0,1,0,1,1,0,0,1
"30/06/2015","12:04:06 PM",NA,NA,"Yellow group spider heaven","20x20m",NA,0,25,NA,NA,NA,NA,"2-8m",NA,35,"Casuarina",62,0,0,0,1,0,1,1,0,0,1
"30/06/2015","12:04:21 PM",NA,NA,"Yellow group spider heaven","20x20m",NA,0,25,NA,NA,NA,NA,"2-8m",NA,35,"",31,0,0,0,1,0,1,1,0,0,1
"30/06/2015","12:04:27 PM",NA,NA,"Yellow group spider heaven","20x20m",NA,0,25,NA,NA,NA,NA,"2-8m",NA,35,"Casuarina",104,0,0,0,1,0,1,1,0,0,1
"30/06/2015","12:04:44 PM",NA,NA,"Yellow group spider heaven","20x20m",NA,0,25,NA,NA,NA,NA,"2-8m",NA,35,"",63.5,0,0,0,1,0,1,1,0,0,1
"30/06/2015","12:04:52 PM",NA,NA,"Yellow group spider heaven","20x20m",NA,0,25,NA,NA,NA,NA,"2-8m",NA,35,"Eucalyptus",147,0,0,0,1,0,1,1,0,0,1
"30/06/2015","12:04:56 PM",NA,NA,"Yellow group spider heaven","20x20m",NA,0,25,NA,NA,NA,NA,"2-8m",NA,35,"Casuarina",32,0,0,0,1,0,1,1,0,0,1
"30/06/2015","12:05:00 PM",NA,NA,"Yellow group spider heaven","20x20m",NA,0,25,NA,NA,NA,NA,"2-8m",NA,35,"Banksia",78,0,0,0,1,0,1,1,0,0,1
"30/06/2015","12:05:03 PM",NA,NA,"Yellow group spider heaven","20x20m",NA,0,25,NA,NA,NA,NA,"2-8m",NA,35,"Banksia",55,0,0,0,1,0,1,1,0,0,1
"30/06/2015","12:05:07 PM",NA,NA,"Yellow group spider heaven","20x20m",NA,0,25,NA,NA,NA,NA,"2-8m",NA,35,"Casuarina",31,0,0,0,1,0,1,1,0,0,1
"30/06/2015","12:05:12 PM",NA,NA,"Yellow group spider heaven","20x20m",NA,0,25,NA,NA,NA,NA,"2-8m",NA,35,"",56,0,0,0,1,0,1,1,0,0,1
"30/06/2015","12:05:15 PM",NA,NA,"Yellow group spider heaven","20x20m",NA,0,25,NA,NA,NA,NA,"2-8m",NA,35,"Casuarina",45,0,0,0,1,0,1,1,0,0,1
"30/06/2015","12:05:18 PM",NA,NA,"Yellow group spider heaven","20x20m",NA,0,25,NA,NA,NA,NA,"2-8m",NA,35,"Casuarina",38,0,0,0,1,0,1,1,0,0,1
"30/06/2015","12:05:20 PM",NA,NA,"Yellow group spider heaven","20x20m",NA,0,25,NA,NA,NA,NA,"2-8m",NA,35,"Casuarina",32,0,0,0,1,0,1,1,0,0,1
"30/06/2015","12:05:23 PM",NA,NA,"Yellow group spider heaven","20x20m",NA,0,25,NA,NA,NA,NA,"2-8m",NA,35,"Casuarina",48,0,0,0,1,0,1,1,0,0,1
"30/06/2015","12:05:43 PM",NA,NA,"Yellow group spider heaven","20x20m",NA,0,25,NA,NA,NA,NA,"2-8m",NA,35,"Eucalyptus",207,0,0,0,1,0,1,1,0,0,1
