"Date","Time","Group","Distance along tape","Zone","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Total number burrows","Ratio active burrows","Ratio >2cm across burrows","Number of trees","Number of ground plants","Living ground cover","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla","Week","Group color"
"30/06/2015","8:29:51 AM","ahlia",100,"80m-100m",153.09462214,-25.60022677,"",0,1,1,0,2,0.5,0,0,1,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","blue"
"30/06/2015","8:40:35 AM","ahlia",0,"0-20m",153.09441157,-25.60108063,"Upslope",0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","blue"
"30/06/2015","8:42:06 AM","ahlia",5,"0-20m",153.09437445,-25.600979,"Upslope",0.01,0,1,0,1,0,0,0,1,0.35,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","blue"
"30/06/2015","8:44:05 AM","ahlia",10,"0-20m",153.09430581,-25.60102357,"Crest",0,0,0,0,0,NA,NA,0,1,0.15,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","blue"
"30/06/2015","8:45:29 AM","ahlia",15,"0-20m",153.09424952,-25.60099329,"Crest",0.05,0,4,1,4,0,0.25,0,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","blue"
"30/06/2015","8:47:48 AM","ahlia",20,"0-20m",153.09420313,-25.60101965,"Upslope",0.05,1,3,0,4,0.25,0,0,1,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","blue"
"30/06/2015","8:54:12 AM","ahlia",25,"20-40m",153.09416542,-25.60098252,"Upslope",0.1,2,9,1,11,0.181818181818182,0.0909090909090909,0,3,0.95,0,0,0,0,0,0,0.15,0,0,0,0,0,0.5,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","blue"
"30/06/2015","8:58:57 AM","ahlia",30,"20-40m",153.09410237,-25.60101431,"Upslope",0.7,1,5,2,6,0.166666666666667,0.333333333333333,1,2,0.5,0,0,0,0,0,0,0.3,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 1","blue"
"30/06/2015","9:10:09 AM","ahlia",35,"20-40m",153.09407388,-25.60096037,"Upslope",0.7,2,3,4,5,0.4,0.8,0,2,0.65,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","blue"
"30/06/2015","9:14:18 AM","ahlia",40,"20-40m",153.09400354,-25.60099783,"Upslope",0.8,1,1,0,2,0.5,0,1,2,0.9,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 1","blue"
"30/06/2015","9:19:44 AM","ahlia",45,"40-60m",153.09396668,-25.60096492,"Upslope",1,0,1,0,1,0,0,1,2,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Week 1","blue"
"30/06/2015","9:22:27 AM","ahlia",50,"40-60m",153.09392749,-25.60095358,"Upslope",1,1,0,1,1,1,1,2,1,0.3,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"Week 1","blue"
"30/06/2015","9:27:25 AM","ahlia",55,"40-60m",153.09389015,-25.60092051,"Upslope",0.95,0,0,0,0,NA,NA,1,3,0.85,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.25,0,0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,"Week 1","blue"
