"Longitude","Latitude","Group","Transect","Zone","Species","Height","Mean Circumference (cm)","Frequency","Frequency per Zone","Trees per HA","Density","Basal Area per HA","Relative Cover","Relative Frequency","Relative Density","Relative Importance","Week","Group color"
152.987737136429,-25.447465965,"atrio","Seaward","0-20m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.987737136429,-25.447465965,"atrio","Seaward","0-20m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.98774764,-25.44747253,"atrio","Seaward","0-20m","Avicennia marina",4,43,1,0.5,1069.19709980287,0.2703125,4.59754752915233,0.633684210526316,0.333333333333333,0.125,0.364005847953216,"Week 2","red"
152.987737136429,-25.447465965,"atrio","Seaward","0-20m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.987737136429,-25.447465965,"atrio","Seaward","0-20m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.987737136429,-25.447465965,"atrio","Seaward","0-20m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.987737136429,-25.447465965,"atrio","Seaward","0-20m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.987726632857,-25.4474594,"atrio","Seaward","0-20m","Rhizophora stylosa",2.42857142857143,12.4285714285714,2,1,2138.39419960573,1.8921875,2.65771850522427,0.366315789473684,0.666666666666667,0.875,0.635994152046784,"Week 2","red"
152.9878187375,-25.4475160741667,"atrio","Seaward","20-40m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.9878187375,-25.4475160741667,"atrio","Seaward","20-40m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.98781197,-25.447513985,"atrio","Seaward","20-40m","Avicennia marina",2.75,26.75,2,1,5386.75195690598,0.340625,14.4095614847235,0.60566037735849,0.5,0.25,0.45188679245283,"Week 2","red"
152.9878187375,-25.4475160741667,"atrio","Seaward","20-40m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.9878187375,-25.4475160741667,"atrio","Seaward","20-40m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.9878187375,-25.4475160741667,"atrio","Seaward","20-40m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.9878187375,-25.4475160741667,"atrio","Seaward","20-40m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.987825505,-25.4475181633333,"atrio","Seaward","20-40m","Rhizophora stylosa",11.0666666666667,17.4166666666667,2,1,5386.75195690598,1.021875,9.38192632494459,0.394339622641509,0.5,0.75,0.54811320754717,"Week 2","red"
152.9878717,-25.44752599,"atrio","Seaward","40-60m","Aegialitis annulata",1.1,6,1,0.5,3075.74009996155,0.159375,1.84544405997693,0.142517814726841,0.25,0.125,0.17250593824228,"Week 2","red"
152.987939019333,-25.4475683226667,"atrio","Seaward","40-60m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.98797133,-25.44760173,"atrio","Seaward","40-60m","Avicennia marina",30.1,22.5,1,0.5,3075.74009996155,0.31875,6.92041522491349,0.534441805225653,0.25,0.25,0.344813935075218,"Week 2","red"
152.987939019333,-25.4475683226667,"atrio","Seaward","40-60m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.987939019333,-25.4475683226667,"atrio","Seaward","40-60m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.987939019333,-25.4475683226667,"atrio","Seaward","40-60m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.987939019333,-25.4475683226667,"atrio","Seaward","40-60m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.987974028,-25.447577248,"atrio","Seaward","40-60m","Rhizophora stylosa",11.16,6.8,2,1,6151.48019992311,0.796875,4.18300653594771,0.323040380047506,0.5,0.625,0.482680126682502,"Week 2","red"
152.988182153333,-25.44770062,"atrio","Seaward","60-80m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.988182153333,-25.44770062,"atrio","Seaward","60-80m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.98818119,-25.44773553,"atrio","Seaward","60-80m","Avicennia marina",57.6666666666667,10.3333333333333,1,0.5,2506.06938679615,0.5296875,2.58960503302269,0.260504201680672,0.25,0.375,0.295168067226891,"Week 2","red"
152.988182153333,-25.44770062,"atrio","Seaward","60-80m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.988182153333,-25.44770062,"atrio","Seaward","60-80m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.98818119,-25.44773553,"atrio","Seaward","60-80m","Osbornia octodonta",29.55,11.5,2,1,5012.13877359229,0.353125,5.76395958963114,0.579831932773109,0.5,0.25,0.44327731092437,"Week 2","red"
152.988182153333,-25.44770062,"atrio","Seaward","60-80m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.98818408,-25.4476308,"atrio","Seaward","60-80m","Rhizophora stylosa",54.3333333333333,6.33333333333333,1,0.5,2506.06938679615,0.5296875,1.58717727830423,0.159663865546218,0.25,0.375,0.26155462184874,"Week 2","red"
152.989906611667,-25.4481425216667,"bed","Landward-Creek","0-20m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989906611667,-25.4481425216667,"bed","Landward-Creek","0-20m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989846035,-25.448118725,"bed","Landward-Creek","0-20m","Avicennia marina",0.6,13.5,1,0.5,12800,0.15625,17.28,0.1875,0.25,0.25,0.229166666666667,"Week 2","red"
152.9899369,-25.44815442,"bed","Landward-Creek","0-20m","Ceriops australis",1.15,19.75,2,1,25600,0.3125,50.56,0.548611111111111,0.5,0.5,0.516203703703704,"Week 2","red"
152.989906611667,-25.4481425216667,"bed","Landward-Creek","0-20m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.9899369,-25.44815442,"bed","Landward-Creek","0-20m","Osbornia octodonta",0.55,19,1,0.5,12800,0.15625,24.32,0.263888888888889,0.25,0.25,0.25462962962963,"Week 2","red"
152.989906611667,-25.4481425216667,"bed","Landward-Creek","0-20m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989906611667,-25.4481425216667,"bed","Landward-Creek","0-20m","Rhizophora stylosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989774918333,-25.4480901,"bed","Landward-Creek","20-40m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989774918333,-25.4480901,"bed","Landward-Creek","20-40m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.98979947,-25.44810253,"bed","Landward-Creek","20-40m","Avicennia marina",0.5,12.5,1,1,25600,0.15625,32,0.301204819277108,0.333333333333333,0.25,0.294846050870147,"Week 2","red"
152.989725815,-25.44806524,"bed","Landward-Creek","20-40m","Ceriops australis",0.7,24,1,1,25600,0.3125,61.44,0.578313253012048,0.333333333333333,0.5,0.470548862115127,"Week 2","red"
152.989774918333,-25.4480901,"bed","Landward-Creek","20-40m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.98979947,-25.44810253,"bed","Landward-Creek","20-40m","Osbornia octodonta",0.7,5,1,1,25600,0.15625,12.8,0.120481927710843,0.333333333333333,0.25,0.234605087014726,"Week 2","red"
152.989774918333,-25.4480901,"bed","Landward-Creek","20-40m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989774918333,-25.4480901,"bed","Landward-Creek","20-40m","Rhizophora stylosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989613376667,-25.4479906827778,"bed","Landward-Creek","40-60m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989613376667,-25.4479906827778,"bed","Landward-Creek","40-60m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989572165,-25.4479600133333,"bed","Landward-Creek","40-60m","Avicennia marina",0.633333333333333,24.3333333333333,2,1,10000,0.666666666666667,24.3333333333333,0.530909090909091,0.5,0.666666666666667,0.565858585858586,"Week 2","red"
152.98965216,-25.44802795,"bed","Landward-Creek","40-60m","Ceriops australis",0.9,26,1,0.5,5000,0.111111111111111,13,0.283636363636364,0.25,0.111111111111111,0.214915824915825,"Week 2","red"
152.989613376667,-25.4479906827778,"bed","Landward-Creek","40-60m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989613376667,-25.4479906827778,"bed","Landward-Creek","40-60m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989613376667,-25.4479906827778,"bed","Landward-Creek","40-60m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989615805,-25.447984085,"bed","Landward-Creek","40-60m","Rhizophora stylosa",0.7,17,1,0.5,5000,0.222222222222222,8.5,0.185454545454545,0.25,0.222222222222222,0.219225589225589,"Week 2","red"
152.989378053333,-25.4478750133333,"bed","Landward-Creek","60-80m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989378053333,-25.4478750133333,"bed","Landward-Creek","60-80m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
