Group,Zonal point,Intertidal zone,Tape point,Quarter,Date,Time,Longitude,Latitude,Distance from point,Height,Circumference,Average number of buds alive,Average number of leaves distorted,Average number of Mines,Average number of Galls,Average percent of leaf missing,Average number of leaves per stem,Number of stems,Week,Group color
dingo test,Seaward,High,NA,Quarter 1,29/06/2015,8:28:16 AM,153.1076912,-25.50304797,1.85,2.808333333,12.58333333,7.5,25,0.12202381,0.020833333,0.048452381,6.5,8,Week 1,blue
dingo test,Seaward,High,NA,Quarter 2,29/06/2015,11:58:50 AM,153.1076912,-25.50304797,3,2.5,5,3.75,24,0.125,0,0.059375,6,8,Week 1,blue
dingo test,Seaward,High,NA,Quarter 3,29/06/2015,12:13:01 PM,153.1076912,-25.50304797,2,3.1,11,3.75,26,0.0625,0.041666667,0.031041667,6,8,Week 1,blue
dingo test,Seaward,High,NA,Quarter 4,29/06/2015,12:26:11 PM,153.102719,-25.5007281,1.3,3.5,7,9.75,22,0.020833333,0.083333333,0.070208333,6,8,Week 1,blue
joshh,Seaward,Low,29,Quarter 1,29/06/2015,11:46:35 AM,152.9878663,-25.44741564,2.5,6.3,169,3.625,43,0.017857143,0.025,0.08397619,6,8,Week 1,blue
joshh,Seaward,Low,29,Quarter 2,29/06/2015,12:03:54 PM,152.9878663,-25.44741564,7.5,6.2,140,5.25,42,0.041666667,0.375,0.022916667,6,8,Week 1,blue
joshh,Seaward,Low,29,Quarter 3,29/06/2015,12:15:21 PM,152.9878663,-25.44741564,4.3,3.5,34,1.5,38,0,0.025,0.032441964,6.25,8,Week 1,blue
joshh,Seaward,Low,29,Quarter 4,29/06/2015,12:28:15 PM,152.9879356,-25.4474408,3.5,6.4,120,3.75,32,0.0625,0.020833333,0.051875,6,8,Week 1,blue
sand,Landward - Creek,Low,3,Quarter 1,29/06/2015,10:06:27 AM,152.9896047,-25.44874955,0.6,1,15,9,13,0.675,2.5,0.160833333,6.625,8,Week 1,blue
sand,Landward - Creek,Low,3,Quarter 2,29/06/2015,10:21:54 AM,152.9896047,-25.44874955,0.67,0.45,10,7.5,7,NA,NA,0.227222222,6,8,Week 1,blue
sand,Landward - Creek,Low,3,Quarter 3,29/06/2015,10:26:58 AM,152.9896047,-25.44874955,0.67,0.68,11.5,6.25,10,0.666666667,NA,0.122857143,6.375,8,Week 1,blue
sand,Landward - Creek,Low,3,Quarter 4,29/06/2015,10:35:04 AM,152.9894901,-25.44865341,1.6,0.26,16.5,10.375,14,1,1,0.075,6.25,8,Week 1,blue
