"Group","Zonal point","Intertidal zone","Tape point","Quarter","Date","Time","Longitude","Latitude","Distance from point","Height","Circumference","Average number of buds alive","Average number of leaves distorted","Average number of Mines","Average number of Galls","Average percent of leaf missing","Average number of leaves per stem","Number of stems","Week","Group color"
"cream","Seaward","Low",0,"Quarter 2","4/07/2015","1:43:15 PM",152.98759996,-25.44823634,2.6,2.7,45,12,42,0,2.6875,0.0658333333333333,6,8,"Week 2","blue"
"cream","Seaward","Low",0,"Quarter 4","4/07/2015","1:58:56 PM",152.98759996,-25.44823634,2.7,2.5,33,9,31,0.0416666666666667,1.1875,0.05125,6,8,"Week 2","blue"
"cream","Seaward","Low",0,"Quarter 1","4/07/2015","1:43:08 PM",152.98753709,-25.44819078,1.1,1.7,16,12.7142857142857,30,1.34199134199134,0.396103896103896,0.0253030303030303,6.71428571428571,7,"Week 2","blue"
"cream","Seaward","Low",0,"Quarter 3","4/07/2015","1:56:30 PM",152.98753709,-25.44819078,3.4,3.8,33,9,29,0.8125,0.6875,0.0554166666666667,6,8,"Week 2","blue"
"ice","Seaward","High",100,"Quarter 2","4/07/2015","1:08:19 PM",152.98774482,-25.44821909,5,1,11,6.25,26,0,0,0.0504166666666667,6.25,8,"Week 2","blue"
"ice","Seaward","High",100,"Quarter 4","4/07/2015","1:26:39 PM",152.98774482,-25.44821909,1.6,0.9,16,1.5,41,0.0208333333333333,0.0416666666666667,0.0485416666666667,6,8,"Week 2","blue"
"ice","Seaward","High",100,"Quarter 1","4/07/2015","1:05:45 PM",152.98774541,-25.44822627,2.9,2,22,9.28571428571429,36,0.119047619047619,0.264069264069264,0.0551515151515152,6.71428571428571,7,"Week 2","blue"
"ice","Seaward","High",100,"Quarter 3","4/07/2015","1:25:54 PM",152.98774541,-25.44822627,2.9,1.8,15,2.25,39,0.333333333333333,0.145833333333333,0.0683333333333333,6,8,"Week 2","blue"
"pizza","Seaward","High",100,"Quarter 1","4/07/2015","1:07:51 PM",152.987807291786,-25.4481703146429,2.90357142857143,2,19,9.375,32,0.0386904761904762,1.36011904761905,0.102797619047619,6.25,8,"Week 2","blue"
"pizza","Seaward","High",100,"Quarter 3","4/07/2015","1:32:26 PM",152.98780245,-25.448166420625,3.46,1,7.5,6,18,0.119047619047619,0.223214285714286,0.0680654761904762,6.125,8,"Week 2","blue"
"pizza","Seaward","Low",0,"Quarter 1","4/07/2015","1:48:05 PM",152.9875243,-25.44799327,5.7,5.5,42,8.25,21,0.0833333333333333,0.125,0.0489583333333333,6,8,"Week 2","blue"
"pizza","Seaward","Low",0,"Quarter 3","4/07/2015","2:02:31 PM",152.9875243,-25.44799327,5.4,4,40.6,2.375,33,0.244047619047619,0.205357142857143,0.0502380952380952,6.375,8,"Week 2","blue"
"tea","Landward - Creek","High",100,"Quarter 1","4/07/2015","10:47:27 AM",152.98933909,-25.44791795,0.8,0.3,7,3.75,13,0.208333333333333,0.9375,0.0164583333333333,6,8,"Week 2","blue"
"tea","Landward - Creek","High",100,"Quarter 2","4/07/2015","10:56:32 AM",152.98933909,-25.44791795,1.9,0.4,10,1.5,34,0.395833333333333,0.270833333333333,0.0233333333333333,6,8,"Week 2","blue"
"tea","Landward - Creek","High",100,"Quarter 3","4/07/2015","11:06:42 AM",152.98933909,-25.44791795,4.9,0.6,10,1.5,34,0.395833333333333,0.508333333333333,0.0166666666666667,6,8,"Week 2","blue"
"tea","Landward - Creek","High",100,"Quarter 4","4/07/2015","11:15:45 AM",152.98933909,-25.44791795,2,0.4,13,3,29,0.25,0.895833333333333,0.039375,6,8,"Week 2","blue"
