"Group","Zonal point","Intertidal zone","Tape point","Quarter","Date","Time","Longitude","Latitude","Distance from point","Height","Circumference","Average number of buds alive","Average number of leaves distorted","Average number of Mines","Average number of Galls","Average percent of leaf missing","Average number of leaves per stem","Number of stems","Week","Group color"
"boots","Landward - Creek","High",100,"Quarter 1","5/07/2015","10:41:33 AM",152.990080857204,-25.4474511745353,5.48846153846154,1.76826923076923,16.1538461538462,17,68,0.03125,0,0.173533653846154,12.25,8,"Week 2","green"
"boots","Landward - Creek","High",100,"Quarter 2","5/07/2015","11:00:49 AM",152.989803172083,-25.4473533329167,1,0.8,10,13.125,11,0.0625,0.104166666666667,0.0835416666666667,5.875,8,"Week 2","green"
"boots","Landward - Creek","Low",0,"Quarter 1","5/07/2015","11:27:26 AM",152.99022956,-25.44769892,3,1.2,7,5.25,15,0.0458333333333333,0.191666666666667,0.135208333333333,5.875,8,"Week 2","green"
"boots","Landward - Creek","Low",0,"Quarter 2","5/07/2015","11:48:26 AM",152.99022956,-25.44769892,6,3.5,75,8.5,13,0.0416666666666667,0.416666666666667,0.0260833333333333,5.75,8,"Week 2","green"
"boots","Landward - Creek","High",100,"Quarter 3","5/07/2015","10:41:35 AM",152.98976437,-25.44738353,1.6,0.2,2,5.75,38,0,0,0.0312425595238095,6.5,8,"Week 2","green"
"boots","Landward - Creek","High",100,"Quarter 4","5/07/2015","10:57:45 AM",152.990072676703,-25.4475243250488,2.15646853146853,2.15646853146853,45.1293706293706,11.375,85,0.0922931235431235,0.116477272727273,0.313910256410256,12,8,"Week 2","green"
"eagle","Landward - Creek","High",100,"Quarter 1","5/07/15","10:39:49 am",152.9897451,-25.44747212,0.6,0.7,13,4.5,17,0.0625,0,0.026875,6,8,"Week 2","green"
"eagle","Landward - Creek","High",100,"Quarter 2","5/07/15","10:48:47 am",152.98975089375,-25.4474763595833,1.5,0.8,15,5.25,20,0,0,0.0633333333333333,6,8,"Week 2","green"
"eagle","Landward - Creek","Low",5,"Quarter 1","5/07/15","11:01:47 am",152.9900232,-25.44767562,5.075,4.20852272727273,47.7386363636364,9.625,40,0.0104166666666667,0.09375,0.107035984848485,11.125,8,"Week 2","green"
"eagle","Landward - Creek","Low",5,"Quarter 2","5/07/15","11:28:33 am",152.9900232,-25.44767562,3.8,4.1,60,12.875,16,0,0.56547619047619,0.048110119047619,6.5,8,"Week 2","green"
"eagle","Landward - Creek","High",100,"Quarter 3","5/07/15","10:36:42 am",152.9902427,-25.44746061,1.2,0.7,16,5.875,29,0.0208333333333333,0.160416666666667,0.0336041666666667,6.625,8,"Week 2","green"
"eagle","Landward - Creek","High",100,"Quarter 4","5/07/15","10:57:58 am",152.990233685417,-25.4474615397917,2.2,0.8,10,2.25,10,0.0773809523809524,0.24702380952381,0.0518452380952381,6.125,8,"Week 2","green"
"eagle","Landward - Creek","Low",0,"Quarter 3","5/07/15","11:18:40 am",152.98981,-25.44750524,11.5,3.8,47,3.625,34,0,6.07916666666667,0.10275,5.875,8,"Week 2","green"
"eagle","Landward - Creek","Low",0,"Quarter 4","5/07/15","11:41:34 am",152.98981,-25.44750524,10,2.5,155,8.25,41,0.0208333333333333,0.541666666666667,0.0491666666666667,6.75,8,"Week 2","green"
"shoe","Landward - Creek","High",100,"Quarter 1","5/07/2015","10:34:08 AM",152.9897844,-25.44730195,1.1,0.7,7.5,5.25,27,0.0416666666666667,0,0.130572916666667,6.375,8,"Week 2","green"
"shoe","Landward - Creek","High",100,"Quarter 2","5/07/2015","10:59:42 AM",152.9897844,-25.44730195,1.8,0.85,9,2.25,23,0,0,0.0729166666666667,6.125,8,"Week 2","green"
"shoe","Landward - Creek","High",100,"Quarter 3","5/07/2015","11:14:17 AM",152.9897844,-25.44730195,2.81,0.35,7.3,2.25,22,0,0,0.0591145833333333,6.25,8,"Week 2","green"
"shoe","Landward - Creek","High",100,"Quarter 4","5/07/2015","11:27:19 AM",152.9897844,-25.44730195,3.7,0.55,7,0,25,0.0208333333333333,0.504166666666667,0.04375,5.875,8,"Week 2","green"
