"Group","Zonal point","Intertidal zone","Tape point","Quarter","Date","Time","Longitude","Latitude","Distance from point","Height","Circumference","Average number of buds alive","Average number of leaves distorted","Average number of Mines","Average number of Galls","Average percent of leaf missing","Average number of leaves per stem","Number of stems","Week","Group color"
"bell","Landward - Creek","Low",0,"Quarter 1","3/07/2015","11:08:20 AM",152.98986522,-25.44838385,1.5,0.9,6,13.125,21,0.0208333333333333,0.4375,0.205,6.125,8,"Week 2","yellow"
"bell","Landward - Creek","Low",0,"Quarter 2","3/07/2015","11:20:37 AM",152.98986522,-25.44838385,2.5,0.7,14,11.625,35,0.0357142857142857,0.145833333333333,0.0791666666666667,6.25,8,"Week 2","yellow"
"bell","Landward - Creek","Low",0,"Quarter 3","3/07/2015","11:08:24 AM",152.98969297,-25.44828821,3.2,0.7,8.5,6.75,32,0.333333333333333,0,0.0416666666666667,6,8,"Week 2","yellow"
"bell","Landward - Creek","Low",0,"Quarter 4","3/07/2015","11:19:33 AM",152.98969297,-25.44828821,1.3,0.7,9.5,7.5,29,0.2125,0.179166666666667,0.0275,6,8,"Week 2","yellow"
"fork","Seaward","High",100,"Quarter 1","3/07/2015","12:21:09 PM",152.98802709,-25.4479501,2.3,0.9,5,8.125,44,0,0.761904761904762,0.126986607142857,6.75,8,"Week 2","yellow"
"fork","Seaward","High",100,"Quarter 2","3/07/2015","12:46:03 PM",152.98802709,-25.4479501,1.84,1.88,10,7.875,33,0,0,0.08,6.125,8,"Week 2","yellow"
"fork","Seaward","High",100,"Quarter 3","3/07/2015","12:21:29 PM",152.98802625,-25.44795837,3.3,1.2,11,13.125,32,0.0833333333333333,0.297619047619048,0.0948214285714286,6.125,8,"Week 2","yellow"
"fork","Seaward","High",100,"Quarter 4","3/07/2015","12:44:50 PM",152.98801997125,-25.4479547802083,2,1.2,15.5,3,31,0.0625,0.0803571428571428,0.0691964285714286,6.125,8,"Week 2","yellow"
"fork","Seaward","Low",0,"Quarter 3","3/07/2015","1:06:08 PM",152.98772487,-25.44778606,4.5,2,9,9.42857142857143,29,0.0408163265306122,0.391156462585034,0.119642857142857,7.57142857142857,7,"Week 2","yellow"
"fork","Seaward","Low",0,"Quarter 4","3/07/2015","1:24:19 PM",152.98772487,-25.44778606,2.7,6,102,18,9,0.25,0.0833333333333333,0.174166666666667,6,2,"Week 2","yellow"
"one","Landward - Creek","High",100,"Quarter 1","3/07/2015","10:22:29 AM",152.98929264,-25.44807714,2.1,0.5,8,7.625,24,0.0666666666666667,1.77916666666667,0.0272559523809524,5.75,8,"Week 2","yellow"
"one","Landward - Creek","High",100,"Quarter 2","3/07/2015","10:48:03 AM",152.98929264,-25.44807714,2.3,0.4,6,10.625,26,0,0.0208333333333333,0.01125,6.125,8,"Week 2","yellow"
"one","Landward - Creek","High",100,"Quarter 3","3/07/2015","10:58:59 AM",152.98929264,-25.44807714,1.4,0.6,6,6,14,0.0595238095238095,1.79166666666667,0.0339880952380952,6.125,8,"Week 2","yellow"
"one","Landward - Creek","High",100,"Quarter 4","3/07/2015","11:10:59 AM",152.989253848958,-25.4480743347917,2.5,0.5,13,5.25,32,0.0208333333333333,0.645833333333333,0.0371666666666667,5.875,8,"Week 2","yellow"
"spoon","Seaward","Low",0,"Quarter 1","3/07/2015","1:08:49 PM",152.98764503,-25.44778477,8.27,4.2,18,8.25,35,0,0.1875,0.145833333333333,6,8,"Week 2","yellow"
"spoon","Seaward","Low",0,"Quarter 4","3/07/2015","1:19:03 PM",152.98756598,-25.4477923,2.7,6,102,9,26,0.0833333333333333,0.194444444444444,0.197777777777778,6,6,"Week 2","yellow"
"spoon","Seaward","Low",0,"Quarter 2","3/07/2015","1:20:01 PM",152.98761543,-25.44773427,5.7,4.2,91,6.85714285714286,39,0.0714285714285714,1.0952380952381,0.0323809523809524,6.85714285714286,7,"Week 2","yellow"
"taco","Landward - Creek","High",100,"Quarter 1","3/07/2015","10:29:15 AM",152.98922268,-25.44807405,1.1,0.4,5,7,39,0.0208333333333333,0.101190476190476,0.1409375,7,8,"Week 2","yellow"
"taco","Landward - Creek","High",100,"Quarter 2","3/07/2015","10:50:18 AM",152.98922268,-25.44807405,1.4,0.9,8,3,36,0.0416666666666667,0.0416666666666667,0.0572916666666667,6,8,"Week 2","yellow"
"taco","Landward - Creek","High",100,"Quarter 3","3/07/2015","10:31:27 AM",152.98919622,-25.44805555,3.6,0.4,5.5,2.875,35,0.233333333333333,0.125,0.294833333333333,5.875,8,"Week 2","yellow"
"taco","Landward - Creek","High",100,"Quarter 4","3/07/2015","10:47:57 AM",152.98919622,-25.44805555,1.5,0.4,6.5,7.375,41,0.254166666666667,0,0.044625,5.875,8,"Week 2","yellow"
