Date,Time,Latitude,Longitude,Group name,Quadrat Size,Species,Family,Week,Group color
28/06/2015,9:53:25 AM,,,GreenScrigglyGum,1x1,Lomandra obliqua,Asparagaceae,1,green
28/06/2015,9:53:25 AM,,,GreenScrigglyGum,1x1,Pteridium esculentum,Dennstaedtiaceae,1,green
28/06/2015,9:57:34 AM,,,GreenScrigglyGum,2x2,Blady grass,Poaceae,1,green
28/06/2015,10:00:15 AM,,,GreenScrigglyGum,4x2,Xylomelum salicinum,Proteaceae,1,green
28/06/2015,10:08:39 AM,,,GreenScrigglyGum,4x4,"Fine, pink grass",Poaceae,1,green
28/06/2015,10:16:49 AM,,,GreenScrigglyGum,8x4,Angophora leiocarpa,Myrtaceae,1,green
28/06/2015,10:16:49 AM,,,GreenScrigglyGum,8x4,Commelina diffusa,Commelinaceae,1,green
28/06/2015,10:16:49 AM,,,GreenScrigglyGum,8x4,Hibbertia linearis,Dilleniaceae,1,green
28/06/2015,10:16:49 AM,,,GreenScrigglyGum,8x4,Lomandra confertifolia,Asparagaceae,1,green
28/06/2015,10:16:49 AM,,,GreenScrigglyGum,8x4,Corymbia tessellaris,Myrtaceae,1,green
28/06/2015,10:21:00 AM,,,GreenScrigglyGum,8x8,Dianella caerulea,Xanthorreaceae,1,green
28/06/2015,10:21:00 AM,,,GreenScrigglyGum,8x8,Monotoca sp. Fraser Island,Ericaceae,1,green
28/06/2015,10:30:25 AM,,,GreenScrigglyGum,16x8,Casuarina glauca,Casuarinaceae,1,green
28/06/2015,10:30:25 AM,,,GreenScrigglyGum,16x8,Ricinocarpos pinifolius,Euphorbiaceae,1,green
28/06/2015,10:30:25 AM,,,GreenScrigglyGum,16x8,Corymbia intermedia,Myrtaceae,1,green
28/06/2015,10:30:25 AM,,,GreenScrigglyGum,16x8,Lepidosperma laterale,Cyperaceae,1,green
28/06/2015,10:39:31 AM,,,GreenScrigglyGum,16x16,Banksia integrifolia subsp. integrifolia,Proteaceae,1,green
28/06/2015,10:39:31 AM,,,GreenScrigglyGum,16x16,Schizaea bifida,Schizeaceae,1,green
28/06/2015,10:39:31 AM,,,GreenScrigglyGum,16x16,Schoenus brevifolius,Cyperaceae,1,green
