Date,Time,Latitude,Longitude,Group name,Quadrat Size,Species,Family,Week,Group color
29/06/2015,10:24:18 AM,,,Red Spider Heavan,1x1,Lomandra multiflora,Asparagaceae,1,red
29/06/2015,10:24:18 AM,,,Red Spider Heavan,1x1,Lomandra obliqua,Asparagaceae,1,red
29/06/2015,10:24:18 AM,,,Red Spider Heavan,1x1,Monotoca sp. Fraser Island,Ericaceae,1,red
29/06/2015,10:32:44 AM,,,Red Spider Heavan,2x1,Eucalyptus pilularis,Myrtaceae,1,red
29/06/2015,10:32:44 AM,,,Red Spider Heavan,2x1,Lepidosperma laterale,Cyperaceae,1,red
29/06/2015,10:32:44 AM,,,Red Spider Heavan,2x2,Pterostylis baptistii,Orchidaceae,1,red
29/06/2015,10:38:01 AM,,,Red Spider Heavan,4x2,Banksia serrata,Proteaceae,1,red
29/06/2015,10:38:01 AM,,,Red Spider Heavan,4x2,Leucopogan sp 1,Ericaceae,1,red
,,,,Red Spider Heavan,4x2,Leucopogan sp 2,Ericaceae,1,red
,,,,Red Spider Heavan,4x4,Schoenus brevifolius,Cyperaceae,1,red
,,,,Red Spider Heavan,4x4,Smilax vine,Smilacaceae,1,red
,,,,Red Spider Heavan,4x4,Hibbertia linearis,Dilleniaceae,1,red
29/06/2015,10:49:51 AM,,,Red Spider Heavan,8x4,Acacia leiocalyx,Fabaceae,1,red
29/06/2015,10:49:51 AM,,,Red Spider Heavan,8x4,Platysace lanceolata,Araliaceae,1,red
29/06/2015,10:49:51 AM,,,Red Spider Heavan,8x4,Xanthorrhoea sp.,Xanthorrhoeaceae,1,red
29/06/2015,10:55:35 AM,,,Red Spider Heavan,8x8,Endiandra sieberi,Lauraceae,1,red
29/06/2015,10:55:35 AM,,,Red Spider Heavan,8x8,Hibbertia linearis,Dilleniaceae,1,red
29/06/2015,10:55:35 AM,,,Red Spider Heavan,8x8,Pteridium esculentum,Dennstaedtiaceae,1,red
29/06/2015,10:55:35 AM,,,Red Spider Heavan,8x8,Caladenia catenata,Orchidaceae,1,red
29/06/2015,11:11:37 AM,,,Red Spider Heavan,16x8,Austromyrtus dulcis,Myrtaceae,1,red
29/06/2015,11:11:37 AM,,,Red Spider Heavan,16x8,Casuarina glauca,Casuarinaceae,1,red
29/06/2015,11:11:37 AM,,,Red Spider Heavan,16x8,Macrozamia douglasii,Zamiaceae,1,red
29/06/2015,11:20:26 AM,,,Red Spider Heavan,16x16,Acacia flavescens,Fabaceae,1,red
29/06/2015,11:20:26 AM,,,Red Spider Heavan,16x16,Boronia rosmarinifolia,Rutaceae,1,red
29/06/2015,11:20:26 AM,,,Red Spider Heavan,16x16,Leucopogan sp 3,Ericaceae,1,red
