Date,Time,Latitude,Longitude,Group name,Quadrat Size,Species,Family,Week,Group color
30/06/2015,1:53:43 PM,,,boomanjin open tall forest burnt,1x1,Pteridium esculentum,Dennstaeditiaceae,1,yellow
30/06/2015,1:53:43 PM,,,boomanjin open tall forest burnt,1x1,unknown small creeping plant,,1,yellow
30/06/2015,1:53:43 PM,,,boomanjin open tall forest burnt,1x1,Pink grass,Poaceae,1,yellow
30/06/2015,1:55:00 PM,,,boomanjin open tall forest burnt,2x1,Leucopogan sp 1,Ericaceae,1,yellow
30/06/2015,1:55:00 PM,,,boomanjin open tall forest burnt,2x1,Lomandra obliqua,Asperagales,1,yellow
30/06/2015,1:55:00 PM,,,boomanjin open tall forest burnt,2x1,Blady grass,Poaceae,1,yellow
30/06/2015,1:55:27 PM,,,boomanjin open tall forest burnt,2x2,Monotoca sp. Fraser Island,Ericaceae,1,yellow
,,,,boomanjin open tall forest burnt,2x4,Bossiaea,Fabaceae,1,yellow
,,,,boomanjin open tall forest burnt,2x4,Boronia rosmarinifolia,Rutaceae,1,yellow
,,,,boomanjin open tall forest burnt,2x4,Phebalium,Rutaceae,1,yellow
30/06/2015,1:57:29 PM,,,boomanjin open tall forest burnt,4x4,Casuarina glauca,Casuarinaceae,1,yellow
,,,,boomanjin open tall forest burnt,4x4,Persoonia,Proteaceae,1,yellow
,,,,boomanjin open tall forest burnt,4x4,Elaeocarpus reticulatus,Elaeocarpaceae,1,yellow
,,,,boomanjin open tall forest burnt,4x8,Xanthorrhoea,Xanthorrhoeaceae,1,yellow
,,,,boomanjin open tall forest burnt,4x8,Platysace lanceolata,Araliaceae,1,yellow
30/06/2015,2:12:01 PM,,,boomanjin open tall forest burnt,4x8,Acacia leiocalyx,Fabaceae,1,yellow
30/06/2015,2:12:01 PM,,,boomanjin open tall forest burnt,4x8,Banksia integrifolia subsp. integrifolia,Proteaceae,1,yellow
30/06/2015,2:12:01 PM,,,boomanjin open tall forest burnt,8x8,Eucalyptus pilularis,Myrtaceae,1,yellow
30/06/2015,2:12:01 PM,,,boomanjin open tall forest burnt,8x8,Ricinocarpos pinifolius,Euphorbiaceae,1,yellow
30/06/2015,2:13:30 PM,,,boomanjin open tall forest burnt,16x8,Angophora leiocarpa,Myrtaceae,1,yellow
30/06/2015,2:13:30 PM,,,boomanjin open tall forest burnt,16x8,Corymbia intermedia,Myrtaceae,1,yellow
30/06/2015,2:13:30 PM,,,boomanjin open tall forest burnt,16x8,Astrotricha longifolia,Araliaceae,1,yellow
30/06/2015,2:17:30 PM,,,boomanjin open tall forest burnt,16x16,Acacia flavescens,Fabaceae,1,yellow
30/06/2015,2:17:30 PM,,,boomanjin open tall forest burnt,16x16,Dianella caerulea,Xanthorrhoeaceae,1,yellow
,,,,boomanjin open tall forest burnt,16x16,Hardenbergia violacea,Fabaceae,1,yellow
,,,,boomanjin open tall forest burnt,16x16,Hibbertia vestita,Dilleniaceae,1,yellow
