Date,Time,Latitude,Longitude,Group name,Quadrat Size,Species,Family,Week,Group color
,,,,,,,,,
Spider Heavan & no man's land toward Lake Boomanjin (Medium Woodland),,,,,,,,,
4/07/2015,12:14:29 PM,,,red group no man's land,1x1,Banksia serrata,Proteaceae,2,red
4/07/2015,12:14:29 PM,,,red group no man's land,1x1,Lomandra obliqua,Asparagaceae,2,red
4/07/2015,12:14:29 PM,,,red group no man's land,1x1,Ricinocarpos pinifolius,Euphorbiaceae,2,red
4/07/2015,12:14:29 PM,,,red group no man's land,1x1,Unknown baby eucalyptus,Myrtaceae,2,red
4/07/2015,12:14:29 PM,,,red group no man's land,1x1,Cassytha sp (Dodder),Lauraceae,2,red
5/07/2015,1:14:29 PM,,,red group no man's land,1x1,Leucopogan No 1,Ericaceae,2,red
4/07/2015,12:19:41 PM,,,red group no man's land,2x1,Leucopogan 2,Ericaceae,2,red
4/07/2015,12:19:41 PM,,,red group no man's land,2x1,Themeda triandra (Kangaroo grass),Poaceae,2,red
5/07/2015,1:19:41 PM,,,red group no man's land,2x1,Lomandra multiflora,Asparagaceae,2,red
6/07/2015,2:19:41 PM,,,red group no man's land,2x2,Hibbertia vestita,Dilleniaceae,2,red
4/07/2015,12:23:15 PM,,,red group no man's land,2x2,Leucopogan 3,Ericaceae,2,red
4/07/2015,12:28:05 PM,,,red group no man's land,4x2,Acacia flavescens,Fabaceae,2,red
5/07/2015,1:28:05 PM,,,red group no man's land,4x2,Lomandra filiformis,Asparagaceae,2,red
4/07/2015,12:28:05 PM,,,red group no man's land,4x2,Casuarina littoralis,Casuarinaceae,2,red
4/07/2015,12:28:05 PM,,,red group no man's land,4x2,Pteridium esculentum,Dennstaedtiaceae,2,red
5/07/2015,1:28:05 PM,,,red group no man's land,4x2,Syncarpia,Myrtaceae,2,red
6/07/2015,2:28:05 PM,,,red group no man's land,4x2,Endiandra,Lauraceae,2,red
4/07/2015,12:35:11 PM,,,red group no man's land,4x4,Caustis blakei,Cyperaceae,2,red
4/07/2015,12:35:11 PM,,,red group no man's land,4x4,unknown small herb,?,2,red
5/07/2015,1:35:11 PM,,,red group no man's land,4x4,Corymbia sp.,Myrtaceae,2,red
6/07/2015,2:35:11 PM,,,red group no man's land,4x4,Lepidosperma laterale,Cyperaceae,2,red
7/07/2015,3:35:11 PM,,,red group no man's land,4x4,Persoonia sp.,Proteaceae,2,red
4/07/2015,12:40:06 PM,,,red group no man's land,8x4,Acacia leiocalyx,Fabaceae,2,red
4/07/2015,12:40:06 PM,,,red group no man's land,8x4,Pea plant,Fabaceae,2,red
5/07/2015,1:40:06 PM,,,red group no man's land,8x8,Eucalyptus racemosa,Myrtaceae,2,red
4/07/2015,12:44:32 PM,,,red group no man's land,8x8,Banksia integrifolia subsp. integrifolia,Proteaceae,2,red
4/07/2015,12:44:32 PM,,,red group no man's land,8x8,Leucopogon,Schizaeaceae,2,red
5/07/2015,1:44:32 PM,,,red group no man's land,8x16,Xanthorrhoea,Xanthorrhoeaceae,2,red
6/07/2015,2:44:32 PM,,,red group no man's land,8x16,Boronia rosmarinifolia,Rutaceae,2,red
7/07/2015,3:44:32 PM,,,red group no man's land,8x16,Leucopogon 4,Ericaceae,2,red
4/07/2015,12:51:52 PM,,,red group no man's land,16x16,Eucalyptus pilularis,Myrtaceae,2,red
,,,,,,,,,
Retrogression site:,,,,,,,,,
4/07/2015,8:50:19 AM,,,blue retro,1x1,Phebalium woombye,,2,red
4/07/2015,8:53:23 AM,,,blue retro,1x1,Callitris Pine,Cupressaceae,2,red
5/07/2015,9:53:23 AM,,,blue retro,1x1,Xanthorrhoea,,2,red
4/07/2015,8:53:23 AM,,,blue retro,2x1,Lepidosperma laterale,,2,red
4/07/2015,8:54:57 AM,,,blue retro,2x2,Banksia serrata,Proteaceae,2,red
4/07/2015,8:54:57 AM,,,blue retro,2x2,Casuarina littoralis,Casuarinaceae,2,red
4/07/2015,8:54:57 AM,,,blue retro,2x2,Hibbertia sp.,,2,red
4/07/2015,8:57:09 AM,,,blue retro,4x2,Monotoca sp. Fraser Island,Ericaceae,2,red
4/07/2015,9:02:07 AM,,,blue retro,4x4,Lophostemon confertus,Myrtaceae,2,red
4/07/2015,9:02:07 AM,,,blue retro,4x4,Cassythe pubescens,,2,red
4/07/2015,9:02:07 AM,,,blue retro,4x4,Leucopogon sp.,,2,red
4/07/2015,9:07:44 AM,,,blue retro,8x4,Austromyrtus dulcis,Myrtaceae,2,red
4/07/2015,9:07:44 AM,,,blue retro,8x4,Eucalyptus pilularis,Myrtaceae,2,red
4/07/2015,9:12:40 AM,,,blue retro,8x8,Leptospermum sp,Myrtaceae,2,red
4/07/2015,9:12:40 AM,,,blue retro,8x8,Leucopogon sp. 2,,2,red
4/07/2015,9:17:55 AM,,,blue retro,16x8,Orchid,,2,red
4/07/2015,9:17:55 AM,,,blue retro,16x8,Panicum grass,,2,red
4/07/2015,9:29:56 AM,,,blue retro,16x16,Acacia flavescens,Fabaceae,2,red
5/07/2015,10:29:56 AM,,,blue retro,16x16,Hydrocotlye sp.,,2,red
6/07/2015,11:29:56 AM,,,blue retro,16x16,Acacia falcata,,2,red
7/07/2015,12:29:56 PM,,,blue retro,16x16,Caustis blakei,,2,red
8/07/2015,1:29:56 PM,,,blue retro,16x16,Leucopogon sp. 3,,2,red
