"Date","Time","Longitude","Latitude","Group","Quadrat size","Vegetation type","Quadrat #","Tallest tree","Foliage cover","Ground cover","Litter depth","Small trees","Shrub size","Shrub count","Spider Hole","Tree Species Name","Tree Species DBH","Acacia Dominant","Angophora Dominant","Araucaria Dominant","Banksia Dominant","Callitris Dominant","Casuarina Dominant","Eucalyptus Dominant","Lophostemon Dominant","Melaleuca Dominant","Syncarpia Dominant","area","Basal Area","Frequency","Density","Relative Basal Area","Relative Frequency","Relative Density","Relative Importance","Week","Group color"
"2/07/2015","9:16:07 AM",NA,NA,"blue wallum heath","20x20m",NA,1,9,0.6,0.07,5,NA,"0-2m",NA,0,"",NA,0,0,0,0,0,0,1,0,0,0,400,NA,NA,NA,NA,NA,NA,NA,"Week 2","blue"
"2/07/2015","9:18:37 AM",NA,NA,"blue wallum heath","20x20m",NA,2,9,0.48,0.4,3,NA,"0-2m",NA,0,"",NA,0,0,0,0,0,0,1,0,0,0,400,NA,NA,NA,NA,NA,NA,NA,"Week 2","blue"
"2/07/2015","9:21:29 AM",NA,NA,"blue wallum heath","20x20m",NA,3,9,0.65,0.07,6,NA,"0-2m",NA,0,"",NA,0,0,0,0,0,0,1,0,0,0,400,NA,NA,NA,NA,NA,NA,NA,"Week 2","blue"
"2/07/2015","9:24:31 AM",NA,NA,"blue wallum heath","20x20m",NA,4,9,0.45,0.28,10,NA,"0-2m",NA,0,"",NA,0,0,0,0,0,0,1,0,0,0,400,NA,NA,NA,NA,NA,NA,NA,"Week 2","blue"
"2/07/2015","1:37:08 PM",NA,NA,"red retrogression","10x10m",NA,1,21,0.6,0.5,10,NA,"2-8m",NA,NA,"",NA,0,0,0,1,1,1,1,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,"Week 2","blue"
"2/07/2015","1:38:49 PM",NA,NA,"red retrogression","10x10m",NA,2,21,0.85,0.1,10,NA,"2-8m",NA,NA,"",NA,0,0,0,1,1,1,1,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,"Week 2","blue"
"2/07/2015","1:39:08 PM",NA,NA,"red retrogression","10x10m",NA,3,21,0.3,0.05,10,NA,"2-8m",NA,NA,"",NA,0,0,0,1,1,1,1,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,"Week 2","blue"
"2/07/2015","1:39:21 PM",NA,NA,"red retrogression","10x10m",NA,4,21,0,0.2,10,NA,"2-8m",NA,NA,"",NA,0,0,0,1,1,1,1,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,"Week 2","blue"
"2/07/2015","12:51:51 PM",NA,NA,"blue group spider heaven post sandblow","10x10m",NA,1,13,0.8,0.05,5,NA,"0-2m",NA,NA,"",NA,0,0,0,1,0,1,1,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,"Week 2","blue"
"2/07/2015","12:54:20 PM",NA,NA,"blue group spider heaven post sandblow","10x10m",NA,2,13,0.6,0.2,20,NA,"0-2m",NA,NA,"",NA,0,0,0,1,0,1,1,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,"Week 2","blue"
"2/07/2015","12:57:09 PM",NA,NA,"blue group spider heaven post sandblow","10x10m",NA,3,13,0.55,0.05,10,NA,"0-2m",NA,NA,"",NA,0,0,0,1,0,1,1,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,"Week 2","blue"
"2/07/2015","12:59:56 PM",NA,NA,"blue group spider heaven post sandblow","10x10m",NA,4,13,0.5,0.3,20,NA,"0-2m",NA,NA,"",NA,0,0,0,1,0,1,1,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,"Week 2","blue"
"2/07/2015","9:16:07 AM",NA,NA,"blue wallum heath","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.643312101911,22,0.055,0.56,0.52,0.24,0.44,"Week 2","blue"
"2/07/2015","9:16:07 AM",NA,NA,"blue wallum heath","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Casuarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.94585987261146,1,0.0025,0.01,0.02,0.01,0.01,"Week 2","blue"
"2/07/2015","9:16:07 AM",NA,NA,"blue wallum heath","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Banksia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.20063694267516,2,0.005,0.03,0.05,0.02,0.03,"Week 2","blue"
"2/07/2015","9:16:07 AM",NA,NA,"red retrogression","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.43949044585987,1,0.01,0.04,0.02,0.04,0.03,"Week 2","blue"
"2/07/2015","9:16:07 AM",NA,NA,"red retrogression","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Lophostemon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.0286624203822,3,0.03,0.08,0.07,0.13,0.09,"Week 2","blue"
"2/07/2015","9:16:07 AM",NA,NA,"red retrogression","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Callitris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.0668789808917,2,0.02,0.05,0.05,0.09,0.06,"Week 2","blue"
"2/07/2015","9:16:07 AM",NA,NA,"red retrogression","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Banksia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.7547770700637,4,0.04,0.08,0.1,0.17,0.12,"Week 2","blue"
"2/07/2015","9:16:07 AM",NA,NA,"blue group spider heaven post sandblow","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Casuarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4649681528662,3,0.03,0.05,0.07,0.13,0.08,"Week 2","blue"
"2/07/2015","9:16:07 AM",NA,NA,"blue group spider heaven post sandblow","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Banksia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.6464968152866,4,0.04,0.1,0.1,0.17,0.12,"Week 2","blue"
"2/07/2015","9:16:07 AM",NA,NA,"blue wallum heath","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 2","blue"
"2/07/2015","9:16:07 AM",NA,NA,"blue wallum heath","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Angophora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 2","blue"
"2/07/2015","9:16:07 AM",NA,NA,"blue wallum heath","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Araucaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 2","blue"
"2/07/2015","9:16:07 AM",NA,NA,"blue wallum heath","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Callitris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 2","blue"
"2/07/2015","9:16:07 AM",NA,NA,"blue wallum heath","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Lophostemon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 2","blue"
"2/07/2015","9:16:07 AM",NA,NA,"blue wallum heath","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Melaleuca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 2","blue"
"2/07/2015","9:16:07 AM",NA,NA,"blue wallum heath","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Syncarpia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 2","blue"
"2/07/2015","9:16:07 AM",NA,NA,"blue wallum heath","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 2","blue"
"2/07/2015","9:16:07 AM",NA,NA,"red retrogression","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 2","blue"
"2/07/2015","9:16:07 AM",NA,NA,"red retrogression","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Angophora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 2","blue"
"2/07/2015","9:16:07 AM",NA,NA,"red retrogression","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Araucaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 2","blue"
"2/07/2015","9:16:07 AM",NA,NA,"red retrogression","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Casuarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 2","blue"
"2/07/2015","9:16:07 AM",NA,NA,"red retrogression","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Melaleuca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 2","blue"
"2/07/2015","9:16:07 AM",NA,NA,"red retrogression","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Syncarpia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 2","blue"
"2/07/2015","9:16:07 AM",NA,NA,"red retrogression","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 2","blue"
"2/07/2015","9:16:07 AM",NA,NA,"blue group spider heaven post sandblow","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 2","blue"
"2/07/2015","9:16:07 AM",NA,NA,"blue group spider heaven post sandblow","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Angophora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 2","blue"
