"Date","Time","Group","Distance along tape","Zone","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Total number burrows","Ratio active burrows","Ratio >2cm across burrows","Number of trees","Number of ground plants","Living ground cover","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla","Week","Group color"
"30/06/2015","8:29:11 AM","Crabby",100,"80m-100m",153.09461976,-25.60023995,"Upslope",0.01,1,1,0,2,0.5,0,0,1,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","blue"
"30/06/2015","8:41:29 AM","Crabby",5,"0-20m",153.09452915,-25.60052966,"Upslope",0,0,1,0,1,0,0,0,1,0.15,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","blue"
"30/06/2015","8:44:20 AM","Crabby",0,"0-20m",153.09454714,-25.6005456,"Upslope",0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","blue"
"30/06/2015","8:45:30 AM","Crabby",10,"0-20m",153.09441153,-25.60054124,"Crest",0.01,0,0,0,0,NA,NA,0,1,0.6,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","blue"
"30/06/2015","8:47:05 AM","Crabby",15,"0-20m",153.09441346,-25.60053807,"Trough",0.05,0,1,0,1,0,0,0,1,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","blue"
"30/06/2015","8:48:33 AM","Crabby",20,"0-20m",153.09438108,-25.60049679,"Upslope",0,0,8,2,8,0,0.25,0,1,0.4,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","blue"
"30/06/2015","8:50:59 AM","Crabby",25,"20-40m",153.09432153,-25.60051571,"Upslope",0,0,5,1,5,0,0.2,0,1,0.45,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","blue"
"30/06/2015","8:54:03 AM","Crabby",30,"20-40m",153.09426536,-25.60049481,"Upslope",0.01,3,3,2,6,0.5,0.333333333333333,0,2,0.35,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","blue"
"30/06/2015","8:56:22 AM","Crabby",35,"20-40m",153.09421867,-25.60049797,"Crest",0.9,1,4,2,5,0.2,0.4,1,1,0.07,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 1","blue"
"30/06/2015","8:58:53 AM","Crabby",40,"20-40m",153.09417814,-25.60050217,"Downslope",0.05,1,2,1,3,0.333333333333333,0.333333333333333,0,2,0.6,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","blue"
"30/06/2015","9:01:01 AM","Crabby",45,"40-60m",153.09411425,-25.60050715,"Downslope",0.2,0,0,0,0,NA,NA,0,2,0.6,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","blue"
"30/06/2015","9:02:52 AM","Crabby",50,"40-60m",153.09407314,-25.6004742,"Upslope",0.15,2,3,1,5,0.4,0.2,0,2,0.4,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","blue"
