"Date","Time","Group","Distance along tape","Zone","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Ratio active burrows","Ratio >2cm across burrows","Number of trees","Number of ground plants","Living ground cover","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla","Week"
"27/06/2015","9:02:32 AM","tanisha",0,"0-20m",153.09586991,-25.59650098,"Upslope",0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:05:11 AM","tanisha",5,"0-20m",153.09572542,-25.59647276,"Upslope",0,0,0,0,NA,NA,0,1,0.7,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:08:18 AM","tanisha",10,"0-20m",153.09575476,-25.59642134,"Downslope",0,0,0,0,NA,NA,0,1,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:13:01 AM","tanisha",15,"0-20m",153.09569998,-25.59634644,"Upslope",0.02,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:14:19 AM","tanisha",20,"0-20m",153.09567096,-25.59634504,"Upslope",0.05,0,0,0,NA,NA,0,2,0.06,0.02,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:18:14 AM","tanisha",25,"20-40m",153.09562959,-25.5963408,"Upslope",0,0,0,0,NA,NA,0,2,0.71,0.01,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:20:06 AM","tanisha",30,"20-40m",153.09558208,-25.5963171,"Crest",0,3,0,2,1,0.666666666666667,0,3,0.23,0,0,0,0,0,0.02,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:29:10 AM","tanisha",35,"20-40m",153.09552392,-25.59630065,"Trough",0.2,1,1,0,0.5,0,0,2,0.27,0,0,0,0,0,0.25,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:32:35 AM","tanisha",40,"20-40m",153.09547999,-25.59628825,"Upslope",0.55,0,3,0,0,0,0,1,0.08,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:38:05 AM","tanisha",45,"40-60m",153.0954166,-25.59627296,"Crest",0.2,0,2,0,0,0,0,2,0.1,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:42:04 AM","tanisha",50,"40-60m",153.09535547,-25.59623548,"Downslope",0.2,0,1,0,0,0,0,2,0.25,0.2,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:49:43 AM","tanisha",55,"40-60m",153.09534575,-25.59623066,"Trough",0.1,0,0,0,NA,NA,1,2,0.78,0,0,0,0,0,0.75,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 1"
"27/06/2015","9:53:54 AM","tanisha",60,"40-60m",153.09528478,-25.59624013,"Trough",0.1,0,0,0,NA,NA,0,2,0.95,0,0,0,0,0,0.85,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:59:29 AM","tanisha",65,"60-80m",153.09524823,-25.59624867,"Trough",0.4,0,0,0,NA,NA,2,2,0.59,0,0,0,0,0,0.5,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"Week 1"
"27/06/2015","10:00:56 AM","tanisha",70,"60-80m",153.09520158,-25.59622972,"Trough",0.4,0,0,0,NA,NA,1,2,0.31,0,0,0,0,0,0.25,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 1"
"27/06/2015","10:07:30 AM","tanisha",75,"60-80m",153.09515325,-25.59622447,"Trough",0.15,2,0,2,1,1,1,4,0.41,0,0,0,0,0,0.3,0,0,0.08,0.02,0,0,0,0,0,0,0,0,0,0,0,0.01,0,1,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","10:18:12 AM","tanisha",80,"60-80m",NA,NA,"Upslope",0.2,NA,NA,NA,NA,NA,2,5,0.28,0,0,0,0,0,0.04,0,0,0.08,0,0,0.05,0.1,0,0,0,0,0,0,0,0,0.01,0,1,0,0,0,0,0,1,0,0,0,"Week 1"
