"Date","Time","Group","Distance along tape","Zone","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Total number burrows","Ratio active burrows","Ratio >2cm across burrows","Number of trees","Number of ground plants","Living ground cover","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla","Week","Group color"
"28/06/2015","8:57:56 AM","Red barron",5,"0-20m",153.0952146,-25.59827456,"Trough",0,0,0,0,0,NA,NA,0,1,0.03,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","red"
"28/06/2015","9:04:28 AM","Red barron",0,"0-20m",153.0952136,-25.59828498,"Trough",0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","red"
"28/06/2015","9:08:22 AM","Red barron",10,"0-20m",153.0951793,-25.59827071,"Trough",0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","red"
"28/06/2015","9:09:19 AM","Red barron",15,"0-20m",NA,NA,"Upslope",0,0,0,0,0,NA,NA,0,1,0.005,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","red"
"28/06/2015","9:11:20 AM","Red barron",20,"0-20m",NA,NA,"Upslope",0.35,0,0,0,0,NA,NA,0,2,0.09,0,0,0.01,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","red"
"28/06/2015","9:13:37 AM","Red barron",25,"20-40m",153.0950629,-25.59818336,"Crest",0.2,0,9,2,9,0,0.222222222222222,0,2,0.61,0,0,0.01,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","red"
"28/06/2015","9:16:15 AM","Red barron",30,"20-40m",NA,NA,"Trough",0.98,0,0,0,0,NA,NA,0,1,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","red"
"28/06/2015","9:23:31 AM","Red barron",35,"20-40m",153.0949171,-25.59812728,"Upslope",1,0,0,0,0,NA,NA,0,3,0.16,0,0,0,0,0,0.1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","red"
"28/06/2015","9:27:08 AM","Red barron",40,"20-40m",153.094875,-25.59814067,"Crest",0.98,0,0,0,0,NA,NA,1,1,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 1","red"
"28/06/2015","9:29:04 AM","Red barron",45,"40-60m",153.0948466,-25.59813311,"Upslope",0.95,0,0,0,0,NA,NA,1,1,0.15,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 1","red"
"28/06/2015","9:31:44 AM","Red barron",50,"40-60m",NA,NA,"Crest",0.95,0,1,1,1,0,1,0,3,0.37,0.15,0,0.02,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","red"
"28/06/2015","9:37:23 AM","Red barron",55,"40-60m",153.0947305,-25.59811196,"Downslope",0.2,0,1,1,1,0,1,1,3,0.59,0.4,0,0,0,0,0.15,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 1","red"
"28/06/2015","9:40:21 AM","Red barron",60,"40-60m",153.0946962,-25.59812494,"Downslope",0.8,0,3,1,3,0,0.333333333333333,0,1,0.3,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","red"
"28/06/2015","9:42:15 AM","Red barron",65,"60-80m",153.0946514,-25.5980981,"Trough",0.4,0,2,0,2,0,0,1,1,0.6,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Week 1","red"
"28/06/2015","9:44:33 AM","Red barron",70,"60-80m",153.0946002,-25.59806408,"Trough",0.5,0,0,0,0,NA,NA,1,3,0.29,0,0.04,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,"Week 1","red"
"28/06/2015","9:54:10 AM","Red barron",75,"60-80m",153.09454,-25.59806051,"Trough",0.5,0,0,0,0,NA,NA,1,2,0.25,0,0,0,0,0,0,0,0.1,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Week 1","red"
