"Date","Time","Group","Distance along tape","Zone","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Total number burrows","Ratio active burrows","Ratio >2cm across burrows","Number of trees","Number of ground plants","Living ground cover","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla","Week","Group color"
"28/06/2015","10:03:50 AM","satoiB",80,"60-80m",153.0946088,-25.59754828,"Trough",0.5,0,1,1,1,0,1,0,3,0.25,0,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","red"
"28/06/2015","8:53:04 AM","satoi",0,"0-20m",153.0954519,-25.59769828,"Trough",0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","red"
"28/06/2015","8:58:14 AM","satoi",5,"0-20m",153.0953427,-25.59768711,"Upslope",0,1,0,1,1,1,1,0,1,0.07,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","red"
"28/06/2015","9:01:59 AM","satoi",10,"0-20m",153.0953201,-25.59768731,"Crest",0,1,0,0,1,1,0,0,1,0.23,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","red"
"28/06/2015","9:07:00 AM","satoi",15,"0-20m",153.0952749,-25.59767096,"Upslope",0.01,1,0,0,1,1,0,0,1,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","red"
"28/06/2015","9:08:56 AM","satoi",20,"0-20m",153.0951875,-25.5976797,"Upslope",0,2,0,0,2,1,0,0,1,0.18,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","red"
"28/06/2015","9:10:34 AM","satoi",25,"20-40m",153.095173,-25.59763606,"Upslope",0,0,1,0,1,0,0,0,2,0.35,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","red"
"28/06/2015","9:20:55 AM","satoi",30,"20-40m",153.0950673,-25.5977451,"Crest",0.02,1,7,0,8,0.125,0,0,2,0.28,0,0,0,0,0,0,0.2,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","red"
"28/06/2015","9:26:41 AM","satoi",35,"20-40m",153.0950708,-25.59761612,"Downslope",0.88,1,1,1,2,0.5,0.5,0,2,0.12,0,0,0,0,0,0,0.02,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","red"
"28/06/2015","9:31:23 AM","satoi",40,"20-40m",153.0950405,-25.59765679,"Downslope",0.36,0,0,0,0,NA,NA,0,2,0.63,0.03,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","red"
