"Date","Time","Group","Distance along tape","Zone","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Total number burrows","Ratio active burrows","Ratio >2cm across burrows","Number of trees","Number of ground plants","Living ground cover","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla","Week","Group color"
"29/06/2015","8:31:27 AM","gazza",0,"0-20m",153.09599508,-25.5956909,"Upslope",0,0,0,0,0,NA,NA,0,1,0.06,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
"29/06/2015","8:47:35 AM","gazza",5,"0-20m",153.09603849,-25.59553713,"Upslope",0.02,0,0,0,0,NA,NA,0,1,0.65,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
"29/06/2015","8:49:02 AM","gazza",10,"0-20m",NA,NA,"Crest",0,1,0,0,1,1,0,0,1,0.07,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
"29/06/2015","8:53:24 AM","gazza",15,"0-20m",153.09595698,-25.59550466,"Trough",0,0,0,0,0,NA,NA,0,1,0.17,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
"29/06/2015","8:55:05 AM","gazza",20,"0-20m",153.09591106,-25.59549721,"Upslope",0.1,0,1,0,1,0,0,0,1,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
"29/06/2015","8:58:13 AM","gazza",25,"20-40m",153.09585061,-25.59549146,"Upslope",0.05,1,1,0,2,0.5,0,0,1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
"29/06/2015","9:00:39 AM","gazza",30,"20-40m",153.09582059,-25.59549652,"Trough",0.05,0,8,3,8,0,0.375,2,3,0.4,0.3,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,1,0,0,0,0,0,1,0,0,0,"Week 1","yellow"
"29/06/2015","9:05:30 AM","gazza",35,"20-40m",153.09578537,-25.59544161,"Trough",0.02,0,7,1,7,0,0.142857142857143,1,2,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 1","yellow"
"29/06/2015","9:09:08 AM","gazza",40,"20-40m",153.0957441,-25.5954492,"Upslope",0.1,0,0,0,0,NA,NA,0,2,0.9,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
"29/06/2015","9:11:25 AM","gazza",45,"40-60m",153.09571197,-25.5954279,"Crest",0.15,0,1,0,1,0,0,0,2,0.85,0,0,0,0,0,0.75,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
"29/06/2015","9:14:00 AM","gazza",50,"40-60m",153.09568187,-25.59543911,"Downslope",0.35,0,0,0,0,NA,NA,0,2,0.55,0,0,0,0,0,0.15,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
"29/06/2015","9:18:26 AM","gazza",55,"40-60m",153.0955746,-25.59545083,"Downslope",0.1,0,1,1,1,0,1,1,2,0.9,0,0,0,0,0,0.4,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 1","yellow"
"29/06/2015","9:20:26 AM","gazza",60,"40-60m",153.09555234,-25.59544671,"Trough",0.05,0,0,0,0,NA,NA,1,2,0.95,0,0,0,0,0,0.7,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 1","yellow"
"29/06/2015","9:22:31 AM","gazza",65,"60-80m",153.09547085,-25.59538543,"Trough",0.2,0,1,1,1,0,1,1,3,0.7,0,0,0,0,0,0.5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,1,0,0,0,"Week 1","yellow"
"29/06/2015","9:25:05 AM","gazza",70,"60-80m",153.09546669,-25.5953686,"Trough",0.3,0,0,0,0,NA,NA,1,3,0.32,0,0,0,0,0,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,1,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
