"Date","Time","Group","Distance along tape","Zone","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Total number burrows","Ratio active burrows","Ratio >2cm across burrows","Number of trees","Number of ground plants","Living ground cover","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla","Week","Group color"
"5/07/2015","8:29:14 AM","bluespidermonkeys",100,"80m-100m",153.09284814,-25.60593965,"Upslope",0.01,2,0,0,2,1,0,1,1,0.15,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Week 2","blue"
"5/07/2015","8:44:44 AM","bluespidermonkeys",0,"0-20m",153.09274213,-25.60640055,"Trough",0.03,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","blue"
"5/07/2015","8:46:08 AM","bluespidermonkeys",5,"0-20m",153.09270624,-25.60638819,"Trough",0.02,0,0,0,0,NA,NA,0,1,0.15,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","blue"
"5/07/2015","8:47:13 AM","bluespidermonkeys",10,"0-20m",153.09266519,-25.60637113,"Trough",0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","blue"
"5/07/2015","8:48:22 AM","bluespidermonkeys",15,"0-20m",153.09257655,-25.60639278,"Trough",0,0,2,0,2,0,0,0,1,0.15,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","blue"
"5/07/2015","8:49:28 AM","bluespidermonkeys",20,"0-20m",153.09256475,-25.60636423,"Upslope",0.01,0,0,0,0,NA,NA,0,1,0.9,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","blue"
"5/07/2015","8:51:05 AM","bluespidermonkeys",25,"20-40m",153.09250856,-25.60633405,"Crest",0,1,6,0,7,0.142857142857143,0,0,1,0.55,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","blue"
"5/07/2015","8:57:04 AM","bluespidermonkeys",30,"20-40m",153.09250548,-25.60632613,"Crest",0.3,3,4,1,7,0.428571428571429,0.142857142857143,0,2,0.6,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","blue"
"5/07/2015","9:00:37 AM","bluespidermonkeys",35,"20-40m",153.09242166,-25.60629519,"Upslope",0.3,3,3,2,6,0.5,0.333333333333333,0,1,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","blue"
"5/07/2015","9:08:36 AM","bluespidermonkeys",40,"20-40m",153.09239783,-25.60629158,"Crest",0.05,0,7,5,7,0,0.714285714285714,0,3,0.81,0,0,0,0,0,0.05,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","blue"
"5/07/2015","9:15:37 AM","bluespidermonkeys",45,"40-60m",153.09238819,-25.60629359,"Upslope",0.85,0,0,0,0,NA,NA,0,2,0.3,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","blue"
