"Date","Time","Group","Distance along tape","Zone","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Total number burrows","Ratio active burrows","Ratio >2cm across burrows","Number of trees","Number of ground plants","Living ground cover","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla","Week","Group color"
"5/07/2015","8:29:08 AM","bluewhale",100,"80m-100m",153.09282516,-25.60595003,"Upslope",0.01,2,0,0,2,1,0,1,1,0.15,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Week 2","blue"
"5/07/2015","8:42:05 AM","bluewhale",0,"0-20m",153.09267126,-25.60661069,"Trough",0.05,0,0,0,0,NA,NA,0,1,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","blue"
"5/07/2015","8:43:57 AM","bluewhale",5,"0-20m",153.09261564,-25.6066003,"Upslope",0,0,0,0,0,NA,NA,0,1,0.06,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","blue"
"5/07/2015","8:45:03 AM","bluewhale",10,"0-20m",153.09257107,-25.60659627,"Crest",0.01,2,2,0,4,0.5,0,0,1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","blue"
"5/07/2015","8:47:10 AM","bluewhale",15,"0-20m",153.09254866,-25.60655691,"Trough",0.01,0,1,0,1,0,0,0,2,0.32,0,0,0.02,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","blue"
"5/07/2015","8:50:11 AM","bluewhale",20,"0-20m",153.09252402,-25.60656583,"Upslope",0.01,0,5,0,5,0,0,0,1,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","blue"
"5/07/2015","8:54:15 AM","bluewhale",25,"20-40m",153.09245424,-25.60652157,"Crest",0.6,2,1,2,3,0.666666666666667,0.666666666666667,1,1,0.6,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","blue"
"5/07/2015","8:58:55 AM","bluewhale",30,"20-40m",153.09239031,-25.60654002,"Upslope",0.9,0,4,2,4,0,0.5,1,2,0.4,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","blue"
"5/07/2015","9:02:48 AM","bluewhale",35,"20-40m",153.0923574,-25.60648722,"Crest",0.9,0,1,1,1,0,1,1,4,0.4,0,0,0,0,0,0.05,0.15,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","blue"
"5/07/2015","9:08:32 AM","bluewhale",40,"20-40m",153.09231008,-25.6065053,"Trough",0.5,3,3,2,6,0.5,0.333333333333333,0,4,0.42,0.01,0,0,0,0,0.1,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","blue"
