"Date","Time","Group","Distance along tape","Zone","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Total number burrows","Ratio active burrows","Ratio >2cm across burrows","Number of trees","Number of ground plants","Living ground cover","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla","Week","Group color"
"2/07/2015","8:41:18 AM","green sophie",100,"80m-100m",153.09587638,-25.5962487,"Upslope",0.0025,2,0,0,2,1,0,0,1,0.045,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","green"
"2/07/2015","8:57:58 AM","green sophie",0,"0-20m",153.09610294,-25.59558008,"Trough",0.015,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","green"
"2/07/2015","8:59:25 AM","green sophie",5,"0-20m",153.09605641,-25.59561373,"Upslope",0,0,0,0,0,NA,NA,0,1,0.04,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","green"
"2/07/2015","9:00:51 AM","green sophie",10,"0-20m",153.09601696,-25.59557005,"Crest",0,0,0,0,0,NA,NA,0,1,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","green"
"2/07/2015","9:02:03 AM","green sophie",15,"0-20m",153.09597074,-25.5955598,"Crest",0,0,0,0,0,NA,NA,0,1,0.03,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","green"
"2/07/2015","9:03:32 AM","green sophie",20,"0-20m",153.09592664,-25.59554307,"Trough",0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","green"
"2/07/2015","9:11:14 AM","green sophie",25,"20-40m",153.09584886,-25.59554511,"Upslope",0.03,0,2,0,2,0,0,0,1,0.09,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","green"
"2/07/2015","9:15:28 AM","green sophie",30,"20-40m",153.09583546,-25.59550297,"Downslope",0.015,2,4,2,6,0.333333333333333,0.333333333333333,0,1,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","green"
"2/07/2015","9:23:52 AM","green sophie",35,"20-40m",153.09577562,-25.59553828,"Downslope",0.68,1,0,1,1,1,1,1,3,0.6,0.15,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","green"
"2/07/2015","9:27:42 AM","green sophie",40,"20-40m",153.09571972,-25.59547874,"Trough",0.15,0,1,0,1,0,0,1,2,0.55,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","green"
"2/07/2015","9:31:05 AM","green sophie",45,"40-60m",153.09567595,-25.59551711,"Trough",0.5,0,0,0,0,NA,NA,1,2,0.55,0,0,0,0,0,0.35,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","green"
"2/07/2015","9:32:54 AM","green sophie",50,"40-60m",153.09562917,-25.59549194,"Upslope",0.3,0,1,1,1,0,1,0,2,0.5,0,0,0,0,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","green"
"2/07/2015","9:35:25 AM","green sophie",55,"40-60m",153.09559751,-25.59548497,"Downslope",0.45,0,1,1,1,0,1,1,3,0.85,0.15,0,0,0,0,0.35,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","green"
"2/07/2015","9:46:21 AM","green sophie",60,"40-60m",153.09544005,-25.59543464,"Trough",0.2,0,0,0,0,NA,NA,1,3,0.77,0,0,0,0,0,0.6,0.02,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","green"
"2/07/2015","9:47:58 AM","green sophie",65,"60-80m",153.09544187,-25.59543489,"Trough",0.15,0,0,0,0,NA,NA,1,4,0.42,0,0,0,0,0,0.2,0.02,0.15,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","green"
"2/07/2015","9:53:49 AM","green sophie",70,"60-80m",153.09543234,-25.59541379,"Trough",0.15,0,3,3,3,0,1,2,1,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"Week 2","green"
"2/07/2015","9:54:37 AM","green sophie",75,"60-80m",153.09540353,-25.59542308,"Trough",0.4,1,2,2,3,0.333333333333333,0.666666666666667,1,3,0.15,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.04,0,0,0,0,0.01,0,0,0,1,0,0,0,0,0,0,0,0,0,"Week 2","green"
"2/07/2015","10:01:55 AM","green sophie",80,"60-80m",153.09537821,-25.59540217,"Upslope",0.2,0,1,1,1,0,1,2,2,0.5,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"Week 2","green"
