"Date","Time","Group","Distance along tape","Zone","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Total number burrows","Ratio active burrows","Ratio >2cm across burrows","Number of trees","Number of ground plants","Living ground cover","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla","Week","Group color"
"2/07/2015","10:13:33 AM","greenberna",80,"60-80m",153.09548894,-25.59509504,"Upslope",0.55,0,1,1,1,0,1,2,3,0.315,0,0,0.015,0,0,0,0,0.05,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"Week 2","green"
"2/07/2015","10:16:16 AM","greenberna",75,"60-80m",153.09550663,-25.59513766,"Upslope",0.3,1,1,2,2,0.5,1,2,3,0.57,0,0,0.1,0,0,0.4,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"Week 2","green"
"2/07/2015","10:18:52 AM","greenberna",70,"60-80m",153.0955428,-25.59515838,"Trough",0.9,1,0,0,1,1,0,1,3,0.065,0,0,0.005,0,0,0.05,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","green"
"2/07/2015","10:21:23 AM","greenberna",65,"60-80m",153.09560927,-25.59515935,"Trough",0.12,1,0,1,1,1,1,1,2,0.75,0,0,0,0,0,0.45,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","green"
"2/07/2015","10:23:28 AM","greenberna",60,"40-60m",153.09564911,-25.59517942,"Downslope",0.05,0,0,0,0,NA,NA,2,2,0.95,0,0,0,0,0,0.85,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"Week 2","green"
"2/07/2015","9:02:03 AM","greenberna",0,"0-20m",153.0961849,-25.59538367,"Trough",0.0075,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","green"
"2/07/2015","9:02:55 AM","greenberna",5,"0-20m",NA,NA,"Trough",0.05,0,0,0,0,NA,NA,0,1,0.03,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","green"
"2/07/2015","9:16:21 AM","greenberna",10,"0-20m",153.09607938,-25.59535946,"Downslope",5e-04,0,0,0,0,NA,NA,1,1,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Week 2","green"
"2/07/2015","9:20:41 AM","greenberna",15,"0-20m",153.09603059,-25.59538296,"Trough",5e-04,1,0,0,1,1,0,0,1,0.09,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","green"
"2/07/2015","9:25:51 AM","greenberna",20,"0-20m",153.09593716,-25.59530696,"Upslope",0.005,2,1,0,3,0.666666666666667,0,0,1,0.08,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","green"
"2/07/2015","9:42:11 AM","greenberna",25,"20-40m",153.0959432,-25.59533893,"Upslope",0,0,0,0,0,NA,NA,0,1,0.04,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","green"
"2/07/2015","9:45:29 AM","greenberna",30,"20-40m",153.0958856,-25.59529202,"Crest",0.15,6,2,0,8,0.75,0,1,3,0.88,0,0,0,0,0,0,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","green"
"2/07/2015","9:54:13 AM","greenberna",35,"20-40m",153.09583583,-25.59530963,"Trough",0.54,2,3,1,5,0.4,0.2,0,1,0.005,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","green"
"2/07/2015","10:06:15 AM","greenberna",40,"20-40m",153.09581169,-25.59526603,"Trough",0.02,0,0,0,0,NA,NA,1,2,0.3,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","green"
"2/07/2015","10:15:07 AM","greenberna",45,"40-60m",153.09576361,-25.59526135,"Upslope",0.01,2,0,1,2,1,0.5,1,1,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Week 2","green"
"2/07/2015","10:18:49 AM","greenberna",50,"40-60m",153.09570946,-25.59523098,"Crest",0.03,1,1,0,2,0.5,0,1,3,0.95,0.1,0,0,0,0,0.8,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","green"
"2/07/2015","10:23:52 AM","greenberna",55,"40-60m",153.09566867,-25.59523762,"Downslope",0.05,0,0,0,0,NA,NA,1,2,1,0,0,0,0,0,0.9,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","green"
