"Date","Time","Group","Distance along tape","Zone","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Total number burrows","Ratio active burrows","Ratio >2cm across burrows","Number of trees","Number of ground plants","Living ground cover","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla","Week","Group color"
"3/07/2015","8:26:18 AM","namered",100,"80m-100m",153.09409532,-25.60197339,"Upslope",0.01,1,0,0,1,1,0,0,1,0.15,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","red"
"3/07/2015","8:43:31 AM","namered",0,"0-20m",153.09373528,-25.60298247,"Upslope",0.01,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","red"
"3/07/2015","8:46:23 AM","namered",5,"0-20m",153.09371154,-25.60298941,"Upslope",0,1,0,1,1,1,1,0,1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","red"
"3/07/2015","8:48:57 AM","namered",10,"0-20m",NA,NA,"Upslope",0.01,0,2,1,2,0,0.5,0,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","red"
"3/07/2015","8:50:35 AM","namered",15,"0-20m",153.09359459,-25.60296521,"Upslope",0,0,0,0,0,NA,NA,0,1,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","red"
"3/07/2015","8:52:02 AM","namered",20,"0-20m",153.09354958,-25.60295033,"Upslope",0.03,0,0,0,0,NA,NA,0,3,0.28,0.02,0,0.06,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","red"
"3/07/2015","8:54:51 AM","namered",25,"20-40m",NA,NA,"Crest",0.1,1,3,0,4,0.25,0,0,1,0.6,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","red"
"3/07/2015","9:03:27 AM","namered",30,"20-40m",153.09344326,-25.60294619,"Downslope",0.7,0,3,1,3,0,0.333333333333333,1,1,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","red"
"3/07/2015","9:10:28 AM","namered",35,"20-40m",NA,NA,"Upslope",0.1,0,5,1,5,0,0.2,0,2,0.8,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","red"
"3/07/2015","9:14:19 AM","namered",40,"20-40m",153.09336326,-25.60289583,"Upslope",0.5,0,4,0,4,0,0,0,2,0.4,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","red"
"3/07/2015","9:17:46 AM","namered",45,"40-60m",153.09326282,-25.60288407,"Trough",0.6,1,1,2,2,0.5,1,1,4,0.6,0,0,0.05,0,0,0,0.2,0,0,0,0.05,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,1,0,0,0,0,"Week 2","red"
"3/07/2015","9:29:55 AM","namered",50,"40-60m",153.09326248,-25.60289556,"Crest",0.1,2,2,3,4,0.5,0.75,1,2,0.25,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,1,0,0,0,0,"Week 2","red"
"3/07/2015","9:42:38 AM","namered",55,"40-60m",153.09319551,-25.60288886,"Downslope",0.8,1,0,1,1,1,1,1,2,0.07,0,0,0,0,0,0.05,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Week 2","red"
"3/07/2015","9:46:37 AM","namered",60,"40-60m",153.09317828,-25.60288557,"Downslope",0.88,1,0,1,1,1,1,1,2,0.08,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,1,0,0,0,0,"Week 2","red"
