"Date","Time","Group","Distance along tape","Zone","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Total number burrows","Ratio active burrows","Ratio >2cm across burrows","Number of trees","Number of ground plants","Living ground cover","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla","Week","Group color"
"4/07/2015","8:38:19 AM","yellow flower",100,"80m-100m",153.09649803,-25.59422162,"Upslope",0,0,1,0,1,0,0,1,1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","8:53:57 AM","yellow flower",0,"0-20m",153.09674143,-25.59348152,"Upslope",0.2,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","8:55:09 AM","yellow flower",5,"0-20m",153.09670531,-25.59344258,"Upslope",0,0,0,0,0,NA,NA,0,1,0.15,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","8:56:14 AM","yellow flower",10,"0-20m",153.09666574,-25.5934327,"Crest",0,1,0,0,1,1,0,0,1,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:01:30 AM","yellow flower",15,"0-20m",153.09661396,-25.59340071,"Upslope",0.01,0,0,0,0,NA,NA,0,2,0.3,0,0,0,0,0,0,0.25,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:03:56 AM","yellow flower",20,"0-20m",153.09656108,-25.5934248,"Upslope",0.1,4,2,0,6,0.666666666666667,0,0,3,0.12,0,0,0.01,0,0,0,0.1,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:06:54 AM","yellow flower",25,"20-40m",153.09652622,-25.59337875,"Crest",0.02,3,1,1,4,0.75,0.25,0,2,0.55,0,0,0,0,0,0,0.4,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:12:20 AM","yellow flower",30,"20-40m",153.0964802,-25.59340141,"Trough",0.8,1,3,1,4,0.25,0.25,1,4,0.67,0,0,0.05,0,0,0,0.05,0,0,0.02,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","yellow"
"4/07/2015","9:20:07 AM","yellow flower",35,"20-40m",153.09642302,-25.59337252,"Trough",0.2,3,2,5,5,0.6,1,1,2,0.85,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","yellow"
"4/07/2015","9:30:34 AM","yellow flower",40,"20-40m",153.0963833,-25.59337182,"Upslope",0.9,2,1,2,3,0.666666666666667,0.666666666666667,1,2,0.5,0,0,0,0,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 2","yellow"
"4/07/2015","9:35:15 AM","yellow flower",45,"40-60m",153.09631083,-25.59335134,"Crest",0.5,0,1,0,1,0,0,0,1,0.9,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
