"Date","Time","Group","Distance along tape","Zone","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Total number burrows","Ratio active burrows","Ratio >2cm across burrows","Number of trees","Number of ground plants","Living ground cover","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla","Week","Group color"
"4/07/2015","8:39:30 AM","yellowsub",100,"80m-100m",153.09649589,-25.59422398,"Upslope",0,0,1,0,1,0,0,1,1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:02:46 AM","yellowsub",5,"0-20m",153.09663515,-25.59363185,"Upslope",0,0,0,0,0,NA,NA,0,1,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:05:49 AM","yellowsub",10,"0-20m",153.0965851,-25.5936393,"Trough",0.01,0,0,0,0,NA,NA,0,1,0.03,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:08:03 AM","yellowsub",15,"0-20m",153.0965413,-25.59363751,"Upslope",0.01,3,0,0,3,1,0,0,1,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:09:55 AM","yellowsub",20,"0-20m",153.09648726,-25.59365783,"Upslope",0.03,0,6,0,6,0,0,0,1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:13:03 AM","yellowsub",25,"20-40m",153.09641791,-25.59361593,"Crest",0.01,1,7,1,8,0.125,0.125,0,1,0.12,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:18:05 AM","yellowsub",30,"20-40m",153.09638753,-25.59363704,"Downslope",0.15,0,6,1,6,0,0.166666666666667,0,2,0.65,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:27:32 AM","yellowsub",35,"20-40m",153.09634512,-25.59358528,"Trough",0.9,1,0,1,1,1,1,0,3,0.41,0,0,0.01,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:38:13 AM","yellowsub",40,"20-40m",153.09631616,-25.59361812,"Upslope",0.95,0,1,1,1,0,1,0,3,0.8,0.4,0,0,0,0,0,0.1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:41:35 AM","yellowsub",45,"40-60m",153.09625267,-25.59355693,"Crest",0.95,1,0,1,1,1,1,0,2,0.35,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:51:32 AM","yellowsub",50,"40-60m",153.09620329,-25.59355994,"Downslope",0.95,0,0,0,0,NA,NA,0,3,0.18,0,0,0.1,0,0,0,0,0,0.05,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","9:58:40 AM","yellowsub",55,"40-60m",153.0961598,-25.59352227,"Trough",0.97,0,1,1,1,0,1,0,3,0.87,0,0,0.03,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","10:01:36 AM","yellowsub",60,"40-60m",153.09612538,-25.59351487,"Trough",0.94,0,0,0,0,NA,NA,0,2,0.8,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","10:05:48 AM","yellowsub",65,"60-80m",153.09608906,-25.59348219,"Trough",0.95,1,0,1,1,1,1,0,3,0.71,0,0,0,0,0,0,0,0.25,0.01,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
"4/07/2015","10:12:33 AM","yellowsub",70,"60-80m",153.096026,-25.5934842,"Trough",0.93,0,1,1,1,0,1,0,1,0.65,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
