"Longitude","Latitude","Group","Transect","Zone","Species","Height","Mean Circumference (cm)","Frequency","Frequency per Zone","Trees per HA","Density","Basal Area per HA","Relative Cover","Relative Frequency","Relative Density","Relative Importance","Week","Group color"
152.987613575,-25.44768076,"blob","Seaward","0-20m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","green"
152.987613575,-25.44768076,"blob","Seaward","0-20m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","green"
152.98759075,-25.44765951,"blob","Seaward","0-20m","Avicennia marina",5.6,63.5,1,1,4162.33090530697,0.775,26.4308012486993,0.806349206349206,0.5,0.5,0.602116402116402,"Week 1","green"
152.987613575,-25.44768076,"blob","Seaward","0-20m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","green"
152.987613575,-25.44768076,"blob","Seaward","0-20m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","green"
152.987613575,-25.44768076,"blob","Seaward","0-20m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","green"
152.987613575,-25.44768076,"blob","Seaward","0-20m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","green"
152.9876364,-25.44770201,"blob","Seaward","0-20m","Rhizophora stylosa",2.15,15.25,1,1,4162.33090530697,0.775,6.34755463059313,0.193650793650794,0.5,0.5,0.397883597883598,"Week 1","green"
152.9877354,-25.4477691175,"blob","Seaward","20-40m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","green"
152.9877354,-25.4477691175,"blob","Seaward","20-40m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","green"
152.9877579,-25.44778092,"blob","Seaward","20-40m","Avicennia marina",2.725,85.25,2,1,5012.1387735923,0.70625,42.7284830448743,0.897368421052632,0.5,0.5,0.632456140350877,"Week 1","green"
152.9877354,-25.4477691175,"blob","Seaward","20-40m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","green"
152.9877354,-25.4477691175,"blob","Seaward","20-40m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","green"
152.9877354,-25.4477691175,"blob","Seaward","20-40m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","green"
152.9877354,-25.4477691175,"blob","Seaward","20-40m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","green"
152.9877129,-25.447757315,"blob","Seaward","20-40m","Rhizophora stylosa",1.625,9.75,2,1,5012.1387735923,0.70625,4.88683530425249,0.102631578947368,0.5,0.5,0.367543859649123,"Week 1","green"
152.9879165,-25.4478997,"blob","Seaward","40-60m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","green"
152.9879165,-25.4478997,"blob","Seaward","40-60m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","green"
152.9879766,-25.44796141,"blob","Seaward","40-60m","Avicennia marina",1.6,29,1,1,8264.46280991735,0.275,23.9669421487603,0.759825327510917,0.5,0.25,0.503275109170306,"Week 1","green"
152.9879165,-25.4478997,"blob","Seaward","40-60m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","green"
152.9879165,-25.4478997,"blob","Seaward","40-60m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","green"
152.9879165,-25.4478997,"blob","Seaward","40-60m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","green"
152.9879165,-25.4478997,"blob","Seaward","40-60m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","green"
152.9878564,-25.44783799,"blob","Seaward","40-60m","Rhizophora stylosa",1.73333333333333,9.16666666666667,1,1,8264.46280991735,0.825,7.57575757575757,0.240174672489083,0.5,0.75,0.496724890829694,"Week 1","green"
152.9879509125,-25.44793819125,"blob","Seaward","60-80m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","green"
152.9879509125,-25.44793819125,"blob","Seaward","60-80m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","green"
152.9879509125,-25.44793819125,"blob","Seaward","60-80m","Avicennia marina",1.0375,17.625,2,1,3086.41975308642,1.8,5.43981481481481,1,1,1,1,"Week 1","green"
152.9879509125,-25.44793819125,"blob","Seaward","60-80m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","green"
152.9879509125,-25.44793819125,"blob","Seaward","60-80m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","green"
152.9879509125,-25.44793819125,"blob","Seaward","60-80m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","green"
152.9879509125,-25.44793819125,"blob","Seaward","60-80m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","green"
152.9879509125,-25.44793819125,"blob","Seaward","60-80m","Rhizophora stylosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","green"
