"Longitude","Latitude","Group","Transect","Zone","Species","Height","Mean Circumference (cm)","Frequency","Frequency per Zone","Trees per HA","Density","Basal Area per HA","Relative Cover","Relative Frequency","Relative Density","Relative Importance","Week","Group color"
152.987858418889,-25.4469489855556,"Toby practice","Seaward","0-20m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","red"
152.987858418889,-25.4469489855556,"Toby practice","Seaward","0-20m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","red"
152.98785241,-25.44693957,"Toby practice","Seaward","0-20m","Avicennia marina",1.8,28,1,1,1103.74057681483,0.301,3.09047361508151,0.690978886756238,0.5,0.1,0.430326295585413,"Week 1","red"
152.987858418889,-25.4469489855556,"Toby practice","Seaward","0-20m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","red"
152.987858418889,-25.4469489855556,"Toby practice","Seaward","0-20m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","red"
152.987858418889,-25.4469489855556,"Toby practice","Seaward","0-20m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","red"
152.987858418889,-25.4469489855556,"Toby practice","Seaward","0-20m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","red"
152.987864427778,-25.4469584011111,"Toby practice","Seaward","0-20m","Rhizophora stylosa",2.57777777777778,12.5222222222222,1,1,1103.74057681483,2.709,1.3821284778559,0.309021113243762,0.5,0.9,0.569673704414587,"Week 1","red"
152.98799795375,-25.4470357,"Toby practice","Seaward","20-40m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","red"
152.98799795375,-25.4470357,"Toby practice","Seaward","20-40m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","red"
152.98799795375,-25.4470357,"Toby practice","Seaward","20-40m","Avicennia marina",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","red"
152.98799795375,-25.4470357,"Toby practice","Seaward","20-40m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","red"
152.98799795375,-25.4470357,"Toby practice","Seaward","20-40m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","red"
152.98799795375,-25.4470357,"Toby practice","Seaward","20-40m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","red"
152.98799795375,-25.4470357,"Toby practice","Seaward","20-40m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","red"
152.98799795375,-25.4470357,"Toby practice","Seaward","20-40m","Rhizophora stylosa",3.0625,22.125,2,1,2294.81157445588,2.0875,5.07727060848363,1,1,1,1,"Week 1","red"
152.988203597143,-25.44714331,"Toby practice","Seaward","40-60m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","red"
152.988203597143,-25.44714331,"Toby practice","Seaward","40-60m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","red"
152.988203597143,-25.44714331,"Toby practice","Seaward","40-60m","Avicennia marina",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","red"
152.988203597143,-25.44714331,"Toby practice","Seaward","40-60m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","red"
152.988203597143,-25.44714331,"Toby practice","Seaward","40-60m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","red"
152.988203597143,-25.44714331,"Toby practice","Seaward","40-60m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","red"
152.988203597143,-25.44714331,"Toby practice","Seaward","40-60m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","red"
152.988203597143,-25.44714331,"Toby practice","Seaward","40-60m","Rhizophora stylosa",2.28571428571429,14.1428571428571,2,1,3519.10370583166,1.68571428571429,4.97701809824763,1,1,1,1,"Week 1","red"
152.988249814,-25.44721194,"Toby practice","Seaward","60-80m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","red"
152.988249814,-25.44721194,"Toby practice","Seaward","60-80m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","red"
152.98830188,-25.44725343,"Toby practice","Seaward","60-80m","Avicennia marina",3.63333333333333,51.3333333333333,1,1,2698.6001011975,0.721875,13.8528138528139,0.853658536585366,0.5,0.375,0.576219512195122,"Week 1","red"
152.988249814,-25.44721194,"Toby practice","Seaward","60-80m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","red"
152.988249814,-25.44721194,"Toby practice","Seaward","60-80m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","red"
152.988249814,-25.44721194,"Toby practice","Seaward","60-80m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","red"
152.988249814,-25.44721194,"Toby practice","Seaward","60-80m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","red"
152.988197748,-25.44717045,"Toby practice","Seaward","60-80m","Rhizophora stylosa",1.4,8.8,1,1,2698.6001011975,1.203125,2.3747680890538,0.146341463414634,0.5,0.625,0.423780487804878,"Week 1","red"
