"Longitude","Latitude","Group","Transect","Zone","Species","Height","Mean Circumference (cm)","Frequency","Frequency per Zone","Trees per HA","Density","Basal Area per HA","Relative Cover","Relative Frequency","Relative Density","Relative Importance","Week","Group color"
152.98810499625,-25.44676474875,"three","Seaward","0-20m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.98810499625,-25.44676474875,"three","Seaward","0-20m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.98810499625,-25.44676474875,"three","Seaward","0-20m","Avicennia marina",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.98810499625,-25.44676474875,"three","Seaward","0-20m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.98810499625,-25.44676474875,"three","Seaward","0-20m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.98810499625,-25.44676474875,"three","Seaward","0-20m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.98810499625,-25.44676474875,"three","Seaward","0-20m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.98810499625,-25.44676474875,"three","Seaward","0-20m","Rhizophora stylosa",2.8625,16.5,2,1,1810.77410593028,2.35,2.98777727478497,1,1,1,1,"Week 1","yellow"
152.98819435,-25.44685068375,"three","Seaward","20-40m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.98819435,-25.44685068375,"three","Seaward","20-40m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.98819435,-25.44685068375,"three","Seaward","20-40m","Avicennia marina",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.98819435,-25.44685068375,"three","Seaward","20-40m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.98819435,-25.44685068375,"three","Seaward","20-40m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.98819435,-25.44685068375,"three","Seaward","20-40m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.98819435,-25.44685068375,"three","Seaward","20-40m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.98819435,-25.44685068375,"three","Seaward","20-40m","Rhizophora stylosa",3.5625,16.125,2,1,6801.99808693804,1.2125,10.9682219151876,1,1,1,1,"Week 1","yellow"
152.988321548571,-25.4469870842857,"three","Seaward","40-60m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.988321548571,-25.4469870842857,"three","Seaward","40-60m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.98831876,-25.44699371,"three","Seaward","40-60m","Avicennia marina",1.1,5,1,0.5,3400.99904346902,0.1515625,1.70049952173451,0.164319248826291,0.333333333333333,0.125,0.207550860719875,"Week 1","yellow"
152.988321548571,-25.4469870842857,"three","Seaward","40-60m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.988321548571,-25.4469870842857,"three","Seaward","40-60m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.988321548571,-25.4469870842857,"three","Seaward","40-60m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.988321548571,-25.4469870842857,"three","Seaward","40-60m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.988324337143,-25.4469804585714,"three","Seaward","40-60m","Rhizophora stylosa",2.2,12.7142857142857,2,1,6801.99808693804,1.0609375,8.64825471053551,0.835680751173709,0.666666666666667,0.875,0.792449139280125,"Week 1","yellow"
152.9885651,-25.4471360033333,"three","Seaward","60-80m","Aegialitis annulata",0.4,11,2,1,19024.9702734839,0.271875,20.9274673008323,0.419047619047619,0.4,0.375,0.398015873015873,"Week 1","yellow"
152.988553515,-25.4471281536111,"three","Seaward","60-80m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.988570065,-25.4471393675,"three","Seaward","60-80m","Avicennia marina",1.45,11.75,2,1,19024.9702734839,0.3625,22.3543400713436,0.447619047619048,0.4,0.5,0.449206349206349,"Week 1","yellow"
152.988553515,-25.4471281536111,"three","Seaward","60-80m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.988553515,-25.4471281536111,"three","Seaward","60-80m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.988553515,-25.4471281536111,"three","Seaward","60-80m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.988553515,-25.4471281536111,"three","Seaward","60-80m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.98852538,-25.44710909,"three","Seaward","60-80m","Rhizophora stylosa",0.5,7,1,0.5,9512.48513674197,0.090625,6.65873959571938,0.133333333333333,0.2,0.125,0.152777777777778,"Week 1","yellow"
