"Longitude","Latitude","Group","Transect","Zone","Species","Height","Mean Circumference (cm)","Frequency","Frequency per Zone","Trees per HA","Density","Basal Area per HA","Relative Cover","Relative Frequency","Relative Density","Relative Importance","Week","Group color"
152.987846335,-25.4472781975,"yellow blue 1","Seaward","0-20m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.987846335,-25.4472781975,"yellow blue 1","Seaward","0-20m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.987846335,-25.4472781975,"yellow blue 1","Seaward","0-20m","Avicennia marina",40.5,28.5,1,1,2214.53287197232,2.125,6.31141868512111,1,1,1,1,"Week 1","yellow"
152.987846335,-25.4472781975,"yellow blue 1","Seaward","0-20m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.987846335,-25.4472781975,"yellow blue 1","Seaward","0-20m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.987846335,-25.4472781975,"yellow blue 1","Seaward","0-20m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.987846335,-25.4472781975,"yellow blue 1","Seaward","0-20m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.987846335,-25.4472781975,"yellow blue 1","Seaward","0-20m","Rhizophora stylosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.98803181,-25.44732177,"yellow blue 1","Seaward","20-40m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.98803181,-25.44732177,"yellow blue 1","Seaward","20-40m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.98806423,-25.44731468,"yellow blue 1","Seaward","20-40m","Avicennia marina",4,21,1,0.5,32.8200017146776,1.76326530612245,0.068922003600823,0.360824742268041,0.333333333333333,0.142857142857143,0.279005072819506,"Week 1","yellow"
152.98803181,-25.44732177,"yellow blue 1","Seaward","20-40m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.98803181,-25.44732177,"yellow blue 1","Seaward","20-40m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.98803181,-25.44732177,"yellow blue 1","Seaward","20-40m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.98803181,-25.44732177,"yellow blue 1","Seaward","20-40m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.98799939,-25.44732886,"yellow blue 1","Seaward","20-40m","Rhizophora stylosa",3.21666666666667,18.6,2,1,65.6400034293553,10.5795918367347,0.122090406378601,0.639175257731959,0.666666666666667,0.857142857142857,0.720994927180494,"Week 1","yellow"
152.988120795,-25.44733089,"yellow blue 1","Seaward","40-60m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.988120795,-25.44733089,"yellow blue 1","Seaward","40-60m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.98817736,-25.4473471,"yellow blue 1","Seaward","40-60m","Avicennia marina",3.5,14,1,1,16649.3236212279,0.19375,23.309053069719,0.591549295774648,0.5,0.25,0.447183098591549,"Week 1","yellow"
152.988120795,-25.44733089,"yellow blue 1","Seaward","40-60m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.988120795,-25.44733089,"yellow blue 1","Seaward","40-60m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.988120795,-25.44733089,"yellow blue 1","Seaward","40-60m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.988120795,-25.44733089,"yellow blue 1","Seaward","40-60m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.98806423,-25.44731468,"yellow blue 1","Seaward","40-60m","Rhizophora stylosa",1.4,9.66666666666667,1,1,16649.3236212279,0.58125,16.094346167187,0.408450704225352,0.5,0.75,0.552816901408451,"Week 1","yellow"
152.990163745,-25.4481899,"yellow blue 1","Seaward","60-80m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.990163745,-25.4481899,"yellow blue 1","Seaward","60-80m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.99215013,-25.4490327,"yellow blue 1","Seaward","60-80m","Avicennia marina",1.62857142857143,8.57142857142857,1,1,1129.86371018996,2.603125,0.96845460873425,0.487804878048781,0.5,0.875,0.620934959349594,"Week 1","yellow"
152.990163745,-25.4481899,"yellow blue 1","Seaward","60-80m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.990163745,-25.4481899,"yellow blue 1","Seaward","60-80m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.990163745,-25.4481899,"yellow blue 1","Seaward","60-80m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.990163745,-25.4481899,"yellow blue 1","Seaward","60-80m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","yellow"
152.98817736,-25.4473471,"yellow blue 1","Seaward","60-80m","Rhizophora stylosa",1.6,9,1,1,1129.86371018996,0.371875,1.01687733917096,0.51219512195122,0.5,0.125,0.379065040650407,"Week 1","yellow"
