"Longitude","Latitude","Group","Transect","Zone","Species","Height","Mean Circumference (cm)","Frequency","Frequency per Zone","Trees per HA","Density","Basal Area per HA","Relative Cover","Relative Frequency","Relative Density","Relative Importance","Week","Group color"
152.9895699775,-25.4478956125,"hut","Landward-Creek","0-20m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.9895699775,-25.4478956125,"hut","Landward-Creek","0-20m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.988967395,-25.447994645,"hut","Landward-Creek","0-20m","Avicennia marina",2.8,81.1,1,1,3460.20761245675,0.85,28.0622837370242,0.670247933884297,0.5,0.5,0.556749311294766,"Week 2","blue"
152.9895699775,-25.4478956125,"hut","Landward-Creek","0-20m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.9895699775,-25.4478956125,"hut","Landward-Creek","0-20m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.9895699775,-25.4478956125,"hut","Landward-Creek","0-20m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.9895699775,-25.4478956125,"hut","Landward-Creek","0-20m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.99017256,-25.44779658,"hut","Landward-Creek","0-20m","Rhizophora stylosa",2.9,39.9,1,1,3460.20761245675,0.85,13.8062283737024,0.329752066115703,0.5,0.5,0.443250688705234,"Week 2","blue"
152.99001497,-25.44780489,"hut","Landward-Creek","20-40m","Aegialitis annulata",1.35,19.75,1,0.5,4429.06574394464,0.265625,8.74740484429066,0.112567683100598,0.2,0.25,0.187522561033533,"Week 2","blue"
152.9900482025,-25.4478102266667,"hut","Landward-Creek","20-40m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
