"Longitude","Latitude","Group","Transect","Zone","Species","Height","Mean Circumference (cm)","Frequency","Frequency per Zone","Trees per HA","Density","Basal Area per HA","Relative Cover","Relative Frequency","Relative Density","Relative Importance","Week","Group color"
152.987232301333,-25.448103646,"tea","Seaward","0-20m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.987232301333,-25.448103646,"tea","Seaward","0-20m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.987230686667,-25.44810972,"tea","Seaward","0-20m","Avicennia marina",6.66666666666667,114,2,1,766.274350163432,1.3546875,8.73552759186312,0.702836004932182,0.5,0.375,0.525945334977394,"Week 2","blue"
152.987232301333,-25.448103646,"tea","Seaward","0-20m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.987232301333,-25.448103646,"tea","Seaward","0-20m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.987232301333,-25.448103646,"tea","Seaward","0-20m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.987232301333,-25.448103646,"tea","Seaward","0-20m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.987233916,-25.448097572,"tea","Seaward","0-20m","Rhizophora stylosa",3.22,48.2,2,1,766.274350163432,2.2578125,3.69344236778774,0.297163995067818,0.5,0.625,0.474054665022606,"Week 2","blue"
152.98723726,-25.4481613,"tea","Seaward","20-40m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.98723726,-25.4481613,"tea","Seaward","20-40m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.9872185,-25.44815379,"tea","Seaward","20-40m","Avicennia marina",4.7,55,2,1,1632.48648097133,0.61875,8.97867564534231,0.569948186528497,0.5,0.25,0.439982728842832,"Week 2","blue"
152.98723726,-25.4481613,"tea","Seaward","20-40m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.98723726,-25.4481613,"tea","Seaward","20-40m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.98723726,-25.4481613,"tea","Seaward","20-40m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.98723726,-25.4481613,"tea","Seaward","20-40m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.98725602,-25.44816881,"tea","Seaward","20-40m","Rhizophora stylosa",2.75,41.5,2,1,1632.48648097133,1.85625,6.77481889603102,0.430051813471503,0.5,0.75,0.560017271157167,"Week 2","blue"
152.987507805667,-25.4482795176667,"tea","Seaward","40-60m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.987507805667,-25.4482795176667,"tea","Seaward","40-60m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.987541948,-25.448297792,"tea","Seaward","40-60m","Avicennia marina",2.54,69.6,2,1,1437.52386514229,1.6484375,10.0051661013904,0.920634920634921,0.666666666666667,0.625,0.737433862433862,"Week 2","blue"
152.987507805667,-25.4482795176667,"tea","Seaward","40-60m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.987507805667,-25.4482795176667,"tea","Seaward","40-60m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.987507805667,-25.4482795176667,"tea","Seaward","40-60m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.987507805667,-25.4482795176667,"tea","Seaward","40-60m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.987473663333,-25.4482612433333,"tea","Seaward","40-60m","Rhizophora stylosa",1.4,12,1,0.5,718.761932571146,0.9890625,0.862514319085375,0.0793650793650794,0.333333333333333,0.375,0.262566137566138,"Week 2","blue"
152.987684530714,-25.4483843771429,"tea","Seaward","60-80m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.987684530714,-25.4483843771429,"tea","Seaward","60-80m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.987660541429,-25.4483899842857,"tea","Seaward","60-80m","Avicennia marina",1.6,13.1428571428571,2,1,5804.98866213152,1.1484375,7.62941367023,0.192872117400419,0.666666666666667,0.875,0.578179594689029,"Week 2","blue"
152.987684530714,-25.4483843771429,"tea","Seaward","60-80m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.987684530714,-25.4483843771429,"tea","Seaward","60-80m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.987684530714,-25.4483843771429,"tea","Seaward","60-80m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.987684530714,-25.4483843771429,"tea","Seaward","60-80m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","blue"
152.98770852,-25.44837877,"tea","Seaward","60-80m","Rhizophora stylosa",2.7,110,1,0.5,2902.49433106576,0.1640625,31.9274376417234,0.807127882599581,0.333333333333333,0.125,0.421820405310971,"Week 2","blue"
