"Longitude","Latitude","Group","Transect","Zone","Species","Height","Mean Circumference (cm)","Frequency","Frequency per Zone","Trees per HA","Density","Basal Area per HA","Relative Cover","Relative Frequency","Relative Density","Relative Importance","Week","Group color"
152.987280118571,-25.4482355035714,"grove","Seaward","0-20m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.987280118571,-25.4482355035714,"grove","Seaward","0-20m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98728355,-25.44822908,"grove","Seaward","0-20m","Avicennia marina",7.2,137,1,0.5,746.808560293122,0.3234375,10.2312772760158,0.76050753370341,0.333333333333333,0.125,0.406280289012248,"Week 2","green"
152.987280118571,-25.4482355035714,"grove","Seaward","0-20m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.987280118571,-25.4482355035714,"grove","Seaward","0-20m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.987280118571,-25.4482355035714,"grove","Seaward","0-20m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.987280118571,-25.4482355035714,"grove","Seaward","0-20m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.987276687143,-25.4482419271429,"grove","Seaward","0-20m","Rhizophora stylosa",2.67142857142857,21.5714285714286,2,1,1493.61712058624,2.2640625,3.2219455029789,0.23949246629659,0.666666666666667,0.875,0.593719710987752,"Week 2","green"
152.9873969225,-25.4483494625,"grove","Seaward","20-40m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.9873969225,-25.4483494625,"grove","Seaward","20-40m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.9873969225,-25.4483494625,"grove","Seaward","20-40m","Avicennia marina",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.9873969225,-25.4483494625,"grove","Seaward","20-40m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.9873969225,-25.4483494625,"grove","Seaward","20-40m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.9873969225,-25.4483494625,"grove","Seaward","20-40m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.9873969225,-25.4483494625,"grove","Seaward","20-40m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.9873969225,-25.4483494625,"grove","Seaward","20-40m","Rhizophora stylosa",2.475,20.25,1,1,2379.53599048186,2.05,4.81856038072576,1,1,1,1,"Week 2","green"
152.98752625,-25.448448115,"grove","Seaward","40-60m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98752625,-25.448448115,"grove","Seaward","40-60m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.987571325,-25.4484814,"grove","Seaward","40-60m","Avicennia marina",1.75,23,1,0.5,2693.37597845299,0.340625,6.19476475044188,0.492857142857143,0.333333333333333,0.25,0.358730158730159,"Week 2","green"
152.98752625,-25.448448115,"grove","Seaward","40-60m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98752625,-25.448448115,"grove","Seaward","40-60m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98752625,-25.448448115,"grove","Seaward","40-60m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98752625,-25.448448115,"grove","Seaward","40-60m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.987481175,-25.44841483,"grove","Seaward","40-60m","Rhizophora stylosa",1.15,11.8333333333333,2,1,5386.75195690598,1.021875,6.37432314900541,0.507142857142857,0.666666666666667,0.75,0.641269841269841,"Week 2","green"
152.98763315,-25.44853211,"grove","Seaward","60-80m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98763315,-25.44853211,"grove","Seaward","60-80m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98763315,-25.44853211,"grove","Seaward","60-80m","Avicennia marina",1.95,42.5,1,1,2379.53599048186,0.82,10.1130279595479,0.794392523364486,0.5,0.4,0.564797507788162,"Week 2","green"
152.98763315,-25.44853211,"grove","Seaward","60-80m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98763315,-25.44853211,"grove","Seaward","60-80m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98763315,-25.44853211,"grove","Seaward","60-80m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98763315,-25.44853211,"grove","Seaward","60-80m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98763315,-25.44853211,"grove","Seaward","60-80m","Rhizophora stylosa",1.16666666666667,11,1,1,2379.53599048186,1.23,2.61748958953004,0.205607476635514,0.5,0.6,0.435202492211838,"Week 2","green"
