"Longitude","Latitude","Group","Transect","Zone","Species","Height","Mean Circumference (cm)","Frequency","Frequency per Zone","Trees per HA","Density","Basal Area per HA","Relative Cover","Relative Frequency","Relative Density","Relative Importance","Week","Group color"
152.987245142857,-25.4482875371429,"man","Seaward","0-20m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.987245142857,-25.4482875371429,"man","Seaward","0-20m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.987245142857,-25.4482875371429,"man","Seaward","0-20m","Avicennia marina",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.987245142857,-25.4482875371429,"man","Seaward","0-20m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.987245142857,-25.4482875371429,"man","Seaward","0-20m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.987245142857,-25.4482875371429,"man","Seaward","0-20m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.987245142857,-25.4482875371429,"man","Seaward","0-20m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.987245142857,-25.4482875371429,"man","Seaward","0-20m","Rhizophora stylosa",NA,15.6666666666667,1,1,717.474489795918,3.73333333333333,1.12404336734694,1,1,1,1,"Week 2","green"
152.987395621429,-25.4483966078571,"man","Seaward","20-40m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.987395621429,-25.4483966078571,"man","Seaward","20-40m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98748079,-25.44846951,"man","Seaward","20-40m","Avicennia marina",2.6,42,1,0.5,3200,0.15625,13.44,0.585657370517928,0.333333333333333,0.125,0.347996901283754,"Week 2","green"
152.987395621429,-25.4483966078571,"man","Seaward","20-40m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.987395621429,-25.4483966078571,"man","Seaward","20-40m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.987395621429,-25.4483966078571,"man","Seaward","20-40m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.987395621429,-25.4483966078571,"man","Seaward","20-40m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.987310452857,-25.4483237057143,"man","Seaward","20-40m","Rhizophora stylosa",1.91428571428571,14.8571428571429,2,1,6400,1.09375,9.50857142857143,0.414342629482072,0.666666666666667,0.875,0.652003098716246,"Week 2","green"
152.98751226,-25.448487795,"man","Seaward","40-60m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98751226,-25.448487795,"man","Seaward","40-60m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98748079,-25.44846951,"man","Seaward","40-60m","Avicennia marina",2.25,24.5,1,1,4444.44444444444,0.75,10.8888888888889,0.765625,0.5,0.5,0.588541666666667,"Week 2","green"
152.98751226,-25.448487795,"man","Seaward","40-60m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98751226,-25.448487795,"man","Seaward","40-60m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98751226,-25.448487795,"man","Seaward","40-60m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98751226,-25.448487795,"man","Seaward","40-60m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98754373,-25.44850608,"man","Seaward","40-60m","Rhizophora stylosa",1.1,7.5,1,1,4444.44444444444,0.75,3.33333333333333,0.234375,0.5,0.5,0.411458333333333,"Week 2","green"
152.987621965,-25.4485486603333,"man","Seaward","60-80m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.987621965,-25.4485486603333,"man","Seaward","60-80m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98762116,-25.448548344,"man","Seaward","60-80m","Avicennia marina",1.08,13.8,2,1,12695.8936718905,0.5546875,17.5203332672089,0.605263157894737,0.5,0.625,0.576754385964912,"Week 2","green"
152.987621965,-25.4485486603333,"man","Seaward","60-80m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.987621965,-25.4485486603333,"man","Seaward","60-80m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.987621965,-25.4485486603333,"man","Seaward","60-80m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.987621965,-25.4485486603333,"man","Seaward","60-80m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98762277,-25.4485489766667,"man","Seaward","60-80m","Rhizophora stylosa",1.23333333333333,9,2,1,12695.8936718905,0.3328125,11.4263043047014,0.394736842105263,0.5,0.375,0.423245614035088,"Week 2","green"
152.98724315,-25.44830818,"man","","","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98724315,-25.44830818,"man","","","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98724315,-25.44830818,"man","","","Avicennia marina",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98724315,-25.44830818,"man","","","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98724315,-25.44830818,"man","","","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98724315,-25.44830818,"man","","","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98724315,-25.44830818,"man","","","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98724315,-25.44830818,"man","","","Rhizophora stylosa",NA,NA,1,1,NA,NA,NA,NA,1,1,NA,"Week 2","green"
