"Longitude","Latitude","Group","Transect","Zone","Species","Height","Mean Circumference (cm)","Frequency","Frequency per Zone","Trees per HA","Density","Basal Area per HA","Relative Cover","Relative Frequency","Relative Density","Relative Importance","Week","Group color"
152.98713634,-25.4484526333333,"mud","Seaward","0-20m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98713634,-25.4484526333333,"mud","Seaward","0-20m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98715586,-25.4484579866667,"mud","Seaward","0-20m","Avicennia marina",4.7,45.3333333333333,1,1,1568.47367905107,1.89375,7.1104140116982,0.644549763033175,0.5,0.75,0.631516587677725,"Week 2","green"
152.98713634,-25.4484526333333,"mud","Seaward","0-20m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98713634,-25.4484526333333,"mud","Seaward","0-20m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98713634,-25.4484526333333,"mud","Seaward","0-20m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98713634,-25.4484526333333,"mud","Seaward","0-20m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98711682,-25.44844728,"mud","Seaward","0-20m","Rhizophora stylosa",2.6,25,1,1,1568.47367905107,0.63125,3.92118419762768,0.355450236966825,0.5,0.25,0.368483412322275,"Week 2","green"
152.9872995425,-25.44851437625,"mud","Seaward","20-40m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.9872995425,-25.44851437625,"mud","Seaward","20-40m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.9872995425,-25.44851437625,"mud","Seaward","20-40m","Avicennia marina",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.9872995425,-25.44851437625,"mud","Seaward","20-40m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.9872995425,-25.44851437625,"mud","Seaward","20-40m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.9872995425,-25.44851437625,"mud","Seaward","20-40m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.9872995425,-25.44851437625,"mud","Seaward","20-40m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.9872995425,-25.44851437625,"mud","Seaward","20-40m","Rhizophora stylosa",2.5,21.5,2,1,3511.6598079561,1.6875,7.55006858710562,1,1,1,1,"Week 2","green"
152.98740254,-25.4485724,"mud","Seaward","40-60m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98740254,-25.4485724,"mud","Seaward","40-60m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98740254,-25.4485724,"mud","Seaward","40-60m","Avicennia marina",2.1,9,1,1,13840.830449827,0.2125,12.4567474048443,0.473684210526316,0.5,0.25,0.407894736842105,"Week 2","green"
152.98740254,-25.4485724,"mud","Seaward","40-60m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98740254,-25.4485724,"mud","Seaward","40-60m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98740254,-25.4485724,"mud","Seaward","40-60m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98740254,-25.4485724,"mud","Seaward","40-60m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","green"
152.98740254,-25.4485724,"mud","Seaward","40-60m","Rhizophora stylosa",1.96666666666667,10,1,1,13840.830449827,0.6375,13.840830449827,0.526315789473684,0.5,0.75,0.592105263157895,"Week 2","green"
