"Longitude","Latitude","Group","Transect","Zone","Species","Height","Mean Circumference (cm)","Frequency","Frequency per Zone","Trees per HA","Density","Basal Area per HA","Relative Cover","Relative Frequency","Relative Density","Relative Importance","Week","Group color"
152.98992704,-25.4481599716667,"Pactr","Landward-Creek","0-20m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.98994125,-25.44815998,"Pactr","Landward-Creek","0-20m","Aegiceras corniculatum",0.6,10,1,1,160000,0.0625,160,0.3125,0.333333333333333,0.25,0.298611111111111,"Week 2","red"
152.98992704,-25.4481599716667,"Pactr","Landward-Creek","0-20m","Avicennia marina",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.98994125,-25.44815998,"Pactr","Landward-Creek","0-20m","Ceriops australis",1.1,12,1,1,160000,0.0625,192,0.375,0.333333333333333,0.25,0.319444444444444,"Week 2","red"
152.98992704,-25.4481599716667,"Pactr","Landward-Creek","0-20m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.98989862,-25.448159955,"Pactr","Landward-Creek","0-20m","Osbornia octodonta",0.45,10,1,1,160000,0.125,160,0.3125,0.333333333333333,0.5,0.381944444444444,"Week 2","red"
152.98992704,-25.4481599716667,"Pactr","Landward-Creek","0-20m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.98992704,-25.4481599716667,"Pactr","Landward-Creek","0-20m","Rhizophora stylosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989808448667,-25.448136481,"Pactr","Landward-Creek","20-40m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989808448667,-25.448136481,"Pactr","Landward-Creek","20-40m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989770803333,-25.44811742,"Pactr","Landward-Creek","20-40m","Avicennia marina",0.666666666666667,14,2,1,25600,0.234375,35.84,0.507246376811594,0.5,0.375,0.460748792270531,"Week 2","red"
152.989846094,-25.448155542,"Pactr","Landward-Creek","20-40m","Ceriops australis",0.98,13.6,2,1,25600,0.390625,34.816,0.492753623188406,0.5,0.625,0.539251207729469,"Week 2","red"
152.989808448667,-25.448136481,"Pactr","Landward-Creek","20-40m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989808448667,-25.448136481,"Pactr","Landward-Creek","20-40m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989808448667,-25.448136481,"Pactr","Landward-Creek","20-40m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989808448667,-25.448136481,"Pactr","Landward-Creek","20-40m","Rhizophora stylosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.98964991,-25.44805434,"Pactr","Landward-Creek","40-60m","Aegialitis annulata",0.4,7,1,1,55363.3217993079,0.10625,38.7543252595156,0.428571428571428,0.5,0.25,0.392857142857143,"Week 2","red"
152.989619128333,-25.448040475,"Pactr","Landward-Creek","40-60m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989619128333,-25.448040475,"Pactr","Landward-Creek","40-60m","Avicennia marina",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989588346667,-25.44802661,"Pactr","Landward-Creek","40-60m","Ceriops australis",0.666666666666667,9.33333333333333,1,1,55363.3217993079,0.31875,51.6724336793541,0.571428571428571,0.5,0.75,0.607142857142857,"Week 2","red"
152.989619128333,-25.448040475,"Pactr","Landward-Creek","40-60m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989619128333,-25.448040475,"Pactr","Landward-Creek","40-60m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989619128333,-25.448040475,"Pactr","Landward-Creek","40-60m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989619128333,-25.448040475,"Pactr","Landward-Creek","40-60m","Rhizophora stylosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989375751111,-25.4479287455556,"Pactr","Landward-Creek","60-80m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989375751111,-25.4479287455556,"Pactr","Landward-Creek","60-80m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.98943796,-25.44795937,"Pactr","Landward-Creek","60-80m","Avicennia marina",0.4,14.25,1,0.5,2419.65973534972,0.71875,3.44801512287335,0.617328519855596,0.333333333333333,0.5,0.483553951062976,"Week 2","red"
152.98935618,-25.44792403,"Pactr","Landward-Creek","60-80m","Ceriops australis",0.5,7,1,0.5,2419.65973534972,0.1796875,1.6937618147448,0.303249097472924,0.333333333333333,0.125,0.253860810268753,"Week 2","red"
152.989375751111,-25.4479287455556,"Pactr","Landward-Creek","60-80m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989333113333,-25.4479028366667,"Pactr","Landward-Creek","60-80m","Osbornia octodonta",0.4,1.83333333333333,1,0.5,2419.65973534972,0.5390625,0.443604284814115,0.0794223826714801,0.333333333333333,0.375,0.262585238668271,"Week 2","red"
152.989375751111,-25.4479287455556,"Pactr","Landward-Creek","60-80m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989375751111,-25.4479287455556,"Pactr","Landward-Creek","60-80m","Rhizophora stylosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.98928698,-25.44786045,"Pactr","Landward-Creek","80-100m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.98928698,-25.44786045,"Pactr","Landward-Creek","80-100m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.98928698,-25.44786045,"Pactr","Landward-Creek","80-100m","Avicennia marina",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.98928698,-25.44786045,"Pactr","Landward-Creek","80-100m","Ceriops australis",0.7,11.3333333333333,1,1,6944.44444444444,0.9,7.87037037037037,0.557377049180328,0.5,0.75,0.602459016393443,"Week 2","red"
152.98928698,-25.44786045,"Pactr","Landward-Creek","80-100m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.98928698,-25.44786045,"Pactr","Landward-Creek","80-100m","Osbornia octodonta",0.5,9,1,1,6944.44444444444,0.3,6.25,0.442622950819672,0.5,0.25,0.397540983606557,"Week 2","red"
152.98928698,-25.44786045,"Pactr","Landward-Creek","80-100m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.98928698,-25.44786045,"Pactr","Landward-Creek","80-100m","Rhizophora stylosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
