"Longitude","Latitude","Group","Transect","Zone","Species","Height","Mean Circumference (cm)","Frequency","Frequency per Zone","Trees per HA","Density","Basal Area per HA","Relative Cover","Relative Frequency","Relative Density","Relative Importance","Week","Group color"
152.989872526667,-25.4482521394444,"canon","Landward-Creek","0-20m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989872526667,-25.4482521394444,"canon","Landward-Creek","0-20m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.98987231,-25.44825231,"canon","Landward-Creek","0-20m","Avicennia marina",0.5,18,1,0.5,10578.5123966942,0.0859375,19.0413223140496,0.277634961439589,0.2,0.125,0.200878320479863,"Week 2","red"
152.98985421,-25.4482397533333,"canon","Landward-Creek","0-20m","Ceriops australis",0.766666666666667,16.1666666666667,2,1,21157.0247933884,0.2578125,34.2038567493113,0.498714652956298,0.4,0.375,0.424571550985433,"Week 2","red"
152.989872526667,-25.4482521394444,"canon","Landward-Creek","0-20m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.98989106,-25.448264355,"canon","Landward-Creek","0-20m","Osbornia octodonta",0.675,7.25,2,1,21157.0247933884,0.34375,15.3388429752066,0.223650385604113,0.4,0.5,0.374550128534704,"Week 2","red"
152.989872526667,-25.4482521394444,"canon","Landward-Creek","0-20m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989872526667,-25.4482521394444,"canon","Landward-Creek","0-20m","Rhizophora stylosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.9897370725,-25.4481698375,"canon","Landward-Creek","20-40m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.9897370725,-25.4481698375,"canon","Landward-Creek","20-40m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.9897370725,-25.4481698375,"canon","Landward-Creek","20-40m","Avicennia marina",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.9897370725,-25.4481698375,"canon","Landward-Creek","20-40m","Ceriops australis",0.825,12.25,1,1,20408.1632653061,0.7,25,1,1,1,1,"Week 2","red"
152.9897370725,-25.4481698375,"canon","Landward-Creek","20-40m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.9897370725,-25.4481698375,"canon","Landward-Creek","20-40m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.9897370725,-25.4481698375,"canon","Landward-Creek","20-40m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.9897370725,-25.4481698375,"canon","Landward-Creek","20-40m","Rhizophora stylosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989566359167,-25.4480859458333,"canon","Landward-Creek","40-60m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989566359167,-25.4480859458333,"canon","Landward-Creek","40-60m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989525958333,-25.4480641916667,"canon","Landward-Creek","40-60m","Avicennia marina",0.4,5.83333333333333,2,1,7243.09642372114,0.88125,4.225139580504,0.721649484536082,0.666666666666667,0.75,0.712772050400916,"Week 2","red"
152.98960676,-25.4481077,"canon","Landward-Creek","40-60m","Ceriops australis",0.3,4.5,1,0.5,3621.54821186057,0.29375,1.62969669533726,0.278350515463918,0.333333333333333,0.25,0.287227949599084,"Week 2","red"
