"Longitude","Latitude","Group","Transect","Zone","Species","Height","Mean Circumference (cm)","Frequency","Frequency per Zone","Trees per HA","Density","Basal Area per HA","Relative Cover","Relative Frequency","Relative Density","Relative Importance","Week","Group color"
152.9897920475,-25.4483431975,"kelvn","Landward-Creek","0-20m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.9897920475,-25.4483431975,"kelvn","Landward-Creek","0-20m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.98979768,-25.44835634,"kelvn","Landward-Creek","0-20m","Avicennia marina",0.7,13,1,1,47258.9792060492,0.092,61.4366729678639,0.804123711340206,0.5,0.2,0.501374570446735,"Week 2","red"
152.9897920475,-25.4483431975,"kelvn","Landward-Creek","0-20m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.9897920475,-25.4483431975,"kelvn","Landward-Creek","0-20m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989786415,-25.448330055,"kelvn","Landward-Creek","0-20m","Osbornia octodonta",NA,3.16666666666667,1,1,47258.9792060492,0.368,14.9653434152489,0.195876288659794,0.5,0.8,0.498625429553265,"Week 2","red"
152.9897920475,-25.4483431975,"kelvn","Landward-Creek","0-20m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.9897920475,-25.4483431975,"kelvn","Landward-Creek","0-20m","Rhizophora stylosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989643139667,-25.4481924673333,"kelvn","Landward-Creek","20-40m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.989643139667,-25.4481924673333,"kelvn","Landward-Creek","20-40m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
152.98963813,-25.44818873,"kelvn","Landward-Creek","20-40m","Avicennia marina",0.7,6,1,0.5,15122.8733459357,0.071875,9.07372400756144,0.199667221297837,0.25,0.125,0.191555740432612,"Week 2","red"
152.989706824,-25.448226212,"kelvn","Landward-Creek","20-40m","Ceriops australis",0.66,8.4,2,1,30245.7466918715,0.359375,25.406427221172,0.559068219633943,0.5,0.625,0.561356073211314,"Week 2","red"
152.989643139667,-25.4481924673333,"kelvn","Landward-Creek","20-40m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","red"
