"Longitude","Latitude","Group","Transect","Zone","Species","Height","Mean Circumference (cm)","Frequency","Frequency per Zone","Trees per HA","Density","Basal Area per HA","Relative Cover","Relative Frequency","Relative Density","Relative Importance","Week","Group color"
152.987536144,-25.447905994,"bell","Seaward","0-20m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987536144,-25.447905994,"bell","Seaward","0-20m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987536144,-25.447905994,"bell","Seaward","0-20m","Avicennia marina",3.46,65.6,1,1,4109.13872452334,1.56,26.9559500328731,1,1,1,1,"Week 2","yellow"
152.987536144,-25.447905994,"bell","Seaward","0-20m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987536144,-25.447905994,"bell","Seaward","0-20m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987536144,-25.447905994,"bell","Seaward","0-20m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987536144,-25.447905994,"bell","Seaward","0-20m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987536144,-25.447905994,"bell","Seaward","0-20m","Rhizophora stylosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987730556667,-25.4479365976667,"bell","Seaward","20-40m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987730556667,-25.4479365976667,"bell","Seaward","20-40m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987714993333,-25.4479358333333,"bell","Seaward","20-40m","Avicennia marina",2.66666666666667,38.3333333333333,2,1,2733.99119996582,0.7171875,10.480299599869,0.697815533980582,0.5,0.375,0.524271844660194,"Week 2","yellow"
152.987730556667,-25.4479365976667,"bell","Seaward","20-40m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987730556667,-25.4479365976667,"bell","Seaward","20-40m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987730556667,-25.4479365976667,"bell","Seaward","20-40m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987730556667,-25.4479365976667,"bell","Seaward","20-40m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98774612,-25.447937362,"bell","Seaward","20-40m","Rhizophora stylosa",2.38,16.6,2,1,2733.99119996582,1.1953125,4.53842539194327,0.302184466019418,0.5,0.625,0.475728155339806,"Week 2","yellow"
152.98781278,-25.44797716,"bell","Seaward","40-60m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98781278,-25.44797716,"bell","Seaward","40-60m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98781278,-25.44797716,"bell","Seaward","40-60m","Avicennia marina",2.5,98,1,1,3460.20761245675,0.425,33.9100346020761,0.921630094043887,0.5,0.25,0.557210031347962,"Week 2","yellow"
152.98781278,-25.44797716,"bell","Seaward","40-60m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98781278,-25.44797716,"bell","Seaward","40-60m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98781278,-25.44797716,"bell","Seaward","40-60m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98781278,-25.44797716,"bell","Seaward","40-60m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98781278,-25.44797716,"bell","Seaward","40-60m","Rhizophora stylosa",1.13333333333333,8.33333333333333,1,1,3460.20761245675,1.275,2.88350634371396,0.0783699059561129,0.5,0.75,0.442789968652038,"Week 2","yellow"
