"Longitude","Latitude","Group","Transect","Zone","Species","Height","Mean Circumference (cm)","Frequency","Frequency per Zone","Trees per HA","Density","Basal Area per HA","Relative Cover","Relative Frequency","Relative Density","Relative Importance","Week","Group color"
152.989081465,-25.4483200225,"fork","Landward-Creek","0-20m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.989081465,-25.4483200225,"fork","Landward-Creek","0-20m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.989081465,-25.4483200225,"fork","Landward-Creek","0-20m","Avicennia marina",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.989081465,-25.4483200225,"fork","Landward-Creek","0-20m","Ceriops australis",0.525,4.625,1,1,49382.7160493827,0.45,22.8395061728395,1,1,1,1,"Week 2","yellow"
152.989081465,-25.4483200225,"fork","Landward-Creek","0-20m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.989081465,-25.4483200225,"fork","Landward-Creek","0-20m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.989081465,-25.4483200225,"fork","Landward-Creek","0-20m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.989081465,-25.4483200225,"fork","Landward-Creek","0-20m","Rhizophora stylosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.989762548,-25.448329677,"fork","Landward-Creek","20-40m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.989762548,-25.448329677,"fork","Landward-Creek","20-40m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.989762548,-25.448329677,"fork","Landward-Creek","20-40m","Avicennia marina",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.989731186,-25.448336144,"fork","Landward-Creek","20-40m","Ceriops australis",0.54,6.2,2,1,15625,0.5,9.6875,0.65034965034965,0.5,0.625,0.591783216783217,"Week 2","yellow"
152.989762548,-25.448329677,"fork","Landward-Creek","20-40m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98979391,-25.44832321,"fork","Landward-Creek","20-40m","Osbornia octodonta",0.466666666666667,3.33333333333333,2,1,15625,0.3,5.20833333333333,0.34965034965035,0.5,0.375,0.408216783216783,"Week 2","yellow"
152.989762548,-25.448329677,"fork","Landward-Creek","20-40m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.989762548,-25.448329677,"fork","Landward-Creek","20-40m","Rhizophora stylosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.989467315,-25.448240695,"fork","Landward-Creek","40-60m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.989467315,-25.448240695,"fork","Landward-Creek","40-60m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.989467315,-25.448240695,"fork","Landward-Creek","40-60m","Avicennia marina",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98940947,-25.44823199,"fork","Landward-Creek","40-60m","Ceriops australis",0.45,4,1,1,30245.7466918715,0.2875,12.0982986767486,0.695652173913043,0.5,0.5,0.565217391304348,"Week 2","yellow"
152.989467315,-25.448240695,"fork","Landward-Creek","40-60m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98952516,-25.4482494,"fork","Landward-Creek","40-60m","Osbornia octodonta",0.35,1.75,1,1,30245.7466918715,0.2875,5.29300567107751,0.304347826086957,0.5,0.5,0.434782608695652,"Week 2","yellow"
152.989467315,-25.448240695,"fork","Landward-Creek","40-60m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.989467315,-25.448240695,"fork","Landward-Creek","40-60m","Rhizophora stylosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.989225937778,-25.4482946444444,"fork","Landward-Creek","60-80m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.989225937778,-25.4482946444444,"fork","Landward-Creek","60-80m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98918859,-25.4482938,"fork","Landward-Creek","60-80m","Avicennia marina",0.6,7,1,0.5,3950.61728395062,0.140625,2.76543209876543,0.25,0.25,0.125,0.208333333333333,"Week 2","yellow"
152.989300633333,-25.4482963333333,"fork","Landward-Creek","60-80m","Ceriops australis",0.716666666666667,7,2,1,7901.23456790123,0.84375,5.53086419753086,0.5,0.5,0.75,0.583333333333333,"Week 2","yellow"
152.98918859,-25.4482938,"fork","Landward-Creek","60-80m","Lumnitzera racemosa",1.2,7,1,0.5,3950.61728395062,0.140625,2.76543209876543,0.25,0.25,0.125,0.208333333333333,"Week 2","yellow"
152.989225937778,-25.4482946444444,"fork","Landward-Creek","60-80m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
