"Longitude","Latitude","Group","Transect","Zone","Species","Height","Mean Circumference (cm)","Frequency","Frequency per Zone","Trees per HA","Density","Basal Area per HA","Relative Cover","Relative Frequency","Relative Density","Relative Importance","Week","Group color"
152.9875139975,-25.447980195,"one","Seaward","0-20m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.9875139975,-25.447980195,"one","Seaward","0-20m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98755416,-25.447992655,"one","Seaward","0-20m","Avicennia marina",5.65,118.5,1,0.5,800,0.625,9.48,0.824825986078886,0.333333333333333,0.25,0.469386439804073,"Week 2","yellow"
152.9875139975,-25.447980195,"one","Seaward","0-20m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.9875139975,-25.447980195,"one","Seaward","0-20m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.9875139975,-25.447980195,"one","Seaward","0-20m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.9875139975,-25.447980195,"one","Seaward","0-20m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987473835,-25.447967735,"one","Seaward","0-20m","Rhizophora stylosa",1.66666666666667,12.5833333333333,2,1,1600,1.875,2.01333333333333,0.175174013921114,0.666666666666667,0.75,0.530613560195927,"Week 2","yellow"
152.987631887333,-25.44804864,"one","Seaward","20-40m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987631887333,-25.44804864,"one","Seaward","20-40m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987633616667,-25.44805127,"one","Seaward","20-40m","Avicennia marina",3.26666666666667,49.6666666666667,2,1,1772.85318559557,0.890625,8.80517082179132,0.787526427061311,0.5,0.375,0.554175475687104,"Week 2","yellow"
152.987631887333,-25.44804864,"one","Seaward","20-40m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987631887333,-25.44804864,"one","Seaward","20-40m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987631887333,-25.44804864,"one","Seaward","20-40m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987631887333,-25.44804864,"one","Seaward","20-40m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987630158,-25.44804601,"one","Seaward","20-40m","Rhizophora stylosa",1.9,13.4,2,1,1772.85318559557,1.484375,2.37562326869806,0.212473572938689,0.5,0.625,0.445824524312896,"Week 2","yellow"
152.98765131,-25.44807751,"one","Seaward","40-60m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98765131,-25.44807751,"one","Seaward","40-60m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98765131,-25.44807751,"one","Seaward","40-60m","Avicennia marina",0.725,8.3125,2,1,3968.00793601587,1.5875,3.29840659681319,1,1,1,1,"Week 2","yellow"
152.98765131,-25.44807751,"one","Seaward","40-60m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98765131,-25.44807751,"one","Seaward","40-60m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98765131,-25.44807751,"one","Seaward","40-60m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98765131,-25.44807751,"one","Seaward","40-60m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98765131,-25.44807751,"one","Seaward","40-60m","Rhizophora stylosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
