"Longitude","Latitude","Group","Transect","Zone","Species","Height","Mean Circumference (cm)","Frequency","Frequency per Zone","Trees per HA","Density","Basal Area per HA","Relative Cover","Relative Frequency","Relative Density","Relative Importance","Week","Group color"
152.989824944,-25.448422565,"spoon","Landward-Creek","0-20m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.989824944,-25.448422565,"spoon","Landward-Creek","0-20m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.9898095,-25.44839208,"spoon","Landward-Creek","0-20m","Avicennia marina",0.6,2.5,1,0.5,10973.9368998628,0.084375,2.74348422496571,0.105932203389831,0.25,0.125,0.160310734463277,"Week 2","yellow"
152.989838012,-25.44844836,"spoon","Landward-Creek","0-20m","Ceriops australis",0.88,7.8,2,1,21947.8737997257,0.421875,17.119341563786,0.661016949152542,0.5,0.625,0.595338983050847,"Week 2","yellow"
152.989824944,-25.448422565,"spoon","Landward-Creek","0-20m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98982732,-25.448427255,"spoon","Landward-Creek","0-20m","Osbornia octodonta",0.75,5.5,1,0.5,10973.9368998628,0.16875,6.03566529492455,0.233050847457627,0.25,0.25,0.244350282485876,"Week 2","yellow"
152.989824944,-25.448422565,"spoon","Landward-Creek","0-20m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.989824944,-25.448422565,"spoon","Landward-Creek","0-20m","Rhizophora stylosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.989706553333,-25.44834752,"spoon","Landward-Creek","20-40m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.989706553333,-25.44834752,"spoon","Landward-Creek","20-40m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98965508,-25.44832524,"spoon","Landward-Creek","20-40m","Avicennia marina",0.2,8,1,1,55363.321799308,0.10625,44.2906574394464,0.680851063829787,0.333333333333333,0.25,0.421394799054374,"Week 2","yellow"
152.9898095,-25.44839208,"spoon","Landward-Creek","20-40m","Ceriops australis",0.5,1.5,1,1,55363.321799308,0.10625,8.30449826989619,0.127659574468085,0.333333333333333,0.25,0.236997635933806,"Week 2","yellow"
