"Longitude","Latitude","Group","Transect","Zone","Species","Height","Mean Circumference (cm)","Frequency","Frequency per Zone","Trees per HA","Density","Basal Area per HA","Relative Cover","Relative Frequency","Relative Density","Relative Importance","Week","Group color"
152.987606519286,-25.4477608664286,"taco","Seaward","0-20m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987606519286,-25.4477608664286,"taco","Seaward","0-20m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98765457,-25.44776577,"taco","Seaward","0-20m","Avicennia marina",2.7,15.5,1,0.5,1730.10380622837,0.2125,2.68166089965398,0.307801418439716,0.333333333333333,0.125,0.255378250591017,"Week 2","yellow"
152.987606519286,-25.4477608664286,"taco","Seaward","0-20m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987606519286,-25.4477608664286,"taco","Seaward","0-20m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987606519286,-25.4477608664286,"taco","Seaward","0-20m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987606519286,-25.4477608664286,"taco","Seaward","0-20m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987558468571,-25.4477559628571,"taco","Seaward","0-20m","Rhizophora stylosa",2.78571428571429,17.4285714285714,2,1,3460.20761245675,1.4875,6.0306475531389,0.692198581560284,0.666666666666667,0.875,0.744621749408983,"Week 2","yellow"
152.98765616,-25.447846025,"taco","Seaward","20-40m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98765616,-25.447846025,"taco","Seaward","20-40m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98765616,-25.447846025,"taco","Seaward","20-40m","Avicennia marina",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98765616,-25.447846025,"taco","Seaward","20-40m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98765616,-25.447846025,"taco","Seaward","20-40m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98765616,-25.447846025,"taco","Seaward","20-40m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98765616,-25.447846025,"taco","Seaward","20-40m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.98765616,-25.447846025,"taco","Seaward","20-40m","Rhizophora stylosa",1.675,14.25,1,1,4924.59218220991,1.425,7.01754385964912,1,1,1,1,"Week 2","yellow"
152.987947891333,-25.4479529516667,"taco","Seaward","40-60m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987947891333,-25.4479529516667,"taco","Seaward","40-60m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987976456,-25.44795553,"taco","Seaward","40-60m","Avicennia marina",0.9,9.9,2,1,3265.30612244898,1.09375,3.23265306122449,0.725274725274725,0.666666666666667,0.625,0.672313797313797,"Week 2","yellow"
152.987947891333,-25.4479529516667,"taco","Seaward","40-60m","Ceriops australis",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987947891333,-25.4479529516667,"taco","Seaward","40-60m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987947891333,-25.4479529516667,"taco","Seaward","40-60m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987947891333,-25.4479529516667,"taco","Seaward","40-60m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 2","yellow"
152.987919326667,-25.4479503733333,"taco","Seaward","40-60m","Rhizophora stylosa",1.16666666666667,7.5,1,0.5,1632.65306122449,0.65625,1.22448979591837,0.274725274725275,0.333333333333333,0.375,0.327686202686203,"Week 2","yellow"
