"Date","Time","Latitude","Longitude","Group name","Quadrat Size","Species","Week","Group color"
"30/06/2015","1:53:43 PM","","","boomanjin open tall forest burnt","1x1","Pteridium esculentum",1,"yellow"
"30/06/2015","1:53:43 PM","","","boomanjin open tall forest burnt","1x1","unknown sp1",1,"yellow"
"30/06/2015","1:53:43 PM","","","boomanjin open tall forest burnt","1x1","unknown sp2",1,"yellow"
"30/06/2015","1:55:00 PM","","","boomanjin open tall forest burnt","2x1","Leucopogan ericoides",1,"yellow"
"30/06/2015","1:55:00 PM","","","boomanjin open tall forest burnt","2x1","Lomandra obliqua",1,"yellow"
"30/06/2015","1:55:00 PM","","","boomanjin open tall forest burnt","2x1","unknown sp3",1,"yellow"
"30/06/2015","1:55:27 PM","","","boomanjin open tall forest burnt","2x2","Monotoca sp. Fraser Island",1,"yellow"
"30/06/2015","1:57:29 PM","","","boomanjin open tall forest burnt","4x4","Casuarina glauca",1,"yellow"
"30/06/2015","2:12:01 PM","","","boomanjin open tall forest burnt","8x8","Acacia leiocalyx",1,"yellow"
"30/06/2015","2:12:01 PM","","","boomanjin open tall forest burnt","8x8","Banksia integrifolia subsp. integrifolia",1,"yellow"
"30/06/2015","2:12:01 PM","","","boomanjin open tall forest burnt","8x8","Eucalyptus pilularis",1,"yellow"
"30/06/2015","2:12:01 PM","","","boomanjin open tall forest burnt","8x8","Platysace lanceolata",1,"yellow"
"30/06/2015","2:12:01 PM","","","boomanjin open tall forest burnt","8x8","Ricinocarpos pinifolius",1,"yellow"
"30/06/2015","2:13:30 PM","","","boomanjin open tall forest burnt","16x8","Angophora leiocarpa",1,"yellow"
"30/06/2015","2:13:30 PM","","","boomanjin open tall forest burnt","16x8","unknown sp4",1,"yellow"
"30/06/2015","2:13:30 PM","","","boomanjin open tall forest burnt","16x8","unknown sp5",1,"yellow"
"30/06/2015","2:17:30 PM","","","boomanjin open tall forest burnt","16x16","Acacia flavescens",1,"yellow"
"30/06/2015","2:17:30 PM","","","boomanjin open tall forest burnt","16x16","Dianella caerulea",1,"yellow"
