"Date","Time","Latitude","Longitude","Group name","Quadrat Size","Species","Week","Group color"
"3/07/2015","10:00:16 AM","","","green scribbly gum forest","8x8","Monotoca sp. Fraser Island",2,"green"
"3/07/2015","10:12:21 AM","","","green scribbly gum forest","16x8","Acacia leiocalyx",2,"green"
"3/07/2015","10:12:21 AM","","","green scribbly gum forest","16x8","Xylomelum salicinum",2,"green"
"3/07/2015","10:12:21 AM","","","green scribbly gum forest","16x8","unknown sp4",2,"green"
"3/07/2015","10:12:21 AM","","","green scribbly gum forest","16x8","unknown sp5",2,"green"
"3/07/2015","9:34:17 AM","","","green scribbly gum forest","1x1","Dianella caerulea",2,"green"
"3/07/2015","9:34:17 AM","","","green scribbly gum forest","1x1","Pteridium esculentum",2,"green"
"3/07/2015","9:34:17 AM","","","green scribbly gum forest","1x1","unknown sp1",2,"green"
"3/07/2015","9:36:22 AM","","","green scribbly gum forest","2x1","Lomandra obliqua",2,"green"
"3/07/2015","9:39:18 AM","","","green scribbly gum forest","2x2","Lomandra confertifolia",2,"green"
"3/07/2015","9:39:18 AM","","","green scribbly gum forest","2x2","Ricinocarpos pinifolius",2,"green"
"3/07/2015","9:45:23 AM","","","green scribbly gum forest","4x2","Leucopogan ericoides",2,"green"
"3/07/2015","9:45:23 AM","","","green scribbly gum forest","4x2","Schizaea bifida",2,"green"
"3/07/2015","9:45:23 AM","","","green scribbly gum forest","4x2","unknown sp2",2,"green"
"3/07/2015","9:54:56 AM","","","green scribbly gum forest","8x4","Banksia serrata",2,"green"
"3/07/2015","9:54:56 AM","","","green scribbly gum forest","8x4","unknown sp3",2,"green"
