"Date","Time","Latitude","Longitude","Group name","Quadrat Size","Species","Week","Group color"
"5/07/2015","12:36:21 PM","","","yellow tall forest","1x1","Pteridium esculentum",2,"yellow"
"5/07/2015","12:36:21 PM","","","yellow tall forest","1x1","unknown sp1",2,"yellow"
"5/07/2015","12:39:15 PM","","","yellow tall forest","2x1","Ricinocarpos pinifolius",2,"yellow"
"5/07/2015","12:40:15 PM","","","yellow tall forest","2x2","Dianella caerulea",2,"yellow"
"5/07/2015","12:42:50 PM","","","yellow tall forest","4x2","Casuarina glauca",2,"yellow"
"5/07/2015","12:46:52 PM","","","yellow tall forest","8x4","Platysace lanceolata",2,"yellow"
"5/07/2015","12:55:07 PM","","","yellow tall forest","8x8","Acacia leiocalyx",2,"yellow"
"5/07/2015","12:55:07 PM","","","yellow tall forest","8x8","Monotoca sp. Fraser Island",2,"yellow"
"5/07/2015","1:09:47 PM","","","yellow tall forest","16x8","Acacia flavescens",2,"yellow"
"5/07/2015","1:09:47 PM","","","yellow tall forest","16x8","Astrotricha longifolia",2,"yellow"
"5/07/2015","1:09:47 PM","","","yellow tall forest","16x8","Leucopogan ericoides",2,"yellow"
"5/07/2015","1:09:47 PM","","","yellow tall forest","16x8","unknown sp2",2,"yellow"
"5/07/2015","1:09:47 PM","","","yellow tall forest","16x8","Leucopogan pimeleoides",2,"yellow"
"5/07/2015","1:15:50 PM","","","yellow tall forest","16x16","Banksia integrifolia subsp. integrifolia",2,"yellow"
"5/07/2015","1:15:50 PM","","","yellow tall forest","16x16","Eucalyptus pilularis",2,"yellow"
