"Date","Time","Group","Latitude","Longitude","Altitude","Forest Type","Hole Diameter","Week","Group color"
"30/06/2015","3:27:53 PM","group x",-25.56070912,153.06995771,174.600006103516,"Tall Open",20,"Week 1","yellow"
"30/06/2015","3:32:53 PM","group x",-25.56115716,153.06991061,173.399993896484,"Tall Open",35,"Week 1","yellow"
"30/06/2015","3:35:42 PM","group x",-25.56135362,153.06983959,168.5,"Tall Open",25,"Week 1","yellow"
"30/06/2015","3:36:12 PM","group x",-25.56139573,153.06983856,166.800003051758,"Tall Open",20,"Week 1","yellow"
"30/06/2015","3:36:41 PM","group x",-25.56141897,153.06983317,166.300003051758,"Tall Open",20,"Week 1","yellow"
"30/06/2015","3:37:12 PM","group x",-25.56140704,153.06980744,170.600006103516,"Tall Open",27,"Week 1","yellow"
"30/06/2015","3:37:36 PM","group x",-25.56142055,153.06980289,170.399993896484,"Tall Open",23,"Week 1","yellow"
"30/06/2015","3:37:43 PM","group x",-25.56141874,153.06980051,170.899993896484,"Tall Open",25,"Week 1","yellow"
"30/06/2015","3:37:58 PM","group x",-25.56141671,153.06979275,170.699996948242,"Tall Open",25,"Week 1","yellow"
"30/06/2015","3:38:42 PM","group x",-25.56145016,153.06974136,167.699996948242,"Tall Open",17,"Week 1","yellow"
"30/06/2015","3:40:00 PM","group x",-25.56153199,153.06965525,170.399993896484,"Tall Open",17,"Week 1","yellow"
"30/06/2015","3:40:04 PM","group x",-25.56154276,153.06964635,172.600006103516,"Tall Open",14,"Week 1","yellow"
"30/06/2015","3:41:16 PM","group x",-25.56155225,153.06955505,169.100006103516,"Tall Open",25,"Week 1","yellow"
"30/06/2015","3:45:00 PM","group x",-25.56171896,153.06908593,168.699996948242,"Tall Open",25,"Week 1","yellow"
"30/06/2015","3:47:41 PM","group x",-25.56189902,153.06883906,168.800003051758,"Tall Open",20,"Week 1","yellow"
"30/06/2015","3:47:45 PM","group x",-25.56189902,153.06883905,168.800003051758,"Tall Open",17,"Week 1","yellow"
"30/06/2015","3:48:07 PM","group x",-25.56191056,153.06879331,170,"Tall Open",25,"Week 1","yellow"
"30/06/2015","3:51:17 PM","group x",-25.56213413,153.06850682,172,"Tall Open",10,"Week 1","yellow"
"30/06/2015","3:51:48 PM","group x",-25.56213139,153.06849745,172.199996948242,"Tall Open",32,"Week 1","yellow"
"30/06/2015","4:39:50 PM","group x",-25.57970558,153.07769007,174.699996948242,"Tall Open",27,"Week 1","yellow"
"30/06/2015","4:44:23 PM","group x",-25.5800022,153.07805647,167.600006103516,"Tall Open",33,"Week 1","yellow"
"30/06/2015","3:32:04 PM","group y",-25.56213834,153.06847006,165.699996948242,"Tall Open",30,"Week 1","yellow"
"30/06/2015","3:32:25 PM","group y",-25.56213874,153.0684682,166.600006103516,"Tall Open",30,"Week 1","yellow"
"30/06/2015","3:39:18 PM","group y",-25.56243781,153.06837285,167.199996948242,"Tall Open",30,"Week 1","yellow"
"30/06/2015","3:40:40 PM","group y",-25.56263961,153.06826084,170.699996948242,"Tall Open",30,"Week 1","yellow"
"30/06/2015","3:41:24 PM","group y",-25.5626404,153.06826001,170.800003051758,"Tall Open",30,"Week 1","yellow"
"30/06/2015","3:42:03 PM","group y",-25.56266584,153.06827467,168.600006103516,"Tall Open",27,"Week 1","yellow"
"30/06/2015","3:45:06 PM","group y",-25.56291243,153.06821328,172.399993896484,"Tall Open",30,"Week 1","yellow"
"30/06/2015","3:46:46 PM","group y",-25.56307217,153.06821152,165.899993896484,"Tall Open",20,"Week 1","yellow"
"30/06/2015","3:48:07 PM","group y",-25.56325446,153.0683481,168.399993896484,"Tall Open",30,"Week 1","yellow"
"30/06/2015","3:49:29 PM","group y",-25.56338416,153.06838108,165.899993896484,"Tall Open",30,"Week 1","yellow"
"30/06/2015","3:51:06 PM","group y",-25.56358043,153.06846589,164.899993896484,"Tall Open",8,"Week 1","yellow"
"30/06/2015","3:51:27 PM","group y",-25.56358196,153.06846296,164.300003051758,"Tall Open",15,"Week 1","yellow"
"30/06/2015","3:52:46 PM","group y",-25.56367261,153.06842602,163.899993896484,"Tall Open",30,"Week 1","yellow"
"30/06/2015","3:53:16 PM","group y",-25.56369021,153.06841302,164.300003051758,"Tall Open",28,"Week 1","yellow"
"30/06/2015","3:53:37 PM","group y",-25.56370042,153.06840269,163.800003051758,"Tall Open",26,"Week 1","yellow"
"30/06/2015","3:53:56 PM","group y",-25.56370055,153.06840275,163.800003051758,"Tall Open",20,"Week 1","yellow"
"30/06/2015","3:54:28 PM","group y",-25.56371683,153.06837774,164.399993896484,"Tall Open",28,"Week 1","yellow"
"30/06/2015","3:55:10 PM","group y",-25.56381439,153.06833004,162,"Tall Open",25,"Week 1","yellow"
"30/06/2015","3:56:17 PM","group y",-25.56390441,153.06825795,168.100006103516,"Tall Open",35,"Week 1","yellow"
"30/06/2015","4:35:17 PM","group y",-25.58003543,153.07804837,165.5,"Tall Open",25,"Week 1","yellow"
"30/06/2015","4:36:02 PM","group y",-25.58006377,153.07806752,167.800003051758,"Tall Open",10,"Week 1","yellow"
"30/06/2015","4:41:25 PM","group y",-25.58077293,153.07863748,167.300003051758,"Tall Open",15,"Week 1","yellow"
"30/06/2015","4:43:30 PM","group y",-25.58102879,153.07881364,163.699996948242,"Tall Open",25,"Week 1","yellow"
