"Date","Time","Longitude","Latitude","Group","Quadrat size","Vegetation type","Quadrat #","Tallest tree","Foliage cover","Ground cover","Litter depth","Small trees","Shrub size","Shrub count","Spider Hole","Tree Species Name","Tree Species DBH","Acacia Dominant","Angophora Dominant","Araucaria Dominant","Banksia Dominant","Callitris Dominant","Casuarina Dominant","Eucalyptus Dominant","Lophostemon Dominant","Melaleuca Dominant","Syncarpia Dominant","area","Basal Area","Frequency","Density","Relative Basal Area","Relative Frequency","Relative Density","Relative Importance","Week","Group color"
"28/06/2015","1:59:47 PM",NA,NA,"yellow","10x10m","",1,20,0.15,0.05,10,NA,"2-8m",NA,NA,"",NA,0,0,0,1,0,0,1,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,"Week 1","green"
"28/06/2015","2:01:20 PM",NA,NA,"yellow","10x10m","",2,20,0.35,0.02,8,NA,"2-8m",NA,NA,"",NA,0,0,0,1,0,0,1,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,"Week 1","green"
"28/06/2015","2:02:26 PM",NA,NA,"yellow","10x10m","",3,20,0.02,0.03,15,NA,"2-8m",NA,NA,"",NA,0,0,0,1,0,0,1,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,"Week 1","green"
"28/06/2015","2:03:37 PM",NA,NA,"yellow","10x10m","",4,20,0.5,0.07,10,NA,"2-8m",NA,NA,"",NA,0,0,0,1,0,0,1,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,"Week 1","green"
"28/06/2015","10:38:40 AM",NA,NA,"green scribbly gum","20x20m","",1,NA,0.48,0.85,5,NA,NA,NA,NA,"",NA,0,0,0,0,0,0,0,0,0,0,400,NA,NA,NA,NA,NA,NA,NA,"Week 1","green"
"28/06/2015","10:42:01 AM",NA,NA,"green scribbly gum","20x20m","",2,NA,0.55,0.7,4,NA,NA,NA,NA,"",NA,0,0,0,0,0,0,0,0,0,0,400,NA,NA,NA,NA,NA,NA,NA,"Week 1","green"
"28/06/2015","10:45:47 AM",NA,NA,"green scribbly gum","20x20m","",3,NA,0.6,0.75,10,NA,NA,NA,NA,"",NA,0,0,0,0,0,0,0,0,0,0,400,NA,NA,NA,NA,NA,NA,NA,"Week 1","green"
"28/06/2015","10:47:35 AM",NA,NA,"green scribbly gum","20x20m","",4,NA,0.65,0.55,12,NA,NA,NA,NA,"",NA,0,0,0,0,0,0,0,0,0,0,400,NA,NA,NA,NA,NA,NA,NA,"Week 1","green"
"28/06/2015","10:45:29 AM",NA,NA,"green scribbly gum","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.0286624203822,9,0.0225,NA,0.3,0.16,NA,"Week 1","green"
"28/06/2015","10:45:29 AM",NA,NA,"green scribbly gum","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Banksia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4363057324841,4,0.01,NA,0.13,0.07,NA,"Week 1","green"
"28/06/2015","10:45:29 AM",NA,NA,"green scribbly gum","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.02,NA,0.27,0.14,NA,"Week 1","green"
"28/06/2015","10:45:29 AM",NA,NA,"yellow","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9554140127389,4,0.04,NA,0.13,0.28,NA,"Week 1","green"
"28/06/2015","10:45:29 AM",NA,NA,"yellow","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Banksia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0796178343949,4,0.04,NA,0.13,0.28,NA,"Week 1","green"
"28/06/2015","10:45:29 AM",NA,NA,"yellow","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Callitris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8375796178344,1,0.01,NA,0.03,0.07,NA,"Week 1","green"
"28/06/2015","10:45:29 AM",NA,NA,"green scribbly gum","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1","green"
"28/06/2015","10:45:29 AM",NA,NA,"green scribbly gum","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Angophora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1","green"
"28/06/2015","10:45:29 AM",NA,NA,"green scribbly gum","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Araucaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1","green"
"28/06/2015","10:45:29 AM",NA,NA,"green scribbly gum","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Callitris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1","green"
"28/06/2015","10:45:29 AM",NA,NA,"green scribbly gum","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Casuarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1","green"
"28/06/2015","10:45:29 AM",NA,NA,"green scribbly gum","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Lophostemon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1","green"
"28/06/2015","10:45:29 AM",NA,NA,"green scribbly gum","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Melaleuca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1","green"
"28/06/2015","10:45:29 AM",NA,NA,"green scribbly gum","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Syncarpia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1","green"
"28/06/2015","10:45:29 AM",NA,NA,"green scribbly gum","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1","green"
"28/06/2015","10:45:29 AM",NA,NA,"yellow","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1","green"
"28/06/2015","10:45:29 AM",NA,NA,"yellow","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Angophora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1","green"
"28/06/2015","10:45:29 AM",NA,NA,"yellow","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Araucaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1","green"
"28/06/2015","10:45:29 AM",NA,NA,"yellow","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Casuarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1","green"
"28/06/2015","10:45:29 AM",NA,NA,"yellow","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Lophostemon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1","green"
"28/06/2015","10:45:29 AM",NA,NA,"yellow","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Melaleuca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1","green"
"28/06/2015","10:45:29 AM",NA,NA,"yellow","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Syncarpia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1","green"
"28/06/2015","10:45:29 AM",NA,NA,"yellow","20x20m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1","green"
