"Date","Time","Longitude","Latitude","Group","Quadrat size","Vegetation type","Quadrat #","Tallest tree","Foliage cover","Ground cover","Litter depth","Small trees","Shrub size","Shrub count","Spider Hole","Tree Species Name","Tree Species DBH","Acacia Dominant","Angophora Dominant","Araucaria Dominant","Banksia Dominant","Callitris Dominant","Casuarina Dominant","Eucalyptus Dominant","Lophostemon Dominant","Melaleuca Dominant","Syncarpia Dominant","area","Basal Area","Frequency","Density","Relative Basal Area","Relative Frequency","Relative Density","Relative Importance","Week","Group color"
"28/06/2015","6:05:09 PM",NA,NA,"green spider heaven","20x20m",NA,1,8,0.55,0.45,18,NA,"2-8m",NA,25,"",NA,0,0,0,1,0,1,1,0,0,0,400,NA,NA,NA,NA,NA,NA,NA,"Week 1","green"
"28/06/2015","6:05:58 PM",NA,NA,"green spider heaven","20x20m",NA,2,8,0.65,0.25,14,NA,"2-8m",NA,25,"",NA,0,0,0,1,0,1,1,0,0,0,400,NA,NA,NA,NA,NA,NA,NA,"Week 1","green"
"28/06/2015","6:06:18 PM",NA,NA,"green spider heaven","20x20m",NA,3,8,0.66,0.05,20,NA,"2-8m",NA,25,"",NA,0,0,0,1,0,1,1,0,0,0,400,NA,NA,NA,NA,NA,NA,NA,"Week 1","green"
"28/06/2015","6:06:37 PM",NA,NA,"green spider heaven","20x20m",NA,4,8,0.55,0.19,14,NA,"2-8m",NA,25,"",NA,0,0,0,1,0,1,1,0,0,0,400,NA,NA,NA,NA,NA,NA,NA,"Week 1","green"
"28/06/2015","10:38:40 AM",NA,NA,"green scribbly gum","20x20m",NA,1,9,0.48,0.85,5,NA,"0-2m",NA,1,"",NA,0,0,0,0,0,0,1,0,0,0,400,NA,NA,NA,NA,NA,NA,NA,"Week 1","green"
"28/06/2015","10:42:01 AM",NA,NA,"green scribbly gum","20x20m",NA,2,9,0.55,0.7,4,NA,"0-2m",NA,1,"",NA,0,0,0,0,0,0,1,0,0,0,400,NA,NA,NA,NA,NA,NA,NA,"Week 1","green"
"28/06/2015","10:45:47 AM",NA,NA,"green scribbly gum","20x20m",NA,3,9,0.6,0.75,10,NA,"0-2m",NA,1,"",NA,0,0,0,0,0,0,1,0,0,0,400,NA,NA,NA,NA,NA,NA,NA,"Week 1","green"
"28/06/2015","10:47:35 AM",NA,NA,"green scribbly gum","20x20m",NA,4,9,0.65,0.55,12,NA,"0-2m",NA,1,"",NA,0,0,0,0,0,0,1,0,0,0,400,NA,NA,NA,NA,NA,NA,NA,"Week 1","green"
"28/06/2015","6:05:09 PM",NA,NA,"green spider heaven","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Casuarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.3535031847134,16,0.04,NA,0.31,0.31,NA,"Week 1","green"
"28/06/2015","6:05:09 PM",NA,NA,"green spider heaven","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Ericaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.296178343949,4,0.01,NA,0.08,0.08,NA,"Week 1","green"
"28/06/2015","6:05:09 PM",NA,NA,"green spider heaven","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Syncarpia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.0477707006369,2,0.005,NA,0.04,0.04,NA,"Week 1","green"
"28/06/2015","6:05:09 PM",NA,NA,"green spider heaven","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.6783439490446,5,0.0125,NA,0.1,0.1,NA,"Week 1","green"
"28/06/2015","6:05:09 PM",NA,NA,"green spider heaven","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Banksia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.9076433121019,4,0.01,NA,0.08,0.08,NA,"Week 1","green"
"28/06/2015","6:05:09 PM",NA,NA,"green scribbly gum","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.0286624203822,9,0.0225,NA,0.18,0.18,NA,"Week 1","green"
"28/06/2015","6:05:09 PM",NA,NA,"green scribbly gum","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Banksia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4363057324841,4,0.01,NA,0.08,0.08,NA,"Week 1","green"
"28/06/2015","6:05:09 PM",NA,NA,"green scribbly gum","20x20m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Ericaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9426751592357,3,0.0075,NA,0.06,0.06,NA,"Week 1","green"
