"Date","Time","Longitude","Latitude","Group","Quadrat size","Vegetation type","Quadrat #","Tallest tree","Foliage cover","Ground cover","Litter depth","Small trees","Shrub size","Shrub count","Spider Hole","Tree Species Name","Tree Species DBH","Acacia Dominant","Angophora Dominant","Araucaria Dominant","Banksia Dominant","Callitris Dominant","Casuarina Dominant","Eucalyptus Dominant","Lophostemon Dominant","Melaleuca Dominant","Syncarpia Dominant","area","Basal Area","Frequency","Density","Relative Basal Area","Relative Frequency","Relative Density","Relative Importance","Week","Group color"
"29/06/2015","1:42:51 PM",NA,NA,"Cass","10x10m","",1,20,0.37,0.1,10,NA,"0-2m",NA,0,"",NA,0,0,0,1,0,1,0,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,"Week 1","red"
"29/06/2015","1:43:34 PM",NA,NA,"Cass","10x10m","",2,20,0.5,0.15,10,NA,"0-2m",NA,0,"",NA,0,0,0,1,0,1,0,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,"Week 1","red"
"29/06/2015","1:43:49 PM",NA,NA,"Cass","10x10m","",3,20,0.25,0.05,10,NA,"0-2m",NA,0,"",NA,0,0,0,1,0,1,0,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,"Week 1","red"
"29/06/2015","1:44:06 PM",NA,NA,"Cass","10x10m","",4,20,0.4,0.1,10,NA,"0-2m",NA,0,"",NA,0,0,0,1,0,1,0,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,"Week 1","red"
"29/06/2015","12:24:40 PM",NA,NA,"Red group spider heaven","20x20m",NA,1,30,0.68,0.01,6,NA,"0-2m",NA,40,"",NA,0,0,0,1,0,0,1,0,0,0,400,NA,NA,NA,NA,NA,NA,NA,"Week 1","red"
"29/06/2015","12:28:11 PM",NA,NA,"Red group spider heaven","20x20m",NA,2,30,0.62,0.07,40,NA,"0-2m",NA,40,"",NA,0,0,0,1,0,0,1,0,0,0,400,NA,NA,NA,NA,NA,NA,NA,"Week 1","red"
"29/06/2015","12:32:32 PM",NA,NA,"Red group spider heaven","20x20m",NA,3,30,0.55,0.08,30,NA,"0-2m",NA,40,"",NA,0,0,0,1,0,0,1,0,0,0,400,NA,NA,NA,NA,NA,NA,NA,"Week 1","red"
"29/06/2015","12:35:17 PM",NA,NA,"Red group spider heaven","20x20m",NA,4,30,0.52,0.08,35,NA,"0-2m",NA,40,"",NA,0,0,0,1,0,0,1,0,0,0,400,NA,NA,NA,NA,NA,NA,NA,"Week 1","red"
"29/06/2015","1:42:51 PM",NA,NA,"Cass","10x10m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Casuarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.12101910828025,2,0.02,0.05,0.09,0.21,0.12,"Week 1","red"
"29/06/2015","1:42:51 PM",NA,NA,"Cass","10x10m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Banksia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.73248407643312,1,0.01,0.04,0.04,0.11,0.06,"Week 1","red"
"29/06/2015","1:42:51 PM",NA,NA,"Cass","10x10m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Callitris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.01592356687898,1,0.01,0.03,0.04,0.11,0.06,"Week 1","red"
"29/06/2015","1:42:51 PM",NA,NA,"Cass","10x10m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.24522292993631,1,0.01,0.05,0.04,0.11,0.07,"Week 1","red"
"29/06/2015","1:42:51 PM",NA,NA,"Red group spider heaven","10x10m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Banksia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.2484076433121,8,0.02,0.31,0.35,0.21,0.29,"Week 1","red"
"29/06/2015","1:42:51 PM",NA,NA,"Red group spider heaven","10x10m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Syncarpia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3662420382166,4,0.01,0.1,0.17,0.11,0.13,"Week 1","red"
"29/06/2015","1:42:51 PM",NA,NA,"Red group spider heaven","10x10m",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.2515923566879,6,0.015,0.42,0.26,0.16,0.28,"Week 1","red"
"29/06/2015","1:42:51 PM",NA,NA,"Cass","10x10m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1","red"
"29/06/2015","1:42:51 PM",NA,NA,"Cass","10x10m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Angophora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1","red"
"29/06/2015","1:42:51 PM",NA,NA,"Cass","10x10m","",0,NA,NA,NA,NA,NA,NA,NA,NA,"Araucaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Week 1","red"
