"Date","Time","Longitude","Latitude","Group","Quadrat size","Vegetation type","Quadrat #","Tallest tree","Foliage cover","Ground cover","Litter depth","Small trees","Shrub size","Shrub count","Spider Hole","Tree Species Name","Tree Species DBH","Acacia Dominant","Angophora Dominant","Araucaria Dominant","Banksia Dominant","Callitris Dominant","Casuarina Dominant","Eucalyptus Dominant","Lophostemon Dominant","Melaleuca Dominant","Syncarpia Dominant","area","Basal Area","Frequency","Density","Relative Basal Area","Relative Frequency","Relative Density","Relative Importance","Week","Group color"
"3/07/2015","10:05:20 AM",NA,NA,"green scribbly gum","20x20m",NA,1,21,0.6,0.05,9,NA,"2-8m",NA,NA,"",NA,0,0,0,0,0,0,1,0,0,0,400,NA,NA,NA,NA,NA,NA,NA,"Week 2","green"
"3/07/2015","10:07:57 AM",NA,NA,"green scribbly gum","20x20m",NA,2,21,0.38,0.14,15,NA,"2-8m",NA,NA,"",NA,0,0,0,0,0,0,1,0,0,0,400,NA,NA,NA,NA,NA,NA,NA,"Week 2","green"
"3/07/2015","10:09:55 AM",NA,NA,"green scribbly gum","20x20m",NA,3,21,0.55,0.3,15,NA,"2-8m",NA,NA,"",NA,0,0,0,0,0,0,1,0,0,0,400,NA,NA,NA,NA,NA,NA,NA,"Week 2","green"
"3/07/2015","10:11:36 AM",NA,NA,"green scribbly gum","20x20m",NA,4,21,0.55,0.4,20,NA,"2-8m",NA,NA,"",NA,0,0,0,0,0,0,1,0,0,0,400,NA,NA,NA,NA,NA,NA,NA,"Week 2","green"
"3/07/2015","8:51:37 AM",NA,NA,"yellow","10x10m",NA,1,20,0.2,0.05,2,NA,"0-2m",NA,0,"",NA,0,0,0,1,1,1,1,1,0,0,100,NA,NA,NA,NA,NA,NA,NA,"Week 2","green"
"3/07/2015","9:06:58 AM",NA,NA,"yellow","10x10m",NA,1,20,0.5,0.15,10,NA,"0-2m",NA,0,"",NA,0,0,0,1,1,1,1,1,0,0,100,NA,NA,NA,NA,NA,NA,NA,"Week 2","green"
"3/07/2015","9:07:20 AM",NA,NA,"yellow","10x10m",NA,2,20,0.3,0.23,17,NA,"0-2m",NA,0,"",NA,0,0,0,1,1,1,1,1,0,0,100,NA,NA,NA,NA,NA,NA,NA,"Week 2","green"
"3/07/2015","9:07:34 AM",NA,NA,"yellow","10x10m",NA,3,20,0.8,0.25,13,NA,"0-2m",NA,0,"",NA,0,0,0,1,1,1,1,1,0,0,100,NA,NA,NA,NA,NA,NA,NA,"Week 2","green"
"3/07/2015","9:07:47 AM",NA,NA,"yellow","10x10m",NA,4,20,0.75,0.15,18,NA,"0-2m",NA,0,"",NA,0,0,0,1,1,1,1,1,0,0,100,NA,NA,NA,NA,NA,NA,NA,"Week 2","green"
"3/07/2015","12:49:34 PM",NA,NA,"green group spider heaven after sandblow","10x10m",NA,1,12,0.73,0.03,11,NA,"2-8m",NA,37,"",NA,0,0,0,1,0,1,1,1,0,0,100,NA,NA,NA,NA,NA,NA,NA,"Week 2","green"
