"Date","Time","Group","Distance along tape","Zone","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Ratio active burrows","Ratio >2cm across burrows","Number of trees","Number of ground plants","Living ground cover","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla","Week"
"27/06/2015","9:05:29 AM","The Green Gang",0,"0-20m",153.09586393,-25.59629202,"Upslope",0.01,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:11:54 AM","The Green Gang",5,"0-20m",153.09576342,-25.59630815,"Upslope",0,0,1,0,0,0,0,1,0.3,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:16:59 AM","The Green Gang",10,"0-20m",153.09579999,-25.59629557,"Trough",0.05,2,0,2,1,1,0,1,0.4,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:20:04 AM","The Green Gang",15,"0-20m",153.09573305,-25.59622177,"Upslope",0,1,1,0,0.5,0,0,1,0.15,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:23:45 AM","The Green Gang",20,"0-20m",153.09572777,-25.5962406,"Upslope",0,1,0,0,1,0,0,2,0.45,0.05,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:28:04 AM","The Green Gang",25,"20-40m",153.09564746,-25.59622363,"Upslope",0.05,1,9,0,0.1,0,0,2,0.5,0.1,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:33:32 AM","The Green Gang",30,"20-40m",153.09561883,-25.59622736,"Crest",0.05,1,7,1,0.125,0.125,0,3,0.85,0.2,0,0,0,0,0.05,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:41:14 AM","The Green Gang",35,"20-40m",153.09558037,-25.5962111,"Upslope",0.9,0,0,0,NA,NA,0,1,0.3,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:43:53 AM","The Green Gang",40,"20-40m",NA,NA,"Upslope",0.2,0,0,0,NA,NA,0,3,1.1,0.2,0,0,0,0,0.8,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:46:18 AM","The Green Gang",45,"40-60m",153.0954757,-25.59625575,"Crest",0.6,1,0,1,1,1,1,1,0.95,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Week 1"
