"Transect","Zone","Species","Relative Importance"
"Seaward","0-20m","Avicennia marina",0.623666149740177
"Seaward","0-20m","Rhizophora stylosa",0.564500775389735
"Seaward","20-40m","Avicennia marina",0.330092355303537
"Seaward","20-40m","Rhizophora stylosa",0.779938429797642
"Seaward","40-60m","Avicennia marina",0.421567967396476
"Seaward","40-60m","Rhizophora stylosa",0.71895468840235
"Seaward","60-80m","Avicennia marina",0.495960429529108
"Seaward","60-80m","Lumnitzera racemosa",0.161236424394319
"Seaward","60-80m","Rhizophora stylosa",0.450294095672786
"Seaward","80-100m","Avicennia marina",0.537599754450583
"Seaward","80-100m","Rhizophora stylosa",0.462400245549417
"Landward-Creek","0-20m","Avicennia marina",0.556227525335077
"Landward-Creek","0-20m","Ceriops australis",0.315589698884893
"Landward-Creek","0-20m","Rhizophora stylosa",0.12818277578003
"Landward-Creek","20-40m","Avicennia marina",0.139870435806832
"Landward-Creek","20-40m","Ceriops australis",0.590302316450726
"Landward-Creek","20-40m","Osbornia octodonta",0.269827247742442
"Landward-Creek","40-60m","Ceriops australis",0.628694158075601
"Landward-Creek","40-60m","Osbornia octodonta",0.371305841924399
"Landward-Creek","60-80m","Avicennia marina",0.222222222222222
"Landward-Creek","60-80m","Ceriops australis",0.777777777777778
"Landward-Creek","80-100m","Avicennia marina",0.398226722382942
"Landward-Creek","80-100m","Ceriops australis",0.601773277617058
