"Longitude","Latitude","Group","Transect","Zone","Species","Height","Mean Circumference (cm)","Frequency","Frequency per Zone","Trees per HA","Density","Basal Area per HA","Relative Cover","Relative Frequency","Relative Density","Relative Importance","Week","Group color"
152.989708179231,-25.4485538730769,"ahlia","Landward-Creek","0-20m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.989708179231,-25.4485538730769,"ahlia","Landward-Creek","0-20m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.989708179231,-25.4485538730769,"ahlia","Landward-Creek","0-20m","Avicennia marina",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.989708179231,-25.4485538730769,"ahlia","Landward-Creek","0-20m","Ceriops australis",0.653846153846154,9.20769230769231,2,1,64975.0096116878,0.392307692307692,59.8269896193772,1,1,1,1,"Week 1","blue"
152.989708179231,-25.4485538730769,"ahlia","Landward-Creek","0-20m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.989708179231,-25.4485538730769,"ahlia","Landward-Creek","0-20m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.989708179231,-25.4485538730769,"ahlia","Landward-Creek","0-20m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.989708179231,-25.4485538730769,"ahlia","Landward-Creek","0-20m","Rhizophora stylosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.989519511429,-25.4483738589683,"ahlia","Landward-Creek","20-40m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.989519511429,-25.4483738589683,"ahlia","Landward-Creek","20-40m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.98948522,-25.448359585,"ahlia","Landward-Creek","20-40m","Avicennia marina",0.55,25.5,2,0.666666666666667,8080.12793535898,0.151388888888889,20.6043262351654,0.487927107061503,0.285714285714286,0.166666666666667,0.313436019814152,"Week 1","blue"
152.989567614286,-25.4484219785714,"ahlia","Landward-Creek","20-40m","Ceriops australis",0.442857142857143,12.2857142857143,3,1,12120.1919030385,0.529861111111111,14.8905214808758,0.352619589977221,0.428571428571429,0.583333333333333,0.454841450627328,"Week 1","blue"
152.989519511429,-25.4483738589683,"ahlia","Landward-Creek","20-40m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.9895057,-25.4483400133333,"ahlia","Landward-Creek","20-40m","Osbornia octodonta",0.566666666666667,8.33333333333333,2,0.666666666666667,8080.12793535898,0.227083333333333,6.73343994613248,0.159453302961276,0.285714285714286,0.25,0.23172252955852,"Week 1","blue"
152.989519511429,-25.4483738589683,"ahlia","Landward-Creek","20-40m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.989519511429,-25.4483738589683,"ahlia","Landward-Creek","20-40m","Rhizophora stylosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.989353828889,-25.448261192963,"ahlia","Landward-Creek","40-60m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.989353828889,-25.448261192963,"ahlia","Landward-Creek","40-60m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.9893488,-25.4482693,"ahlia","Landward-Creek","40-60m","Avicennia marina",0.7,21,1,0.5,7652.24784780529,0.0673611111111111,16.0697204803911,0.392523364485981,0.25,0.0833333333333333,0.241952232606438,"Week 1","blue"
152.989345036667,-25.4482549688889,"ahlia","Landward-Creek","40-60m","Ceriops australis",0.7,12,2,1,15304.4956956106,0.60625,18.3653948347327,0.448598130841121,0.5,0.75,0.56619937694704,"Week 1","blue"
152.989353828889,-25.448261192963,"ahlia","Landward-Creek","40-60m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.98936765,-25.44825931,"ahlia","Landward-Creek","40-60m","Osbornia octodonta",0.55,8.5,1,0.5,7652.24784780529,0.134722222222222,6.5044106706345,0.158878504672897,0.25,0.166666666666667,0.191848390446521,"Week 1","blue"
152.989353828889,-25.448261192963,"ahlia","Landward-Creek","40-60m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.989353828889,-25.448261192963,"ahlia","Landward-Creek","40-60m","Rhizophora stylosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.98920722,-25.44810742,"ahlia","Landward-Creek","60-80m","Aegialitis annulata",0.4,9,1,0.333333333333333,6128.50713396534,0.04609375,5.5156564205688,0.153061224489796,0.142857142857143,0.0625,0.119472789115646,"Week 1","blue"
152.989221308778,-25.4481523442778,"ahlia","Landward-Creek","60-80m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.989207754,-25.448146686,"ahlia","Landward-Creek","60-80m","Avicennia marina",0.5,8.4,2,0.666666666666667,12257.0142679307,0.23046875,10.2958919850618,0.285714285714286,0.285714285714286,0.3125,0.294642857142857,"Week 1","blue"
152.989204041111,-25.4481350411111,"ahlia","Landward-Creek","60-80m","Ceriops australis",0.6,9,3,1,18385.521401896,0.41484375,16.5469692617064,0.459183673469388,0.428571428571429,0.5625,0.483418367346939,"Week 1","blue"
152.989221308778,-25.4481523442778,"ahlia","Landward-Creek","60-80m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.98926622,-25.44822023,"ahlia","Landward-Creek","60-80m","Osbornia octodonta",0.4,6,1,0.333333333333333,6128.50713396534,0.04609375,3.6771042803792,0.102040816326531,0.142857142857143,0.0625,0.102465986394558,"Week 1","blue"
152.989221308778,-25.4481523442778,"ahlia","Landward-Creek","60-80m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.989221308778,-25.4481523442778,"ahlia","Landward-Creek","60-80m","Rhizophora stylosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.98915284,-25.44812821,"ahlia","Landward-Creek","80-100m","Aegialitis annulata",0.35,9,1,1,19024.9702734839,0.18125,17.1224732461356,0.36,0.333333333333333,0.25,0.314444444444444,"Week 1","blue"
152.98916353,-25.4481272683333,"ahlia","Landward-Creek","80-100m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.98916353,-25.4481272683333,"ahlia","Landward-Creek","80-100m","Avicennia marina",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.98915284,-25.44812821,"ahlia","Landward-Creek","80-100m","Ceriops australis",1,10.5,1,1,19024.9702734839,0.18125,19.9762187871581,0.42,0.333333333333333,0.25,0.334444444444444,"Week 1","blue"
152.98916353,-25.4481272683333,"ahlia","Landward-Creek","80-100m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.98918491,-25.448125385,"ahlia","Landward-Creek","80-100m","Osbornia octodonta",0.525,5.5,1,1,19024.9702734839,0.3625,10.4637336504162,0.22,0.333333333333333,0.5,0.351111111111111,"Week 1","blue"
152.98916353,-25.4481272683333,"ahlia","Landward-Creek","80-100m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.98916353,-25.4481272683333,"ahlia","Landward-Creek","80-100m","Rhizophora stylosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.9894172475,-25.44877694375,"Cass","Landward-Creek","0-20m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.9894172475,-25.44877694375,"Cass","Landward-Creek","0-20m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.9894514525,-25.44877546,"Cass","Landward-Creek","0-20m","Avicennia marina",0.55,24.75,1,0.5,1501.21974103959,0.9125,3.715518859073,0.638709677419355,0.5,0.5,0.546236559139785,"Week 1","blue"
152.9893830425,-25.4487784275,"Cass","Landward-Creek","0-20m","Ceriops australis",1.275,14,1,0.5,1501.21974103959,0.9125,2.10170763745543,0.361290322580645,0.5,0.5,0.453763440860215,"Week 1","blue"
152.9894172475,-25.44877694375,"Cass","Landward-Creek","0-20m","Lumnitzera racemosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.9894172475,-25.44877694375,"Cass","Landward-Creek","0-20m","Osbornia octodonta",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.9894172475,-25.44877694375,"Cass","Landward-Creek","0-20m","Other?",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.9894172475,-25.44877694375,"Cass","Landward-Creek","0-20m","Rhizophora stylosa",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.989240967222,-25.4486535138889,"Cass","Landward-Creek","20-40m","Aegialitis annulata",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.989240967222,-25.4486535138889,"Cass","Landward-Creek","20-40m","Aegiceras corniculatum",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.989240967222,-25.4486535138889,"Cass","Landward-Creek","20-40m","Avicennia marina",NA,NA,0,0,0,0,0,0,0,0,0,"Week 1","blue"
152.98915965,-25.44856724,"Cass","Landward-Creek","20-40m","Ceriops australis",0.7,6,1,0.5,2222.22222222222,0.1875,1.33333333333333,0.236220472440945,0.25,0.125,0.203740157480315,"Week 1","blue"
