Week,Group color,Date,Time,Group name,Zonal Point,Tape point,Longitude,Latitude,Quarter,Distance from point,Height,Circumference,Number of stems,Average number of buds alive,Average number of distorted leaves,Average number of Mines,Average number of Galls,Average percent of leaf missing,Average number of leaves per stem
Week 1,blue,28/06/2014,28/06/2014,j,Seaward,20,NA,NA,Quarter 1,1.9,5,200,8,1.604166667,2.5,2.791666667,1.520833333,0.119791667,5.375
Week 1,blue,28/06/2014,28/06/2014,j,Seaward,20,NA,NA,Quarter 2,2.2,4,190,8,1,2.375,2.458333333,2.25,0.099791667,6
Week 1,blue,28/06/2014,28/06/2014,j,Seaward,20,NA,NA,Quarter 3,2,1.7,29,8,1,4,3.804166667,0.754166667,0.123041667,5.375
Week 1,blue,28/06/2014,28/06/2014,j,Seaward,20,NA,NA,Quarter 4,2.6,3.4,42,8,0.9,1.625,1.145833333,1.333333333,0.064375,5.5
Week 1,blue,28/06/2014,28/06/2014,reddies,Seaward,68,152.9879977,-25.44728099,Quarter 1,1.2,1,8,8,1.25,5,2.679166667,0,0.081458333,5.875
Week 1,blue,28/06/2014,28/06/2014,reddies,Seaward,68,152.9879977,-25.44728099,Quarter 2,0.7,1.4,8,8,1,5.75,4.020833333,0.020833333,0.079791667,6
Week 1,blue,28/06/2014,28/06/2014,reddies,Seaward,68,152.9879977,-25.44728099,Quarter 3,2,0.5,5,2,1.5,1,1.333333333,0.25,0.0375,5
Week 1,blue,28/06/2014,28/06/2014,reddies,Seaward,68,152.9879977,-25.44728099,Quarter 4,4.5,0.7,6,8,1.375,4.5,2.375,0.145833333,0.171041667,6
Week 1,blue,28/06/2014,28/06/2014,hhhhhhhhhhhhhh,Seaward,7,152.9878017,-25.44720932,Quarter 1,2.6,5.4,0.6,8,1.8125,3.375,0.625,0.695833333,0.17875,5.875
Week 1,blue,28/06/2014,28/06/2014,hhhhhhhhhhhhhh,Seaward,7,152.9878017,-25.44720932,Quarter 2,8,5.9,0.5,8,1.625,3.75,0.125,0.041666667,0.033333333,6
Week 1,blue,28/06/2014,28/06/2014,hhhhhhhhhhhhhh,Seaward,7,152.9878017,-25.44720932,Quarter 3,1,1.87,4,8,2.125,2,2.029166667,0.222916667,0.124166667,4.5
Week 1,blue,28/06/2014,28/06/2014,hhhhhhhhhhhhhh,Seaward,7,152.9878017,-25.44720932,Quarter 4,1,1.87,11,8,1.25,4,1.547916667,0.94375,0.061458333,4.375
Week 1,blue,28/06/2014,28/06/2014,team 1,Landward - Creek,0,152.9904496,-25.4476599,Quarter 1,6.8,4.08,36,8,1.25,1.5,3.0375,0.570833333,0.084375,5.875
Week 1,blue,28/06/2014,28/06/2014,team 1,Landward - Creek,0,152.9904496,-25.4476599,Quarter 2,0.4,2.2,3,3,1.666666667,2.333333333,2.666666667,0,0.033888889,5
Week 1,blue,28/06/2014,28/06/2014,team 1,Landward - Creek,0,152.9904496,-25.4476599,Quarter 3,2.5,3.4,3,1,0,4,0.333333333,0,0.025,6
Week 1,blue,28/06/2014,28/06/2014,team 1,Landward - Creek,2,152.9904496,-25.4476599,Quarter 3,2.5,3.5,3,6,0.166666667,2,1.055555556,0.611111111,0.043611111,6
Week 1,blue,28/06/2014,28/06/2014,team 1,Landward - Creek,57,152.9904496,-25.4476599,Quarter 3,0.9,0.7,7,8,1.375,3.25,5.875,0,0.074375,6
Week 1,blue,28/06/2014,28/06/2014,team 1,Landward - Creek,68,152.9904496,-25.4476599,Quarter 1,1.2,1,8,8,1.25,5,2.6375,0,0.081875,5.875
Week 1,blue,28/06/2014,28/06/2014,team 1,Landward - Creek,68,152.9904496,-25.4476599,Quarter 2,0.7,1.4,8,8,1,5.75,4.145833333,0.020833333,0.087708333,6
Week 1,blue,28/06/2014,28/06/2014,team 1,Landward - Creek,68,152.9904496,-25.4476599,Quarter 4,4.5,0.7,6,8,1.375,4.25,2.385416667,0.020833333,0.169479167,5.75
Week 1,blue,28/06/2014,28/06/2014,claire,Landward - Creek,57,152.9897192,-25.44766199,Quarter 3,0.9,0.7,7,8,1.375,3.25,5.875,0,0.074375,6
Week 1,blue,28/06/2014,28/06/2014,clalex,Landward - Creek,0,152.9897192,-25.44766199,Quarter 1,180,3.45,17.5,8,1.5,2.125,3.972916667,1.014583333,0.071125,4.875
Week 1,blue,28/06/2014,28/06/2014,clalex,Landward - Creek,0,152.9897192,-25.44766199,Quarter 3,5.4,2.9,13,8,1.25,5,2.125,0.375,0.087916667,6
Week 1,blue,28/06/2014,28/06/2014,clalex,Landward - Creek,0,152.9897192,-25.44766199,Quarter 4,1.27,0.83,9,8,1.125,2.75,2.079166667,0,0.060625,5.875
Week 1,blue,28/06/2014,28/06/2014,clalex,Landward - Creek,10,152.9897192,-25.44766199,Quarter 3,1,1.87,4,8,2.125,2,2.029166667,1.572916667,0.124166667,4.5
Week 1,blue,28/06/2014,28/06/2014,clalex,Landward - Creek,10,152.9897192,-25.44766199,Quarter 4,1,1.87,11,8,1.25,4,1.547916667,0.94375,0.061458333,4.375
Week 1,blue,28/06/2014,28/06/2014,claire,Landward - Creek,57,152.9897192,-25.44766199,Quarter 1,0.9,0.5,7,8,1.625,2.125,2.716666667,0.207142857,0.100541667,5.875
