"Group","Zonal point","Intertidal zone","Tape point","Quarter","Date","Time","Longitude","Latitude","Distance from point","Height","Circumference","Average number of buds alive","Average number of leaves distorted","Average number of Mines","Average number of Galls","Average percent of leaf missing","Average number of leaves per stem","Number of stems","Week","Group color"
"dingo test","Seaward","High",NA,"Quarter 1","29/06/2015","8:28:16 AM",153.1076912,-25.50304797,1.85,2.808333333,12.58333333,7.5,25,0.12202381,0.020833333,0.048452381,6.5,8,"Week 1","blue"
"dingo test","Seaward","High",NA,"Quarter 2","29/06/2015","11:58:50 AM",153.1076912,-25.50304797,3,2.5,5,3.75,24,0.125,0,0.059375,6,8,"Week 1","blue"
"dingo test","Seaward","High",NA,"Quarter 3","29/06/2015","12:13:01 PM",153.1076912,-25.50304797,2,3.1,11,3.75,26,0.0625,0.041666667,0.031041667,6,8,"Week 1","blue"
"dingo test","Seaward","High",NA,"Quarter 4","29/06/2015","12:26:11 PM",153.102719,-25.5007281,1.3,3.5,7,9.75,22,0.020833333,0.083333333,0.070208333,6,8,"Week 1","blue"
"joshh","Seaward","Low",29,"Quarter 1","29/06/2015","11:46:35 AM",152.9878663,-25.44741564,2.5,6.3,169,3.625,43,0.017857143,0.025,0.08397619,6,8,"Week 1","blue"
"joshh","Seaward","Low",29,"Quarter 2","29/06/2015","12:03:54 PM",152.9878663,-25.44741564,7.5,6.2,140,5.25,42,0.041666667,0.375,0.022916667,6,8,"Week 1","blue"
"joshh","Seaward","Low",29,"Quarter 3","29/06/2015","12:15:21 PM",152.9878663,-25.44741564,4.3,3.5,34,1.5,38,0,0.025,0.032441964,6.25,8,"Week 1","blue"
"joshh","Seaward","Low",29,"Quarter 4","29/06/2015","12:28:15 PM",152.9879356,-25.4474408,3.5,6.4,120,3.75,32,0.0625,0.020833333,0.051875,6,8,"Week 1","blue"
"sand","Landward - Creek","Low",3,"Quarter 1","29/06/2015","10:06:27 AM",152.9896047,-25.44874955,0.6,1,15,9,13,0.675,2.5,0.160833333,6.625,8,"Week 1","blue"
"sand","Landward - Creek","Low",3,"Quarter 2","29/06/2015","10:21:54 AM",152.9896047,-25.44874955,0.67,0.45,10,7.5,7,NA,NA,0.227222222,6,8,"Week 1","blue"
"sand","Landward - Creek","Low",3,"Quarter 3","29/06/2015","10:26:58 AM",152.9896047,-25.44874955,0.67,0.68,11.5,6.25,10,0.666666667,NA,0.122857143,6.375,8,"Week 1","blue"
"sand","Landward - Creek","Low",3,"Quarter 4","29/06/2015","10:35:04 AM",152.9894901,-25.44865341,1.6,0.26,16.5,10.375,14,1,1,0.075,6.25,8,"Week 1","blue"
"adidas","Seaward","Low",20,"Quarter 1","30/06/2015","12:02:51 PM",152.98812126,-25.44772083,9.8,7,3.25,11.5,40,0.0625,0.25,0.418270833333333,6,8,"Week 1","green"
"adidas","Seaward","Low",20,"Quarter 2","30/06/2015","12:28:24 PM",152.98812126,-25.44772083,9.1,7,120,3.125,44,0.25,2.10416666666667,0.27625,6.375,8,"Week 1","green"
"adidas","Seaward","Low",20,"Quarter 3","30/06/2015","12:54:20 PM",152.98812126,-25.44772083,3.8,6,36,6.75,33,0.145833333333333,2.14583333333333,0.241458333333333,6,8,"Week 1","green"
"adidas","Seaward","Low",20,"Quarter 4","30/06/2015","12:57:09 PM",152.98766912,-25.44752649,6.5,4.5,49,6.25,21,0.0458333333333333,0.2125,0.243363095238095,6.125,8,"Week 1","green"
"blob","Landward - Creek","Low",1,"Quarter 1","30/06/2015","10:14:54 AM",152.98905358,-25.44817137,2,1.1,2.3,5,32,0.107142857142857,1.05654761904762,0.136227678571429,6.375,8,"Week 1","green"
"blob","Landward - Creek","Low",1,"Quarter 2","30/06/2015","10:39:19 AM",152.98905358,-25.44817137,0.6,0.65,2.5,17.25,25,0.538293650793651,0.616865079365079,0.0523412698412698,6.5,8,"Week 1","green"
"blob","Landward - Creek","Low",1,"Quarter 3","30/06/2015","10:58:33 AM",152.98905358,-25.44817137,2.2475,0.294125,4.3875,6.875,30,0.025,0.0125,0.0905416666666667,6.25,8,"Week 1","green"
"blob","Landward - Creek","Low",1,"Quarter 4","30/06/2015","11:18:01 AM",152.98905358,-25.44817137,3,0.69,4.5,11,28,0.0208333333333333,0.145833333333333,0.049797619047619,6.125,8,"Week 1","green"
"blob","Landward - Creek","Low",0,"Quarter 1","30/06/2015","10:17:53 AM",152.9896726,-25.44870062,9.3,0.5,4,4.75,8,0.0208333333333333,0.0208333333333333,0.0237053571428571,5.625,8,"Week 1","green"
"blob","Landward - Creek","Low",0,"Quarter 2","30/06/2015","10:38:58 AM",152.9896726,-25.44870062,1.5,0.6,15,1.25,21,0.10625,0.895833333333333,0.10266369047619,5.5,8,"Week 1","green"
"blob","Landward - Creek","Low",0,"Quarter 3","30/06/2015","10:54:41 AM",152.9896726,-25.44870062,3.5,0.6,5,5.75,8,0.0416666666666667,1.07142857142857,0.0512351190476191,6.375,8,"Week 1","green"
"blob","Landward - Creek","Low",0,"Quarter 4","30/06/2015","11:08:55 AM",152.989672393958,-25.44870121625,2,0.95,4,5.375,6,0.0625,0.239583333333333,0.141458333333333,6.625,8,"Week 1","green"
"blob2","Landward - Creek","High",0,"Quarter 1","30/06/2015","10:17:53 AM",152.9896726,-25.44870062,93,0.5,4,4.75,8,0.0208333333333333,0.0208333333333333,0.0237053571428571,5.625,8,"Week 1","green"
"blob2","Landward - Creek","High",0,"Quarter 2","30/06/2015","10:38:58 AM",152.9896726,-25.44870062,1.5,0.6,15,1.25,21,0.10625,0.895833333333333,0.10266369047619,5.5,8,"Week 1","green"
"blob2","Landward - Creek","High",0,"Quarter 3","30/06/2015","10:54:41 AM",152.9896726,-25.44870062,3.5,0.6,5,5.75,8,0.0416666666666667,1.07142857142857,0.0512351190476191,6.375,8,"Week 1","green"
"blob2","Landward - Creek","High",0,"Quarter 4","30/06/2015","11:08:55 AM",152.98967239375,-25.44870121625,2,0.95,4,5.375,6,0.0625,0.239583333333333,0.141458333333333,6.625,8,"Week 1","green"
"emu","Seaward","High",90,"Quarter 1","30/06/2015","11:58:52 AM",152.98814637,-25.44767155,1.62,1,7.4,4.375,8,0,0.0833333333333333,0.0962916666666667,5.875,8,"Week 1","green"
"emu","Seaward","High",90,"Quarter 2","30/06/2015","12:19:04 PM",152.98814637,-25.44767155,1.7,1.2,10.5,3.625,12,0.125,0,0.113625,5.875,8,"Week 1","green"
"emu","Seaward","High",90,"Quarter 3","30/06/2015","12:36:19 PM",152.98814637,-25.44767155,2.7,1.8,43.3,4.5,34,0.0227272727272727,0.625,0.16467803030303,6.75,8,"Week 1","green"
"emu","Seaward","High",90,"Quarter 4","30/06/2015","12:52:52 PM",152.98814637,-25.44767155,8.7,1.65,26.4,0,20,0.0625,0,0.104270833333333,6.75,8,"Week 1","green"
"tues","Landward - Creek","Low",0,"Quarter 1","30/06/2015","10:15:26 AM",152.9889443,-25.44829881,1,0.6,5.5,8.5,41,0.151785714285714,0.619047619047619,0.105982142857143,6.25,8,"Week 1","green"
"tues","Landward - Creek","Low",0,"Quarter 2","30/06/2015","10:44:44 AM",152.9889443,-25.44829881,8.6,0.46,5,4.5,44,0,0.25,0.0966666666666667,6,8,"Week 1","green"
"tues","Landward - Creek","Low",0,"Quarter 3","30/06/2015","11:00:12 AM",152.9889443,-25.44829881,6.4,0.72,10,7.5,42,0.0416666666666667,0.229166666666667,0.105416666666667,6,8,"Week 1","green"
"tues","Landward - Creek","Low",0,"Quarter 4","30/06/2015","11:17:34 AM",152.9889443,-25.44829881,2.7,0.82,10.5,8.125,40,0.0208333333333333,1.44166666666667,0.0364166666666667,5.875,8,"Week 1","green"
"derek 2","Landward - Creek","Low",88,"Quarter 1","27/06/2015","1:26:16 PM",152.9889298,-25.44846589,1.3,0.32,15,7,35,2.16964285714286,1,0.0314285714285714,6.125,8,"Week 1","red"
"derek 2","Landward - Creek","Low",88,"Quarter 2","27/06/2015","2:02:35 PM",152.9889298,-25.44846589,4.8,0.5,3,9.75,42,0.0833333333333333,1.33333333333333,0.0866666666666667,6.75,8,"Week 1","red"
"derek 2","Landward - Creek","Low",88,"Quarter 3","27/06/2015","2:27:39 PM",152.9889298,-25.44846589,6.1,4.8,48,4.625,29,0.541666666666667,0.306547619047619,0.0325,6.125,8,"Week 1","red"
"derek 3","Landward - Creek","High",88,"Quarter 4","27/06/2015","2:30:57 PM",152.9904587375,-25.45081017375,7.2,1.6,31,2.375,14,0.657738095238095,0.229166666666667,0.123511904761905,6.625,8,"Week 1","red"
"derek","Landward - Creek","Low",7.2,"Quarter 1","27/06/2015","1:22:29 PM",152.989491280952,-25.4488727319048,0.1,1.2,20,11.6666666666667,4,1.84444444444444,1.91904761904762,0.0182539682539683,7.66666666666667,3,"Week 1","red"
"derek","Landward - Creek","Low",7,"Quarter 1","27/06/2015","1:34:36 PM",152.9894809,-25.44887441,0.1,1.1,20,10,4,1.18095238095238,4.67142857142857,0.0312380952380952,6.2,5,"Week 1","red"
"derek","Landward - Creek","Low",7,"Quarter 2","27/06/2015","1:44:38 PM",152.989473616667,-25.4488750979167,0.475,0.7,15,5.375,6,1.22619047619048,6.18452380952381,0.0476488095238095,6.25,8,"Week 1","red"
"derek","Landward - Creek","Low",7,"Quarter 3","27/06/2015","2:01:18 PM",152.989454,-25.44887695,1.5,0.7,17,4.25,5,1.975,1.08333333333333,0.0197916666666667,5.75,8,"Week 1","red"
"derek","Landward - Creek","Low",7,"Quarter 4","27/06/2015","2:11:47 PM",152.989429404167,-25.4488588829167,2,0.6,7,4.5,14,1.37619047619048,1.52083333333333,0.118452380952381,6,8,"Week 1","red"
"red baron a","Seaward","Low",17,"Quarter 1","27/06/2015","10:41:31 AM",152.98815296,-25.44715783,2,5,85,12.375,15,2.95833333333333,0.1875,0.0797916666666667,6.375,8,"Week 1","red"
"red baron a","Seaward","Low",17,"Quarter 2","27/06/2015","11:21:01 AM",152.98815296,-25.44715783,2.4,8,251,6.75,9,6.85416666666667,0.1875,0.0775,6,8,"Week 1","red"
"red baron a","Seaward","Low",17,"Quarter 3","27/06/2015","11:46:30 AM",152.98815296,-25.44715783,14,5,145,5.14285714285714,7,5.37142857142857,1.24285714285714,0.0180952380952381,6.71428571428571,7,"Week 1","red"
"red baron a","Seaward","Low",17,"Quarter 4","27/06/2015","12:11:14 PM",152.98821576,-25.4472264533333,23,6,243,8.125,15,6.64166666666667,0.0833333333333333,0.03,5.875,8,"Week 1","red"
"red baron b","Seaward","High",76,"Quarter 1","27/06/2015","10:34:30 AM",152.9885566,-25.44712385,0.54,1.02,29,8.125,23,5.5,1.79166666666667,0.0374404761904762,6.375,8,"Week 1","red"
"red baron b","Seaward","High",76,"Quarter 2","27/06/2015","10:56:03 AM",152.9885566,-25.44712385,2.5,0.38,5,7.25,0,9.05357142857143,0,0.026078869047619,7.25,8,"Week 1","red"
"red baron b","Seaward","High",76,"Quarter 3","27/06/2015","11:16:45 AM",152.9885566,-25.44712385,0.49,1.82,15,8.5,12,6.56666666666667,0.208333333333333,0.00775,5.75,8,"Week 1","red"
"red baron b","Seaward","High",76,"Quarter 4","27/06/2015","11:28:51 AM",152.9885566,-25.44712385,5.2,0.89,10,6.875,9,3.25595238095238,0,0.0263392857142857,6.125,8,"Week 1","red"
"blue yellow 1","Landward - Creek","Low",9,"Quarter 1","28/06/2015","10:10:51 AM",152.98944148,-25.448839,0.7,0.5,17,3.2,10,0.0285714285714286,17.7261904761905,0.0512380952380952,5.2,5,"Week 1","yellow"
"blue yellow 2","Landward - Creek","High",90,"Quarter 3","28/06/2015","11:02:16 AM",152.98886743,-25.44837798,3.9,40,7,5.375,40,0,0.108630952380952,0.161190476190476,5.375,8,"Week 1","yellow"
"blue yellow 2","Landward - Creek","High",90,"Quarter 1","28/06/2015","10:22:11 AM",152.98885424,-25.44825386,6.3,3.4,35,4.5,31,0.934523809523809,0,0.0530208333333333,7,8,"Week 1","yellow"
"blue yellow 2","Landward - Creek","High",90,"Quarter 2","28/06/2015","10:54:43 AM",152.98885424,-25.44825386,5.58,0.55,11,10.25,32,0.7,0.504166666666667,0.094375,5.875,8,"Week 1","yellow"
"gary","Seaward","Low",15,"Quarter 1","28/06/2015","12:11:41 PM",152.98794432,-25.44701724,8.8,7,165,9.875,28,0.136904761904762,0.151785714285714,0.279732142857143,6.5,8,"Week 1","yellow"
"gary","Seaward","Low",15,"Quarter 2","28/06/2015","12:36:47 PM",152.98794432,-25.44701724,10.8,8,90,9,42,0.0238095238095238,0.357142857142857,0.212891156462585,7,7,"Week 1","yellow"
"gary","Seaward","Low",15,"Quarter 3","28/06/2015","12:54:20 PM",152.98794432,-25.44701724,10.5,7.2,95,6,37,0.125,0.0833333333333333,0.145625,6,8,"Week 1","yellow"
"gary","Seaward","Low",15,"Quarter 4","28/06/2015","1:10:44 PM",152.988530680208,-25.4472685320833,19.1,10,152,6,31,0.0625,1.20833333333333,0.219166666666667,6,8,"Week 1","yellow"
"gary","Seaward","High",90,"Quarter 1","28/06/2015","12:12:10 PM",152.98842761125,-25.44722273125,2.71,3.3,37,9.25,39,0.232142857142857,0.226190476190476,0.0805654761904762,6.25,8,"Week 1","yellow"
"gary","Seaward","High",10,"Quarter 1","28/06/2015","12:19:48 PM",152.98842492,-25.44721873,2.71,3.3,37,1,2,1,2.66666666666667,0.0166666666666667,1,3,"Week 1","yellow"
"gary","Seaward","High",90,"Quarter 2","28/06/2015","12:32:12 PM",152.98842492,-25.44721873,0.66,2.4,20,6,34,0.5625,0.395833333333333,0.112916666666667,6,8,"Week 1","yellow"
"gary","Seaward","High",10,"Quarter 2","28/06/2015","12:33:58 PM",152.98842492,-25.44721873,0.66,2.4,20,0.666666666666667,2,0,1,0.133333333333333,1,3,"Week 1","yellow"
"gary","Seaward","High",90,"Quarter 3","28/06/2015","12:43:47 PM",152.98842492,-25.44721873,1.6,2.3,23,4.66666666666667,15,1.12777777777778,0.138888888888889,0.071,5.83333333333333,6,"Week 1","yellow"
"gary","Seaward","High",10,"Quarter 3","28/06/2015","12:44:07 PM",152.98842492,-25.44721873,1.6,2.3,23,2,0,1,0,0.05,1,1,"Week 1","yellow"
"gary","Seaward","High",90,"Quarter 4","28/06/2015","12:54:30 PM",152.98842492,-25.44721873,1.77,2.8,19,3.75,16,1.02083333333333,0.3125,0.0416666666666667,6,8,"Week 1","yellow"
"three","Landward - Creek","High",95,"Quarter 1","28/06/2015","9:52:36 AM",152.98894808,-25.44823919,2.6,0.22,16,5.875,25,0.357142857142857,0.461309523809524,0.070625,6.375,8,"Week 1","yellow"
"three","Landward - Creek","High",95,"Quarter 2","28/06/2015","10:17:07 AM",152.98894808,-25.44823919,1.64,0.73,25,9,39,0.220982142857143,4.48809523809524,0.0792931547619048,6.5,8,"Week 1","yellow"
"three","Landward - Creek","High",95,"Quarter 3","28/06/2015","10:45:24 AM",152.98894808,-25.44823919,1.23,1.01,24,4,44,1.9375,7.41666666666667,0.113541666666667,6,8,"Week 1","yellow"
"three","Landward - Creek","High",95,"Quarter 4","28/06/2015","11:11:25 AM",152.98894808,-25.44823919,0.91,0.53,17,3,33,1.875,0.895833333333333,0.0954166666666667,6,8,"Week 1","yellow"
"yellow blue 1","Landward - Creek","Low",20,"Quarter 1","28/06/2015","10:25:39 AM",152.98945644,-25.44886863,0.2375,0.17,15,0,2,0,5,0.0428571428571429,8,1,"Week 1","yellow"
"yellow blue 1","Landward - Creek","Low",20,"Quarter 2","28/06/2015","10:30:44 AM",152.98945644,-25.44886863,0.390822916666667,0.206229166666667,17.2322291666667,7.875,60,0.450937950937951,1.67878787878788,0.119538059163059,9.75,8,"Week 1","yellow"
