"Date","Time","Latitude","Longitude","Group name","Quadrat Size","Species","Family","Week","Group color"
"27/06/2015","9:57:03 AM",NA,NA,"Heath low woodland Blue 1","1x1","Pteridium esculentum","Dennstaedtiaceae",1,"blue"
"27/06/2015","9:57:03 AM",NA,NA,"Heath low woodland Blue 1","1x1","Blady Grass","Poaceae",1,"blue"
"27/06/2015","9:59:10 AM",NA,NA,"Heath low woodland Blue 1","2x1","Alphitonia excelsa","Rhamnaceae",1,"blue"
"27/06/2015","10:03:30 AM",NA,NA,"Heath low woodland Blue 1","2x2","Hibbertia scandens","Dilleniaceae",1,"blue"
"27/06/2015","10:03:30 AM",NA,NA,"Heath low woodland Blue 1","2x2","Fine, pink grass","Poaceae",1,"blue"
"27/06/2015","10:08:44 AM",NA,NA,"Heath low woodland Blue 1","4x2","Banksia serrata","Proteaceae",1,"blue"
"27/06/2015","10:08:44 AM",NA,NA,"Heath low woodland Blue 1","4x2","Lomandra confertifolia","Asparagaceae",1,"blue"
"","",NA,NA,"Heath low woodland Blue 1","4x2","Lantana - weed","Verbenaceae",1,"blue"
"27/06/2015","10:14:26 AM",NA,NA,"Heath low woodland Blue 1","8x4","Dianella caerulea","Xanthoriaceae",1,"blue"
"27/06/2015","10:14:26 AM",NA,NA,"Heath low woodland Blue 1","8x4","Lomandra obliqua","Asparagaceae",1,"blue"
"27/06/2015","10:14:26 AM",NA,NA,"Heath low woodland Blue 1","8x4","Corymbia intermedia","Myrtaceae",1,"blue"
"27/06/2015","10:39:58 AM",NA,NA,"Heath low woodland Blue 1","16x8","Austromyrtus dulcis","Myrtaceae",1,"blue"
"27/06/2015","10:39:58 AM",NA,NA,"Heath low woodland Blue 1","16x8","Casuarina glauca","Casuarinaceae",1,"blue"
"27/06/2015","10:39:58 AM",NA,NA,"Heath low woodland Blue 1","16x8","Hibbertia linearis","Dilleniaceae",1,"blue"
"27/06/2015","10:39:58 AM",NA,NA,"Heath low woodland Blue 1","16x8","Polyscias elegans -rainforest","Araliaceae",1,"blue"
"27/06/2015","10:51:50 AM",NA,NA,"Heath low woodland Blue 1","16x16","Acacia leiocalyx","Fabaceae",1,"blue"
"27/06/2015","10:51:50 AM",NA,NA,"Heath low woodland Blue 1","16x16","Cyclophyllum coprosmoides","Rubiaceae",1,"blue"
"27/06/2015","10:51:50 AM",NA,NA,"Heath low woodland Blue 1","16x16","Monotoca sp. Fraser Island","Ericaceae",1,"blue"
"27/06/2015","10:51:50 AM",NA,NA,"Heath low woodland Blue 1","16x16","Passiflora sp.","Passifloraceae",1,"blue"
"27/06/2015","10:51:50 AM",NA,NA,"Heath low woodland Blue 1","16x16","Corymbia tessellaris","Myrtaceae",1,"blue"
"","",NA,NA,"","","","",NA,""
"27/06/2015","9:10:14 AM",NA,NA,"Heath low woodland Blue 2","1x1","Pteridium esculentum","Dennstaedtiaceae",1,"blue"
"27/06/2015","9:10:14 AM",NA,NA,"Heath low woodland Blue 2","1x1","Blady Grass","Poaceae",1,"blue"
"27/06/2015","9:15:49 AM",NA,NA,"Heath low woodland Blue 2","4x4","Alphitonia excelsa","Rhamnaceae",1,"blue"
"27/06/2015","9:27:51 AM",NA,NA,"Heath low woodland Blue 2","8x4","Acacia leiocalyx","Fabaceae",1,"blue"
"27/06/2015","9:27:51 AM",NA,NA,"Heath low woodland Blue 2","8x4","Dianella caerulea","Xanthoriaceae",1,"blue"
"27/06/2015","9:27:51 AM",NA,NA,"Heath low woodland Blue 2","8x4","Eucalyptus melanoleuca","Myrtaceae",1,"blue"
"27/06/2015","9:27:51 AM",NA,NA,"Heath low woodland Blue 2","8x4","Hibbertia scandens","Dilleniaceae",1,"blue"
"27/06/2015","9:27:51 AM",NA,NA,"Heath low woodland Blue 2","8x4","Corymbia intermedia","Myrtaceae",1,"blue"
"27/06/2015","9:27:51 AM",NA,NA,"Heath low woodland Blue 2","8x4","Corymbia tessellaris","Myrtaceae",1,"blue"
"27/06/2015","9:33:39 AM",NA,NA,"Heath low woodland Blue 2","8x8","Lomandra confertifolia","Asparagaceae",1,"blue"
"27/06/2015","9:33:39 AM",NA,NA,"Heath low woodland Blue 2","8x8","Lomandra obliqua","Asparagaceae",1,"blue"
"27/06/2015","9:33:39 AM",NA,NA,"Heath low woodland Blue 2","8x8","Fine, pink grass","Poaceae",1,"blue"
"27/06/2015","9:33:39 AM",NA,NA,"Heath low woodland Blue 2","8x8","Lantana - weed","Verbenaceae",1,"blue"
"27/06/2015","9:44:14 AM",NA,NA,"Heath low woodland Blue 2","16x8","Banksia serrata","Proteaceae",1,"blue"
"27/06/2015","9:44:14 AM",NA,NA,"Heath low woodland Blue 2","16x8","Cyclophyllum coprosmoides","Rubiaceae",1,"blue"
"27/06/2015","9:44:14 AM",NA,NA,"Heath low woodland Blue 2","16x8","Hibbertia linearis","Dilleniaceae",1,"blue"
"27/06/2015","9:44:14 AM",NA,NA,"Heath low woodland Blue 2","16x8","Monotoca sp. Fraser Island","Ericaceae",1,"blue"
"27/06/2015","9:44:14 AM",NA,NA,"Heath low woodland Blue 2","16x8","unknown vine","",1,"blue"
"27/06/2015","9:44:14 AM",NA,NA,"Heath low woodland Blue 2","16x8","Polyscias elegans - rainforest","Araliaceae",1,"blue"
"27/06/2015","9:47:14 AM",NA,NA,"Heath low woodland Blue 2","16x16","Passiflora sp.","Passifloraceae",1,"blue"
"","",NA,NA,"","","","",NA,""
"27/06/2015","3:21:00 PM",NA,NA,"Retrogression Red Team","2x1","unknown sp1","",1,"red"
"27/06/2015","3:21:00 PM",NA,NA,"Retrogression Red Team","2x1","unknown sp2","",1,"red"
"27/06/2015","3:24:11 PM",NA,NA,"Retrogression Red Team","4x2","Monotoca sp. Fraser Island","Ericaceae",1,"red"
"27/06/2015","3:29:18 PM",NA,NA,"Retrogression Red Team","4x4","Acacia flavescens","Fabaceae",1,"red"
"27/06/2015","3:29:18 PM",NA,NA,"Retrogression Red Team","4x4","Casuarina equisetifolia","Casuarinaceae",1,"red"
"27/06/2015","3:29:18 PM",NA,NA,"Retrogression Red Team","4x4","Lophostemon confertus","Myrtaceae",1,"red"
"27/06/2015","3:32:45 PM",NA,NA,"Retrogression Red Team","8x4","Banksia serrata","Proteaceae",1,"red"
"27/06/2015","3:32:45 PM",NA,NA,"Retrogression Red Team","8x4","Eucalyptus melanoleuca","Myrtaceae",1,"red"
"27/06/2015","3:32:45 PM",NA,NA,"Retrogression Red Team","8x4","unknown sp3","",1,"red"
"27/06/2015","3:37:21 PM",NA,NA,"Retrogression Red Team","8x8","Leptospermum sp","Myrtaceae",1,"red"
"27/06/2015","3:37:21 PM",NA,NA,"Retrogression Red Team","8x8","Leucopogan ericoides","Ericaceae",1,"red"
"27/06/2015","3:37:21 PM",NA,NA,"Retrogression Red Team","8x8","unknown sp4","",1,"red"
"27/06/2015","3:37:21 PM",NA,NA,"Retrogression Red Team","8x8","unknown sp5","",1,"red"
"27/06/2015","3:44:56 PM",NA,NA,"Retrogression Red Team","16x8","Callitris Pine","Cupressaceae",1,"red"
"27/06/2015","3:44:56 PM",NA,NA,"Retrogression Red Team","16x8","Eucalyptus pilularis","Myrtaceae",1,"red"
"27/06/2015","3:44:56 PM",NA,NA,"Retrogression Red Team","16x8","Ozothamnus sp.","Asteraceae",1,"red"
"27/06/2015","3:44:56 PM",NA,NA,"Retrogression Red Team","16x8","Pteridium esculentum","Dennstaedtiaceae",1,"red"
"27/06/2015","3:44:56 PM",NA,NA,"Retrogression Red Team","16x8","unknown sp6","",1,"red"
"27/06/2015","3:44:56 PM",NA,NA,"Retrogression Red Team","16x8","unknown sp7","",1,"red"
