"Date","Time","Latitude","Longitude","Group name","Quadrat Size","Species","V8","Week","Group color"
"2/07/2015","8:49:17 AM",NA,NA,"blue heath woodland","1x1","Monotoca sp. Fraser Island","Ericaceae",2,"blue"
"2/07/2015","8:49:17 AM",NA,NA,"blue heath woodland","1x1","Pteridium esculentum","Dennstaeditiaceae",2,"blue"
"2/07/2015","8:52:22 AM",NA,NA,"blue heath woodland","2x1","Blady grass","Poaceae",2,"blue"
"2/07/2015","8:54:16 AM",NA,NA,"blue heath woodland","2x2","Embelia australiana","",2,"blue"
"2/07/2015","8:59:58 AM",NA,NA,"blue heath woodland","4x2","Corymbia interedia (pink bloodwood)","Myrtaceae",2,"blue"
"2/07/2015","9:02:39 AM",NA,NA,"blue heath woodland","4x4","Banksia integrifolia subsp. integrifolia","Proteaceae",2,"blue"
"2/07/2015","9:13:48 AM",NA,NA,"blue heath woodland","8x4","Astrotricha longifolia","Asteraceae",2,"blue"
"2/07/2015","9:13:48 AM",NA,NA,"blue heath woodland","8x4","Dianella caerulea","Xanthorreaceae",2,"blue"
"2/07/2015","9:13:48 AM",NA,NA,"blue heath woodland","8x4","Lomandra confertifolia","Asparagaceae",2,"blue"
"2/07/2015","9:13:48 AM",NA,NA,"blue heath woodland","8x4","Sedge","Cyperaceae",2,"blue"
"2/07/2015","9:13:48 AM",NA,NA,"blue heath woodland","8x4","Themeda triandra Pink hairy grass","Poaceae",2,"blue"
"2/07/2015","9:13:48 AM",NA,NA,"blue heath woodland","8x4","Tickly grass","Poaceae",2,"blue"
"2/07/2015","9:17:20 AM",NA,NA,"blue heath woodland","8x8","Austromyrtus dulcis","Myrtaceae",2,"blue"
"2/07/2015","9:17:20 AM",NA,NA,"blue heath woodland","8x8","Banksia serrata","Proteaceae",2,"blue"
"","",NA,NA,"blue heath woodland","8x8","Corymbia tachyphloia","Myrtaceae",2,"blue"
"2/07/2015","10:01:48 AM",NA,NA,"blue heath woodland","16x8","Acacia leiocalyx","Fabaceae",2,"blue"
"2/07/2015","10:01:48 AM",NA,NA,"blue heath woodland","16x8","Casuarina equisetifolia","Casuarinaceae",2,"blue"
"2/07/2015","10:01:48 AM",NA,NA,"blue heath woodland","16x8","Platysace linearifolia","Araliaceae",2,"blue"
"2/07/2015","10:01:48 AM",NA,NA,"blue heath woodland","16x16","Cyclophyllum coprosmoides","Rubiaceae",2,"blue"
"2/07/2015","10:01:48 AM",NA,NA,"blue heath woodland","16x16","Passiflora sp.","Passifloraceae",2,"blue"
"2/07/2015","10:01:48 AM",NA,NA,"blue heath woodland","16x16","Corymbia tesselloris","Myrtaceae",2,"blue"
"3/07/2015","10:00:16 AM","","","green scribbly gum forest","8x8","Monotoca sp. Fraser Island",NA,2,"green"
"3/07/2015","10:12:21 AM","","","green scribbly gum forest","16x8","Acacia leiocalyx",NA,2,"green"
"3/07/2015","10:12:21 AM","","","green scribbly gum forest","16x8","Xylomelum salicinum",NA,2,"green"
"3/07/2015","10:12:21 AM","","","green scribbly gum forest","16x8","unknown sp4",NA,2,"green"
"3/07/2015","10:12:21 AM","","","green scribbly gum forest","16x8","unknown sp5",NA,2,"green"
"3/07/2015","9:34:17 AM","","","green scribbly gum forest","1x1","Dianella caerulea",NA,2,"green"
"3/07/2015","9:34:17 AM","","","green scribbly gum forest","1x1","Pteridium esculentum",NA,2,"green"
"3/07/2015","9:34:17 AM","","","green scribbly gum forest","1x1","unknown sp1",NA,2,"green"
"3/07/2015","9:36:22 AM","","","green scribbly gum forest","2x1","Lomandra obliqua",NA,2,"green"
"3/07/2015","9:39:18 AM","","","green scribbly gum forest","2x2","Lomandra confertifolia",NA,2,"green"
"3/07/2015","9:39:18 AM","","","green scribbly gum forest","2x2","Ricinocarpos pinifolius",NA,2,"green"
"3/07/2015","9:45:23 AM","","","green scribbly gum forest","4x2","Leucopogan ericoides",NA,2,"green"
"3/07/2015","9:45:23 AM","","","green scribbly gum forest","4x2","Schizaea bifida",NA,2,"green"
"3/07/2015","9:45:23 AM","","","green scribbly gum forest","4x2","unknown sp2",NA,2,"green"
"3/07/2015","9:54:56 AM","","","green scribbly gum forest","8x4","Banksia serrata",NA,2,"green"
"3/07/2015","9:54:56 AM","","","green scribbly gum forest","8x4","unknown sp3",NA,2,"green"
