"Date","Time","Latitude","Longitude","Group name","Quadrat Size","Species","V8","Week","Group color","Quadrat Size.1","unknown sp1"
"2/07/2015","8:49:17 AM",NA,NA,"blue heath woodland","1x1","Monotoca sp. Fraser Island","Ericaceae",2,"blue",NA,NA
"2/07/2015","8:49:17 AM",NA,NA,"blue heath woodland","1x1","Pteridium esculentum","Dennstaeditiaceae",2,"blue",NA,NA
"2/07/2015","8:52:22 AM",NA,NA,"blue heath woodland","2x1","Blady grass","Poaceae",2,"blue",NA,NA
"2/07/2015","8:54:16 AM",NA,NA,"blue heath woodland","2x2","Embelia australiana","",2,"blue",NA,NA
"2/07/2015","8:59:58 AM",NA,NA,"blue heath woodland","4x2","Corymbia interedia (pink bloodwood)","Myrtaceae",2,"blue",NA,NA
"2/07/2015","9:02:39 AM",NA,NA,"blue heath woodland","4x4","Banksia integrifolia subsp. integrifolia","Proteaceae",2,"blue",NA,NA
"2/07/2015","9:13:48 AM",NA,NA,"blue heath woodland","8x4","Astrotricha longifolia","Asteraceae",2,"blue",NA,NA
"2/07/2015","9:13:48 AM",NA,NA,"blue heath woodland","8x4","Dianella caerulea","Xanthorreaceae",2,"blue",NA,NA
"2/07/2015","9:13:48 AM",NA,NA,"blue heath woodland","8x4","Lomandra confertifolia","Asparagaceae",2,"blue",NA,NA
"2/07/2015","9:13:48 AM",NA,NA,"blue heath woodland","8x4","Sedge","Cyperaceae",2,"blue",NA,NA
"2/07/2015","9:13:48 AM",NA,NA,"blue heath woodland","8x4","Themeda triandra Pink hairy grass","Poaceae",2,"blue",NA,NA
"2/07/2015","9:13:48 AM",NA,NA,"blue heath woodland","8x4","Tickly grass","Poaceae",2,"blue",NA,NA
"2/07/2015","9:17:20 AM",NA,NA,"blue heath woodland","8x8","Austromyrtus dulcis","Myrtaceae",2,"blue",NA,NA
"2/07/2015","9:17:20 AM",NA,NA,"blue heath woodland","8x8","Banksia serrata","Proteaceae",2,"blue",NA,NA
"","",NA,NA,"blue heath woodland","8x8","Corymbia tachyphloia","Myrtaceae",2,"blue",NA,NA
