Date,Time,Longitude,Latitude,Group,Quadrat size,Vegetation type,Quadrat #,Tallest tree,Foliage cover,Ground cover,Litter depth,Small trees,Shrub size,Shrub count,Tree Species Name,Tree Species DBH,Acacia Dominant,Angophora Dominant,Araucaria Dominant,Banksia Dominant,Callitris Dominant,Casuarina Dominant,Eucalyptus Dominant,Lophostemon Dominant,Melaleuca Dominant,Syncarpia Dominant,area,Basal Area,Frequency,Density,Relative Basal Area,Relative Frequency,Relative Density,Relative Importance,Week,Group color,Spider Hole,Spider Hole Density
27/06/2015,1:03:27 PM,NA,NA,Spider Heaven Blue,20x20,NA,1,13,0.4,0.2,4,NA,0-2m,NA,,NA,No,No,No,Yes,No,Yes,No,No,No,No,400,NA,NA,NA,NA,NA,NA,NA,Week 1,blue,NA,NA
27/06/2015,1:03:27 PM,NA,NA,Spider Heaven Blue,20x20,NA,2,13,0.4,0.5,10,NA,0-2m,NA,,NA,No,No,No,Yes,No,Yes,No,No,No,No,400,NA,NA,NA,NA,NA,NA,NA,Week 1,blue,NA,NA
27/06/2015,1:03:27 PM,NA,NA,Spider Heaven Blue,20x20,NA,3,13,0.25,0.3,10,NA,0-2m,NA,,NA,No,No,No,Yes,No,Yes,No,No,No,No,400,NA,NA,NA,NA,NA,NA,NA,Week 1,blue,NA,NA
27/06/2015,1:03:27 PM,NA,NA,Spider Heaven Blue,20x20,NA,4,13,0.4,0.1,5,NA,0-2m,NA,,NA,No,No,No,Yes,No,Yes,No,No,No,No,400,NA,NA,NA,NA,NA,NA,NA,Week 1,blue,NA,NA
27/06/2015,1:03:27 PM,NA,NA,Spider Heaven Blue,20x20,NA,0,NA,NA,NA,NA,NA,NA,NA,Casuarina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.25159236,6,0.015,0.36,0.4,0.4,0.39,Week 1,blue,NA,NA
27/06/2015,1:03:27 PM,NA,NA,Spider Heaven Blue,20x20,NA,0,NA,NA,NA,NA,NA,NA,NA,Banksia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.36624204,8,0.02,0.6,0.53,0.53,0.55,Week 1,blue,NA,NA
27/06/2015,1:03:27 PM,NA,NA,Spider Heaven Blue,20x20,NA,0,NA,NA,NA,NA,NA,NA,NA,Eliandre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.140127389,1,0.0025,0.04,0.07,0.07,0.06,Week 1,blue,NA,NA
27/06/2015,1:03:27 PM,NA,NA,Spider Heaven Blue,20x20,NA,0,NA,NA,NA,NA,NA,NA,NA,Acacia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,Week 1,blue,NA,NA
27/06/2015,1:03:27 PM,NA,NA,Spider Heaven Blue,20x20,NA,0,NA,NA,NA,NA,NA,NA,NA,Angophora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,Week 1,blue,NA,NA
27/06/2015,1:03:27 PM,NA,NA,Spider Heaven Blue,20x20,NA,0,NA,NA,NA,NA,NA,NA,NA,Araucaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,Week 1,blue,NA,NA
27/06/2015,1:03:27 PM,NA,NA,Spider Heaven Blue,20x20,NA,0,NA,NA,NA,NA,NA,NA,NA,Callitris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,Week 1,blue,NA,NA
27/06/2015,1:03:27 PM,NA,NA,Spider Heaven Blue,20x20,NA,0,NA,NA,NA,NA,NA,NA,NA,Eucalyptus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,Week 1,blue,NA,NA
27/06/2015,1:03:27 PM,NA,NA,Spider Heaven Blue,20x20,NA,0,NA,NA,NA,NA,NA,NA,NA,Lophostemon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,Week 1,blue,NA,NA
27/06/2015,1:03:27 PM,NA,NA,Spider Heaven Blue,20x20,NA,0,NA,NA,NA,NA,NA,NA,NA,Melaleuca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,Week 1,blue,NA,NA
27/06/2015,1:03:27 PM,NA,NA,Spider Heaven Blue,20x20,NA,0,NA,NA,NA,NA,NA,NA,NA,Syncarpia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,Week 1,blue,NA,NA
27/06/2015,1:03:27 PM,NA,NA,Spider Heaven Blue,20x20,NA,0,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,Week 1,blue,NA,NA
27/06/2015,1:03:27 PM,NA,NA,Spider Heaven Blue,20x20,NA,1,13,0.4,0.2,4,NA,0-2m,NA,,NA,No,No,No,Yes,No,Yes,No,No,No,No,400,NA,NA,NA,NA,NA,NA,NA,Week 1,blue,8,0.02
27/06/2015,1:03:27 PM,NA,NA,Spider Heaven Blue,20x20,NA,2,13,0.4,0.5,10,NA,0-2m,NA,,NA,No,No,No,Yes,No,Yes,No,No,No,No,400,NA,NA,NA,NA,NA,NA,NA,Week 1,blue,8,0.02
27/06/2015,1:03:27 PM,NA,NA,Spider Heaven Blue,20x20,NA,3,13,0.25,0.3,10,NA,0-2m,NA,,NA,No,No,No,Yes,No,Yes,No,No,No,No,400,NA,NA,NA,NA,NA,NA,NA,Week 1,blue,8,0.02
27/06/2015,1:03:27 PM,NA,NA,Spider Heaven Blue,20x20,NA,4,13,0.4,0.1,5,NA,0-2m,NA,,NA,No,No,No,Yes,No,Yes,No,No,No,No,400,NA,NA,NA,NA,NA,NA,NA,Week 1,blue,8,0.02
27/06/2015,9:57:26 AM,NA,NA,Wallum Heath Blue,20x20m,NA,1,9,0.15,0.1,5,NA,0-2m,NA,,NA,No,No,No,Yes,No,No,No,No,No,No,400,NA,NA,NA,NA,NA,NA,NA,Week 1,blue,0,0
27/06/2015,9:59:54 AM,NA,NA,Wallum Heath Blue,20x20m,NA,2,9,0.15,0.4,5,NA,0-2m,NA,,NA,No,No,No,Yes,No,No,No,No,No,No,400,NA,NA,NA,NA,NA,NA,NA,Week 1,blue,0,0
27/06/2015,10:02:46 AM,NA,NA,Wallum Heath Blue,20x20m,NA,3,9,0.4,0.1,5,NA,0-2m,NA,,NA,No,No,No,Yes,No,No,No,No,No,No,400,NA,NA,NA,NA,NA,NA,NA,Week 1,blue,0,0
27/06/2015,10:04:39 AM,NA,NA,Wallum Heath Blue,20x20m,NA,4,9,0.5,0.3,3,NA,0-2m,NA,,NA,No,No,No,Yes,No,No,No,No,No,No,400,NA,NA,NA,NA,NA,NA,NA,Week 1,blue,0,0
27/06/2015,1:03:27 PM,NA,NA,Spider Heaven Blue,20x20,NA,0,NA,NA,NA,NA,NA,NA,NA,Casuarina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.25159236,6,0.015,NA,0.26,0.26,NA,Week 1,blue,NA,NA
27/06/2015,1:03:27 PM,NA,NA,Spider Heaven Blue,20x20,NA,0,NA,NA,NA,NA,NA,NA,NA,Banksia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.36624204,8,0.02,NA,0.35,0.35,NA,Week 1,blue,NA,NA
27/06/2015,1:03:27 PM,NA,NA,Spider Heaven Blue,20x20,NA,0,NA,NA,NA,NA,NA,NA,NA,Eliandre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.140127389,1,0.0025,NA,0.04,0.04,NA,Week 1,blue,NA,NA
